BBC Radio 1	BBC One
Victoria Louise Princess of Prussia	Princess Victoria Louise of Prussia
Yuko Obuchi	Yūko Obuchi
OneDrive	OneDrive
University of Mississippi	University of Mississippi
Ezquier Garay	Ezequiel Garay
OpenJDK	OpenJDK
Ranger 6	Ranger 6
Hungarian Forint	Hungarian forint
Confignon	Confignon
HEARTFUL	Heartful
This Is It  Michael Jackson single	This Is It Michael Jackson song
Linux	Linux
Hong Kong Football Association	Hong Kong Football Association
Together When	Together When
HansJurgen Stumpf	HansJürgen Stumpff
Sodnomu Damuddinbazar	Jalkhanz Khutagt Sodnomyn Damdinbazar
United States National Soccer Team	United States mens national soccer team
Free  Easy	Free  Easy Ayumi Hamasaki song
National Yilan Senior High School	National Yilan Senior High School
Las Palmas Athletic Union	UD Las Palmas
Luke P Blackburn	Luke P Blackburn
Brian Wilson	Brian Wilson
Mattey Vidra	Matěj Vydra
Over Load	Over Load
Donald Rumsfeld	Donald Rumsfeld
Giordano Bruno	Giordano Bruno
Yanan	Yanan
Anton Pavlovich Chekhov	Anton Chekhov
Pius IX	Pope Pius IX
Blue	Blue English band
Akadian	Akkadian language
herder	Johann Gottfried Herder
Gujarat	Gujarat
Ahmed Shah Bahadur	Ahmad Shah Bahadur
Xu Xiangqian	Xu Xiangqian
Setagaya Ward	Setagaya
Kareskakis Stadium	Karaiskakis Stadium
201314 English Premier League	201314 Premier League
Tigris	Tigris
Begji Keid Essebsi	Beji Caid Essebsi
Georgios Senmaras	Georgios Samaras
Lansing Michigan	Lansing Michigan
Nintendo Information Development Headquarters	Nintendo Entertainment Analysis  Development
Yitzhak Rabin	Yitzhak Rabin
maes	Metz
Ledley King	Ledley King
Jetstar	Jetstar Airways
Leessang	Leessang
Lethbridge	Lethbridge
Los Angeles Clippers	Los Angeles Clippers
Stefan Lofven	Stefan Löfven
Northrop Corporation	Northrop Corporation
National Cheng Kung University	National Cheng Kung University
Maria Goeppert Meyer	Maria GoeppertMayer
LaurentDesiree Kabila	LaurentDésiré Kabila
monaco	Monaco
Inuyasha	Inuyasha
Nicklaus Wirth	Niklaus Wirth
Haswell microarchitecture	Haswell microarchitecture
Kashmiri	Kashmiri language
Blake Ross	Blake Ross
201213 Europa League	201213 UEFA Europa League
Ho Chi Minh City	Ho Chi Minh City
Slobodan Rajkovic	Slobodan Rajković
Mabuya Institute of Technology	Mapúa Institute of Technology
Netherlands Antilles	Netherlands Antilles
Nem Onusia	Nedum Onuoha
Eagle Air	Eagle Airways
Klaus Augenthaler	Klaus Augenthaler
Yashio City	Yashio Saitama
Otto Grotivor	Otto Grotewohl
Distinguished Service Medal	Distinguished Service Medal US Army
Lodigau Lima	Lima footballer
French Navy	French Navy
Armen Sarkisian	Armen Sargsyan
Corcier	Corsier
Milosh Zeman	Miloš Zeman
New Horizons	New Horizons
Kawaguchi City	Kawaguchi Saitama
Watanabe Chima	Kazuma Watanabe
Little Rock Arkansas	Little Rock Arkansas
Alfredo Cristiani Burcard	Alfredo Cristiani
Guangxi Zhuang Autonomous Region	Guangxi
Carrie Underwood	Carrie Underwood
Clang	Clang
Luzhniki Stadium	Luzhniki Stadium
Tumpa Stadium	Toumba Stadium
Moses Katsav	Moshe Katsav
Forensic Pioneer	Forensic Heroes
Yomiuri TV	Yomiuri Telecasting Corporation
Sven Bender	Sven Bender
Air Canada	Air Canada
William Adams Richardson	William Adams Richardson
rosebowl stadium	Rose Bowl stadium
Wales National Football Team	Wales national football team
Gustav Hertz	Gustav Ludwig Hertz
Bradford	Bradford
Crystal Palace Football Club	Crystal Palace FC
choke hot red pepper	Red Hot Chili Peppers
Party of Regions	Party of Regions
Juan Antonio Samaranch	Juan Antonio Samaranch
Peter Crouch	Peter Crouch
Fujikawaguchikomachi	Fujikawaguchiko Yamanashi
Gary Locke	Gary Locke
Ranger 2	Ranger 2
Yokohama Station	Yokohama Station
Scuderia Ferrari	Scuderia Ferrari
Connecticut River	Connecticut River
Claude Makelele	Claude Makélélé
William Chan	William Chan
Tianhe Stadium	Tianhe Stadium
esbjerg	Esbjerg
John Curtin	John Curtin
Rolling star	Rolling Star
Petro Bagdoglio	Pietro Badoglio
Far away	Far Away Ayumi Hamasaki song
Zhongshan	Zhongshan
The British Monarch	Monarchy of the United Kingdom
Khabarovsk Krai	Khabarovsk Krai
Altai Republic	Altai Republic
Sendai City	Sendai
Ali Abdullah Saleh	Ali Abdullah Saleh
Modula2	Modula2
Swiss Football Association	Swiss Football Association
Haixi Mongolian and Tibetan Autonomous Prefecture	Haixi Mongol and Tibetan Autonomous Prefecture
Sichuan University	Sichuan University
The Hague	The Hague
Shaquille ONeal	Shaquille ONeal
Jules Bianchi	Jules Bianchi
Nexus 7	Nexus 7 2012
Apple A9	Apple A9
Liberal Party of the Philippines	Liberal Party Philippines
Sakhalin	Sakhalin
Red Star Awards 2001	Star Awards 2001
Iron Man	Iron Man
Emile Borrell	Émile Borel
Wallalunga Football Club	Vålerenga Fotball
Cristiano Zanetti	Cristiano Zanetti
Niki Minaj	Nicki Minaj
starwars	Star Wars
Suzhou City	Suzhou
Dischord Records	Dischord Records
George IV	George IV of the United Kingdom
New Caledonia	New Caledonia
Azerbaijani	Azerbaijanis
Spitzer Space Telescope	Spitzer Space Telescope
Coquitlam	Coquitlam
Stanford University	Stanford University
John Langdon	John Langdon politician
Flea	Flea musician
Astana	Astana
Grand Duchess Alexandra Nikolaevna Princess of HesseKassel	Grand Duchess Alexandra Nikolaevna of Russia
Lima United	Alianza Lima
Toyota City	Toyota Aichi
Mountain View California	Mountain View California
Love so sweet	Love So Sweet
Stoke City Football Club	Stoke City FC
Solar Dynamics Observatory	Solar Dynamics Observatory
Kurt Vonnegut	Kurt Vonnegut
Mohammad Anwar Sadat	Anwar Sadat
Boeing 747	Boeing 747
Kingdom of Sicily	Kingdom of Sicily
Elizabeth II	Elizabeth II
Real Mallorca Athletic	RCD Mallorca
Republic of Korea Navy	Republic of Korea Navy
Edward Livingston	Edward Livingston
SDN48	SDN48
Chinese Football Association	Chinese Football Association
Xiaomi Technology	Xiaomi
UK House of Commons	House of Commons of the United Kingdom
Marco Divoyo	Marco Di Vaio
Romansh	Romansh language
Yemen	Yemen
Dejavu  Koda Kumi album	Dejavu Kumi Koda album
belfast	Belfast
Mongkok Stadium	Mong Kok Stadium
Lyon	Lyon
Tong Liya	Tong Liya
salt lake city	Salt Lake City
Gordon Sprigg	Gordon Sprigg
2014 AFC Presidents Cup	2014 AFC Presidents Cup
Shanghai	Shanghai
Stanislaw Mikovajczyk	Stanisław Mikołajczyk
Newcastle Jets Football Club	Newcastle Jets FC
Koshima Haruna	Haruna Kojima
croatia	Croatia
Ding Aung Min U	Tin Aung Myint Oo
Jeremy Bentham	Jeremy Bentham
Ich will	Ich will
American Samoa	American Samoa
Anos Fogg Rasmussen	Anders Fogh Rasmussen
University of Saskatchewan	University of Saskatchewan
Mayor of New Taipei City	Mayor of New Taipei
Nong Duc Manh	Nông Đức Mạnh
First Love Hikaru Utada album	First Love Utada Hikaru album
Nereu Ramos	Nereu Ramos
Princess Iman Bint Hussein	Princess Iman bint Hussein
nevada	Nevada
hard rock	Hard rock
Nokia Lumia 800	Nokia Lumia 800
Nexus 6P	Nexus 6P
Angus Young	Angus Young
Adil da Olihuala Emerin	Adiel de Oliveira Amorim
Huangchuan County	Huangchuan County
Chrome OS	Chrome OS
Ander Herrera	Ander Herrera
CurtisWright Company	CurtissWright
Prince Nicholas Denmark	Prince Nikolai of Denmark
Tigrinya	Tigrinya language
Tom Hiddleston	Tom Hiddleston
Indiana Pacers	Indiana Pacers
Innocent VII	Pope Innocent VII
Auburn University	Auburn University
Patrick Kisnowbo	Patrick Kisnorbo
University of Texas at Austin	University of Texas at Austin
Exeter City Football Club	Exeter City FC
US Virgin Islands	United States Virgin Islands
Nagano	Nagano Prefecture
WatchOS	WatchOS
Serbia National Football Team	Serbia national football team
Qingdao Zhongneng Football Club	Qingdao Jonoon FC
20142015 Europa League	201415 UEFA Europa League
Luis Guillermo Solis	Luis Guillermo Solís
Body Feels EXIT	Body Feels Exit
Jacques Demy	Jacques Demy
red skull	Red Skull
Harold Urey	Harold Urey
Socialist Federal Republic of Yugoslavia	Socialist Federal Republic of Yugoslavia
Alexander Millerand	Alexandre Millerand
Newark NJ	Newark New Jersey
