BBC Radio 1	BBC One
Vegatech Sendai	Vegalta Sendai
Shinagawa	Shinagawa
Lakhdar Brahimi	Lakhdar Brahimi
DC Comics	DC Comics
Lady Abahai	Lady Abahai
Yellow	Yellow
Lu Xinshe	Lu Xinshe
Padmé Amidala	Padmé Amidala
Tama area	Tamaku Kawasaki
Atromitos Football Club	Atromitos FC
Federal President	President of Germany
University of Notre Dame	University of Notre Dame
Bernast Tarleton	Banastre Tarleton
Rolling Stones	The Rolling Stones
Infante Juan Count of Barcelona	Infante Juan Count of Barcelona
Samuel Alito	Samuel Alito
Family Guy	Family Guy
Staffordshire	Staffordshire
Pope Stephen I	Pope Stephen I
Ovid	Ovid
Kang Minsoo	Kang Minsoo
Albanian Armed Forces	Albanian Armed Forces
ULTIMATE DIAMOND	Ultimate Diamond
Lord William Bentinck	Lord William Bentinck
Socialist	Socialist Party
CE LHospitalet	CE LHospitalet
Francesco Toldo	Francesco Toldo
Philadelphia 76ers	Philadelphia 76ers
Mapuche	Mapuche
Jimmy Carter	Jimmy Carter
Thieu Tri	Thiệu Trị
Im Your Boy	Im Your Boy
Fool Again	Fool Again
Starry Lee	Starry Lee
Gosei Sentai Dairanger	Gosei Sentai Dairanger
Xiaomi Phone 2	Xiaomi Mi 2
Aomori Aomori	Aomori Aomori
Dutch East Indies	Dutch East Indies
Love or Spend	Love or Spend
Gimnàstic de Tarragona	Gimnàstic de Tarragona
Mark Kirk	Mark Kirk
Christian Wulff	Christian Wulff
Nampo Special City	Nampo
Sharon Dan Adel	Sharon den Adel
David Stern	David Stern
Manuel Valls	Manuel Valls
ITunes	ITunes
Salamanca Football Club	UD Salamanca
George Grenville	George Grenville
Amelia Fox	Emilia Fox
HOW CRAZY YOUR LOVE	How Crazy Your Love
Santander	Santander Spain
Charles E Winter	Charles E Winter
Michael Bay	Michael Bay
TibetanBurman	TibetoBurman languages
PanthéonAssas University Paris II	PanthéonAssas University
Gibson Les Paul	Gibson Les Paul
Karakoram	Karakoram
Aleksandar Živković	Aleksandar Živković
Ultimatum	The Bourne Ultimatum
Kamikawa Yoko	Yōko Kamikawa
Yamaguchi Prefecture	Yamaguchi Prefecture
colorado rapids	Colorado Rapids
Oroqen	Oroqen people
Octopuss Garden	Octopuss Garden
Yancheng	Yancheng
Lara Veronin	Lara Veronin
North Carolina	North Carolina
South Tang	Southern Tang
Republican	The Republicans
Mohun Bagan AC	Mohun Bagan AC
StubHub Center	StubHub Center
Angela Merkel	Angela Merkel
West Java	West Java
Tomáš Hubočan	Tomáš Hubočan
Sajid Javid	Sajid Javid
Iwabuchi Mana	Mana Iwabuchi
Piacenza	Piacenza
Casey Affleck	Casey Affleck
Me Against the Music	Me Against the Music
Wally West	Wally West
Wenzhounese	Wenzhounese
Battle of Guningtou	Battle of Guningtou
English	English language
Choe Yongrim	Choe Yongrim
Sano	Sano Tochigi
Manco Inka Yupanki	Manco Inca Yupanqui
State University of New York	State University of New York
Geoffrey Chew	Geoffrey Chew
SO female	So Girls
Madonna	Madonna
Auburn Alabama	Auburn Alabama
OUT WORKS  COLLABORATION BEST	Out Works  Collaboration Best
Dai Jiaoqian	Dai Jiaoqian
Isotani Rensuke	Rensuke Isogai
Hong Kong Group C	Hong Kong Third A Division League
South Park	South Park
KisMyFt2	KisMyFt2
Uyghur	Uyghur language
The War between Tang and Goguryeo	GoguryeoTang War
Kasımpaşa SK	Kasımpaşa SK
Mátyás Szűrös	Mátyás Szűrös
Yokohama City	Yokohama
Viktor Orbán	Viktor Orbán
Shield Portable	Shield Portable
Leo IX	Pope Leo IX
Monthly Comic Alive	Monthly Comic Alive
Pope John Paul I	Pope John Paul I
Bashkir	Bashkir language
Adobe Flash Player	Adobe Flash Player
Swedish Monarch	Monarchy of Sweden
Linda McMahon	Linda McMahon
Will Charn	Will Champion
William the Lion	William the Lion
French Polynesia	French Polynesia
Jo An	Jo An
STARCAMP EP	Starcamp EP
Kōhokuku Yokohama	Kōhokuku Yokohama
Gurney Kardashian	Kourtney Kardashian
George SBoutwell	George S Boutwell
Brazil	Brazil
Avex trax	Avex Trax
Buena Park	Buena Park California
Warwickshire	Warwickshire
Jerry Moran	Jerry Moran
Working Peoples Progressive Party	Progressive Party of Working People
Hirosaki Aomori	Hirosaki Aomori
Lin Fengjiao	Lin Fengjiao
Jack Lane	Jack Ryan
Lower Yangtze Mandarin	Lower Yangtze Mandarin
Victor Stepanovich Chernomyrdin	Viktor Chernomyrdin
Cemal Gürsel	Cemal Gürsel
Hartlepool United Football Club	Hartlepool United FC
Henry Brisson	Henri Brisson
Voyager 2	Voyager 2
Sam Hui	Samuel Hui
Armageddon	Armageddon
Hohenzollern Dynasty	House of Hohenzollern
Komono Mie	Komono Mie
bastia sports	SC Bastia
Roman Sharonoff	Roman Sharonov
Feng Guozhang	Feng Guozhang
Pierre Luigi Bersani	Pier Luigi Bersani
Backstreet Boys	Backstreet Boys
Leverkusen FC	Bayer 04 Leverkusen
Bartley SC Johnson	Bradley Johnson
Paul Tang	Paul Tang
Tokyo Disneyland	Tokyo Disneyland
Alien Huang	Alien Huang
ITV	ITV
Fujisawa City	Fujisawa Kanagawa
Cimballa	Cimballa
Sony Ericsson Xperia arc S	Sony Ericsson Xperia arc S
Mini DisplayPort	Mini DisplayPort
Keith Gumbs	Keith Gumbs
Charlene Princess of Monaco	Charlene Princess of Monaco
Bohuslän	Bohuslän
Wa people	Wa people
Dream Girl  The Misconceptions Of You	Dream Girl  The Misconceptions of You
The Magicians Nephew	The Magicians Nephew
norfolk	Norfolk
Nottinghamshire	Nottinghamshire
United Left	United Left
Philip Dimitrov	Philip Dimitrov
Thomas Hobbes	Thomas Hobbes
Constans II	Constans II
kaka	Kaká
Lu Xun	Lu Xun
Arsenal Football Club	Arsenal FC
Sidney Govu	Sidney Govou
FC Paços de Ferreira	FC Paços de Ferreira
Yang Xu	Yang Xu
Music	Music
France Womens National Football Team	France womens national football team
Ahmed Oyahia	Ahmed Ouyahia
Maria Alexandrovna	Maria Alexandrovna
Gorica Football Club	ND Gorica
TRAX	TRAX
Socrates	Socrates
Umberto II	Umberto II of Italy
Sergio Aguero	Sergio Agüero
Mitsumasa Yonai	Mitsumasa Yonai
Wayne Chua	Wayne Chua
Brandeis University	Brandeis University
David BenGurion	David BenGurion
Francesco Totti	Francesco Totti
SimCity Series	SimCity
Ordos	Ordos City
Bert T Combs	Bert T Combs
FC Aarau	FC Aarau
Hamid Karzai	Hamid Karzai
Khmer Empire	Khmer Empire
Ito Yuheng	Itō Sukeyuki
thuringia	Thuringia
Taylor Swift	Taylor Swift
Boku no Miteiru Fūkei	Boku no Miteiru Fūkei
Community Shield England 2014	2014 FA Community Shield
Hellas Verona FC	Hellas Verona FC
Qiu Yong	Qiu Yong
Nejc Pečnik	Nejc Pečnik
Duchy of Mantua	Duchy of Mantua
Even if	Even If
akhenaten	Akhenaten
Goa Football Club	FC Goa
Sirajuddin of Perlis	Sirajuddin of Perlis
Emperor Kinmei	Emperor Kinmei
Tibetan	Tibetic languages
Cathay Pacific	Cathay Pacific
Hampden Park	Hampden Park
Fukui Prefecture	Fukui Prefecture
yasuyuki Konno	Yasuyuki Konno
Kingdom of Tungning	Kingdom of Tungning
Hikari Sentai Maskman	Hikari Sentai Maskman
Qadsia SC	Qadsia SC
Steven Hawking	Stephen Hawking
Mac OS X Snow Leopard	Mac OS X Snow Leopard
Lu Wei	Lu Wei
Aarhus Gymnastikforening	Aarhus Gymnastikforening
The Rise of the Kingdom	Rise of Nations
John Wheeler	John Archibald Wheeler
illinois	Illinois
Muhammad Ould AbdulAziz	Mohamed Ould Abdel Aziz
Naughty Dog	Naughty Dog
AlAhli Saudi FC	AlAhli Saudi FC
Max Gradu	Max Gradel
Tajimi City	Tajimi Gifu
Kim Eana	Kim Eana
Music Church	Music
MikoyanGurevich MiG17	MikoyanGurevich MiG17
Sham Shui Po Sports Ground	Sham Shui Po Sports Ground
List of Portuguese monarchs	List of Portuguese monarchs
Tulane University	Tulane University
Hyakujuu Sentai Gaoranger	Hyakujuu Sentai Gaoranger
Pope Mark Valley	Pope Mark
Möngke Khan	Möngke Khan
Aymara people	Aymara people
Teppen Tottande	Teppen Tottande
Al Ain Football Club	Al Ain FC
Cape Verde National Football Team	Cape Verde national football team
Cosmin Contra	Cosmin Contra
Phoenician	Phoenician language
Hawaii	Hawaii
Kono Yo no Kagiri	Kono Yo no Kagiri
Will Arnett	Will Arnett
Seoul Football Club	FC Seoul
Chuck Schumer	Chuck Schumer
Athletic Bilbao	Athletic Bilbao
New Zealand Labour Party	New Zealand Labour Party
Chua Tee Yong	Chua Tee Yong
Chen Poliang	Chen Poliang
Ricardo Carvalho	Ricardo Carvalho
Dave Mustaine	Dave Mustaine
Trần Dụ Tông	Trần Dụ Tông
Lin Biao	Lin Biao
Avril Lavigne	Avril Lavigne
Montgomery Blair	Montgomery Blair
Run Run Shaw	Run Run Shaw
Liam Reddy	Liam Reddy
Editor Cresson	Édith Cresson
Cantonese	Cantonese
Community Shield England 2011	2011 FA Community Shield
Metallica	Metallica
Iannis Maniatis	Giannis Maniatis
UK General Election 2005	United Kingdom general election 2005
Manhattan Financial District	Financial District Manhattan
Kim Hyungil	Kim Hyungil
Geʽez language	Geez language
Fahri Kruturk	Fahri Korutürk
Celtic	Celtic languages
Savo Milosevic	Savo Milošević
Vitalies Astavyevs	Vitālijs Astafjevs
Michael Doyle	Michael Doyle
Sofia Levski Football Club	PFC Levski Sofia
Leizhou Min	Leizhou Min
Modern Standard Chinese	Standard Chinese
Ebisu Shibuya	Ebisu Shibuya
Wuhan Zall Professional Football Club	Wuhan Zall FC
University of Kent	University of Kent
Qinghai Senke Football Club	Qinghai Senke FC
Holden Chow	Holden Chow
Momo Love	Momo Love
Finland National Football Team	Finland national football team
Onew	Onew
Akita	Kazuno Akita
Tang Shaoyi	Tang Shaoyi
Shonentai	Shonentai
quito	Quito
NVIDIA GeForce 400	GeForce 400 series
DNAngel	DNAngel
Lloyd Austin III	Lloyd Austin
Genoa Cricket  Football Club	Genoa CFC
Shimane Prefecture	Shimane Prefecture
Jake Kerouac	Jack Kerouac
Oppa Oppa	Oppa Oppa
National Front	National Front
Princess Estelle Duchess of Östergötland	Princess Estelle Duchess of Östergötland
Thomas Pledel	Thomas Pledl
Guangzhou Evergrande Taobao Football Club	Guangzhou Evergrande Taobao FC
Dwight D Eisenhower	Dwight D Eisenhower
SC Braga	SC Braga
Pyongyang	Pyongyang
Albanians	Albanians
Pedro Passos Coelho	Pedro Passos Coelho
Kidderminster	Kidderminster
Victoria Louise	Princess Victoria Louise of Prussia
Chester W Nimitz	Chester W Nimitz
Yuko Obuchi	Yūko Obuchi
OneDrive	OneDrive
Raul Alfonsin	Raúl Alfonsín
Nassaf Football Club	FC Nasaf
2013 DFBPokal Final	2013 DFBPokal Final
jersey	Jersey
Hung Hsiuchu	Hung Hsiuchu
Kyoto Phoenix FC	Kyoto Sanga FC
Ranger 6	Ranger 6
Hungarian Forint	Hungarian forint
Confignon	Confignon
An Shi Rebellion	An Lushan Rebellion
This Is It	This Is It
Linux	Linux
C ♯	C Sharp
Hong Kong Football Association	Hong Kong Football Association
Together When	Together When
HansJurgen Stumpf	HansJürgen Stumpff
Sodnomu Damuddinbazar	Jalkhanz Khutagt Sodnomyn Damdinbazar
Sanji Bayar	Sanjaagiin Bayar
Iranian	Iranian languages
Free  Easy	Free  Easy
Yamagata Aritomo	Yamagata Aritomo
National Yilan Senior High School	National Yilan Senior High School
Las Palmas Athletic Union	UD Las Palmas
Popcorn	Popcorn
Brian Wilson	Brian Wilson
Zahia Elbegdorj	Tsakhiagiin Elbegdorj
When Lanes Merge	When Lanes Merge
Over Load	Over Load
Donald Rumsfeld	Donald Rumsfeld
Porto Football Club B Team	FC Porto B
Yanan	Yanan
Anton Pavlovich Chekhov	Anton Chekhov
Pius IX	Pope Pius IX
Blue	Blue
Akadian	Akkadian language
Fabolous	Fabolous
Sinhala	Sinhala alphabet
Gujarat	Gujarat
Ahmed Shah Bahadur	Ahmad Shah Bahadur
Xu Xiangqian	Xu Xiangqian
Setagaya Ward	Setagaya
Kareskakis Stadium	Karaiskakis Stadium
201314 English Premier League	201314 Premier League
Tigris	Tigris
Begji Keid Essebsi	Beji Caid Essebsi
Murphys Law of Love	Murphys Law of Love
Tamangic languages	Tamangic languages
Lansing	Lansing Michigan
Nintendo Information Development Headquarters	Nintendo Entertainment Analysis  Development
Aymen Abdennour	Aymen Abdennour
maes	Metz
Ledley King	Ledley King
Jetstar	Jetstar Airways
Leessang	Leessang
Nephthys	Nephthys
NMB48	NMB48
Stefan Lofven	Stefan Löfven
South Seas Mandate	South Pacific Mandate
Hapoel Tel Aviv FC	Hapoel Tel Aviv FC
Northrop Corporation	Northrop Corporation
Kashima Antlers	Kashima Antlers
Deputy Prime Minister of the United Kingdom	Deputy Prime Minister of the United Kingdom
Tony Tan	Tony Tan
Viktor Fischer	Viktor Fischer
Sunao na Mama	Sunao na Mama
LaurentDesiree Kabila	LaurentDésiré Kabila
Marek Heinz	Marek Heinz
Inuyasha	Inuyasha
Mandarin Airlines	Mandarin Airlines
Nicklaus Wirth	Niklaus Wirth
Haswell microarchitecture	Haswell
Fukaya	Fukaya Saitama
Chea Sim	Chea Sim
Blake Ross	Blake Ross
turin	Turin
Categoría Primera B	Categoría Primera B
Yang Chaosheng	Yang Chaosheng
Ho Chi Minh City	Ho Chi Minh City
Slobodan Rajkovic	Slobodan Rajković
Mabuya Institute of Technology	Mapúa Institute of Technology
Raymond Barr	Raymond Barre
Nem Onusia	Nedum Onuoha
Louis XIV	Louis XIV of France
Eagle Air	Eagle Airways
Klaus Augenthaler	Klaus Augenthaler
Jacques Demy	Jacques Demy
Otto Grotivor	Otto Grotewohl
Distinguished Service Medal	Distinguished Service Medal
James VanVleet	James Van Fleet
French Navy	French Navy
Ng Yen Yen	Ng Yen Yen
Kim Shinwook	Kim Shinwook
Armen Sarkisian	Armen Sargsyan
Corcier	Corsier
Jalal Talabani	Jalal Talabani
Milosh Zeman	Miloš Zeman
New Horizons	New Horizons
Georges Leygues	Georges Leygues
Kawaguchi City	Kawaguchi Saitama
Watanabe Chima	Kazuma Watanabe
Little Rock	Little Rock Arkansas
Alfredo Cristiani Burcard	Alfredo Cristiani
Guangxi Zhuang Autonomous Region	Guangxi
Carrie Underwood	Carrie Underwood
Catholic Diocese of Paris	Roman Catholic Archdiocese of Paris
Luzhniki Stadium	Luzhniki Stadium
Tumpa Stadium	Toumba Stadium
Moses Katsav	Moshe Katsav
Forensic Pioneer	Forensic Heroes
Hokuto	Hokuto Yamanashi
Yomiuri TV	Yomiuri Telecasting Corporation
Sven Bender	Sven Bender
Air Canada	Air Canada
William Adams Richardson	William Adams Richardson
196768 European Cup Winners Cup	196768 European Cup Winners Cup
rosebowl	Rose Bowl
Albuquerque New Mexico	Albuquerque New Mexico
Gustav Hertz	Gustav Ludwig Hertz
Bradford	Bradford
Igor Tudor	Igor Tudor
Crystal Palace Football Club	Crystal Palace FC
Swiss Football Association	Swiss Football Association
Reto Ziegler	Reto Ziegler
Zheng Kaimu	Zheng Kaimu
Janez Drnovšek	Janez Drnovšek
choke hot red pepper	Red Hot Chili Peppers
Jason Chan	Jason Chan
Party of Regions	Party of Regions
Juan Antonio Samaranch	Juan Antonio Samaranch
Chua Soi Lek	Chua Soi Lek
PlayStation	PlayStation
Fujikawaguchikomachi	Fujikawaguchiko Yamanashi
Charles S Fairchild	Charles S Fairchild
Ngari Prefecture	Ngari Prefecture
Du Wei	Du Wei
Ranger 2	Ranger 2
Quảng Ngãi Province	Quảng Ngãi Province
List of Ottoman Sultans	List of sultans of the Ottoman Empire
Scuderia Ferrari	Scuderia Ferrari
Connecticut River	Connecticut River
Claude Makelele	Claude Makélélé
William Chan	William Chan
Vince Cable	Vince Cable
World Championships in Athletics	IAAF World Championships in Athletics
esbjerg	Esbjerg
John Curtin	John Curtin
Rolling star	Rolling Star
Petro Bagdoglio	Pietro Badoglio
Far away	Far Away
Zhongshan	Zhongshan
The British Monarch	Monarchy of the United Kingdom
Khabarovsk Krai	Khabarovsk Krai
Ivy Bridge	Ivy Bridge
Altai Republic	Altai Republic
Sendai City	Sendai
Ali Abdullah Saleh	Ali Abdullah Saleh
Lost	Lost
Hung Up	Hung Up
Madam Cutie On Duty	Madam Cutie On Duty
Julie Bishop	Julie Bishop
197374 European Cup Winners Cup	197374 European Cup Winners Cup
Haixi Mongolian and Tibetan Autonomous Prefecture	Haixi Mongol and Tibetan Autonomous Prefecture
Sichuan University	Sichuan University
The Hague	The Hague
Wanli Emperor	Wanli Emperor
App Store	App Store
Jules Bianchi	Jules Bianchi
The OC	The OC
Nexus 7	Nexus 7
Apple A9	Apple A9
Vernal Utah	Vernal Utah
Ruth Bader Ginsberg	Ruth Bader Ginsburg
Sakhalin	Sakhalin
AuvergneRhôneAlpes	AuvergneRhôneAlpes
Peking University	Peking University
Iron Man	Iron Man
Emile Borrell	Émile Borel
Pohnpei	Pohnpeian language
Stéphane Mallarmé	Stéphane Mallarmé
Jungo Fujimoto	Jungo Fujimoto
Cristiano Zanetti	Cristiano Zanetti
Niki Minaj	Nicki Minaj
starwars	Star Wars
Suzhou City	Suzhou
Ranieri Maria Gaetano	Prince Ranieri Duke of Castro
Luoyang	Luoyang
Dischord Records	Dischord Records
George IV	George IV of the United Kingdom
New Caledonia	New Caledonia
Parc des Princes	Parc des Princes
Hammarby Fotboll	Hammarby Fotboll
Gaythorne	Gaythorne Queensland
Azerbaijani	Azerbaijanis
Sir Reginald Edward Stubbs GCMG	Reginald Edward Stubbs
Spitzer Space Telescope	Spitzer Space Telescope
Coquitlam	Coquitlam
Battle of Ngọc HồiĐống Đa	Battle of Ngọc HồiĐống Đa
Shin Hyungmin	Shin Hyungmin
Carlos Tevez	Carlos Tevez
Jules Verne	Jules Verne
Libyan National Transitional Council	National Transitional Council
Flea	Flea
Pope Victor III	Pope Victor III
Astana	Astana
Yunfu	Yunfu
Cabuyao	Cabuyao
Emerson College	Emerson College
Hashemites	Hashemites
munsterprovince	Munster
Lima United	Alianza Lima
Serik Akhmetov	Serik Akhmetov
Toyota City	Toyota Aichi
Ronald Coase	Ronald Coase
Love so sweet	Love So Sweet
Stoke City Football Club	Stoke City FC
Solar Dynamics Observatory	Solar Dynamics Observatory
Liu Shoucheng	Liu Shoucheng
Mohammad Anwar Sadat	Anwar Sadat
INTERPOL	Interpol
Pope Severinus	Pope Severinus
Ada Choi	Ada Choi
Elizabeth II	Elizabeth II
Bernhard Prince of SaxeMeiningen	Bernhard Prince of SaxeMeiningen
Tom Elliott	Tom Elliott
Top Gear	Top Gear
GeGeGe no Nyōbō	GeGeGe no Nyōbō
redwood city	Redwood City California
Real Mallorca Athletic	RCD Mallorca
Laibin	Laibin
SDN48	SDN48
AMD Radeon Rx 200	AMD Radeon Rx 200 series
Shyu Jongshyong	Shyu Jongshyong
UK House of Commons	House of Commons of the United Kingdom
Baba Rahman	Baba Rahman
Marco Divoyo	Marco Di Vaio
Romansh	Romansh language
Yemen	Yemen
Tim Howard	Tim Howard
Dejavu	Dejavu
Mexico	Mexico
Jacqueline Kennedy Onassis	Jacqueline Kennedy Onassis
Lyon	Lyon
Tong Liya	Tong Liya
salt lake city	Salt Lake City
Gordon Sprigg	Gordon Sprigg
2014 AFC Presidents Cup	2014 AFC Presidents Cup
Alcalá de Henares	Alcalá de Henares
Stanislaw Mikovajczyk	Stanisław Mikołajczyk
Katsura Tarō	Katsura Tarō
Hashire Bicycle	Hashire Bicycle
PuXian Min	PuXian Min
Newcastle Jets Football Club	Newcastle Jets FC
Koshima Haruna	Haruna Kojima
croatia	Croatia
Ding Aung Min U	Tin Aung Myint Oo
Vincent Wong	Vincent Wong
Jeremy Bentham	Jeremy Bentham
Ich will	Ich will
American Samoa	American Samoa
Anos Fogg Rasmussen	Anders Fogh Rasmussen
Kagayaku Tsuki no Yō ni	Kagayaku Tsuki no Yō ni
Mayor of New Taipei City	Mayor of New Taipei
Nong Duc Manh	Nông Đức Mạnh
Tự Đức	Tự Đức
Kevin Doyle	Kevin Doyle
Nereu Ramos	Nereu Ramos
Princess Iman Bint Hussein	Princess Iman bint Hussein
nevada	Nevada
2013 AFC Presidents Cup	2013 AFC Presidents Cup
Mohammad Natsir	Mohammad Natsir
hard rock	Hard rock
Campeonato Paulista	Campeonato Paulista
Nokia Lumia 800	Nokia Lumia 800
Akihiro Ienaga	Akihiro Ienaga
J7	Chengdu J7
Michael Spence	Michael Spence
Chrome OS	Chrome OS
Jeffrey Chaucer	Geoffrey Chaucer
Senjūrō Hayashi	Senjūrō Hayashi
CurtisWright Company	CurtissWright
Wang Feng	Wang Feng
Tigrinya	Tigrinya language
From the Bottom of My Broken Heart	From the Bottom of My Broken Heart
Tom Hiddleston	Tom Hiddleston
Indiana Pacers	Indiana Pacers
The Hippocratic Crush II	The Hippocratic Crush ll
Auburn University	Auburn University
Patrick Kisnowbo	Patrick Kisnorbo
University of Texas at Austin	University of Texas at Austin
Exeter City Football Club	Exeter City FC
US Virgin Islands	United States Virgin Islands
Nagano	Nagano Prefecture
WatchOS	WatchOS
Serbia National Football Team	Serbia national football team
Qingdao Zhongneng Football Club	Qingdao Jonoon FC
Paisley Wu	Paisley Wu
Children of Bodom	Children of Bodom
20142015 Europa League	201415 UEFA Europa League
Luis Guillermo Solis	Luis Guillermo Solís
Body Feels EXIT	Body Feels Exit
Roscoe H Hillenkoetter	Roscoe H Hillenkoetter
Leonid Ilyich Brezhnev	Leonid Brezhnev
Stanford University	Stanford University
Antiochus III the Great	Antiochus III the Great
2	2
David Sainsbury Baron Sainsbury of Turville	David Sainsbury Baron Sainsbury of Turville
Progressive metal	Progressive metal
Matisyahu	Matisyahu
Alexander Millerand	Alexandre Millerand
Continuum	Continuum
Flo Rida	Flo Rida
Jaysh alIslam	Jaysh alIslam
Shakira	Shakira
Keith Newton	Keith Newton
Michihiro Yasuda	Michihiro Yasuda
Mark Overmars	Marc Overmars
Lee Yingyuan	Lee Yingyuan
Zalman Shazar	Zalman Shazar
Fukushima Fukushima	Fukushima Fukushima
Tham alphabet	Tai Tham alphabet
New York Knicks	New York Knicks
Tajiri Tomomi	Satoshi Tajiri
The Third Crusade	Third Crusade
Adult Swim	Adult Swim
Kliment Yefremovich Voroshilov	Kliment Voroshilov
Slavoljub Muslin	Slavoljub Muslin
Nicolae Rădescu	Nicolae Rădescu
Brazilian Navy	Brazilian Navy
Yuan Quan	Yuan Quan
OHare International Airport	OHare International Airport
England Football Isthmian League	Isthmian League
Ali Khamenei	Ali Khamenei
Halo	Halo
Warringa Council	Warringah Council
Liev Schreiber	Liev Schreiber
SouthendonSea	SouthendonSea
Southern All Stars	Southern All Stars
Manchester United Football Club	Manchester United FC
Liza Wang	Liza Wang
Huizhou Chinese	Huizhou Chinese
Mahatma Gandhi	Mahatma Gandhi
EA Canada	EA Canada
brooklynnets	Brooklyn Nets
River of Wine	River of Wine
Japan Airlines	Japan Airlines
Yokkaichi City	Yokkaichi Mie
Eurostar	Eurostar
Reise Reise	Reise Reise
Giovanni Lanza	Giovanni Lanza
Darío Cvitanich	Darío Cvitanich
George Zweig	George Zweig
Hawaii Territory	Territory of Hawaii
Pisa	Pisa
RhaetoRomance languages	RhaetoRomance languages
Milan Susak	Milan Susak
Jules Henri Poincaré	Henri Poincaré
Dick Cheney	Dick Cheney
CROSS GENE	Cross Gene
Dalton McGuinty	Dalton McGuinty
Artaxerxes I of Persia	Artaxerxes I of Persia
Hussein Fatemi	Hossein Fatemi
Josh Singer	Josh Singer
Smenkhkare	Smenkhkare
Sikkim	Sikkimese language
Murad II	Murad II
Nexus Player	Nexus Player
Paul Sousa	Paulo Sousa
San Martin del Reorellio	San Martín del Rey Aurelio
Dashu District	Dashu District
Arizona	Arizona
Henry Addington 1st Viscount Sidmouth	Henry Addington 1st Viscount Sidmouth
Yiling Yangtze River Bridge	Yiling Yangtze River Bridge
Bettino Craxi	Bettino Craxi
Yuri Zhirkov	Yuri Zhirkov
Sofia	Queen Sofía of Spain
Lisco	Lisco Nebraska
Fabricio dos Santos Messias	Fabrício dos Santos Messias
Joseph Bonaparte	Joseph Bonaparte
Panathinaikos Football Club	Panathinaikos FC
Left Front	Left Front
Ōita Ōita	Ōita Ōita
Lo Chihen	Lo Chihen
Gennaro Gattuso	Gennaro Gattuso
Lon Nol	Lon Nol
Indiana	Indiana
Edward J McDermott	Edward J McDermott
Grand Duchy of MecklenburgSchwerin	Grand Duchy of MecklenburgSchwerin
Ali Lahayed	Ali Laarayedh
National Institute of Statistics	National Institute of Statistics
Cheltenham	Cheltenham
Scunthorpe United Football Club	Scunthorpe United FC
Henry Bergson	Henri Bergson
Swahili	Swahili language
Princeton University	Princeton University
Epic Games	Epic Games
Kenix Kwok	Kenix Kwok
Claudio Bravo	Claudio Bravo
bayinchaolu	Bayanqolu
London Underground	London Underground
Rockstar Toronto	Rockstar Toronto
Didier Zokora	Didier Zokora
Parlophone	Parlophone
Xiang language	Xiang Chinese
Azores	Azores
Emil Hácha	Emil Hácha
BBC America	BBC America
Southern Rhodesia	Southern Rhodesia
Yoo Hojeong	Yoo Hojeong
halmstad	Halmstad
Yellow River	Yellow River
Albanian Party of Labour	Party of Labour of Albania
Caleb Gusheng	Caleb Cushing
Takamura Masahiko	Masahiko Kōmura
Wonder Girls	Wonder Girls
Mongol Peoples Army	Mongolian Peoples Army
Sunderland Tyne and Wear	Sunderland Tyne and Wear
Princess Iman bint Abdullah	Princess Iman bint Abdullah
Chung Kingfai	Chung Kingfai
Edmund Burke	Edmund Burke
Pascal Zuberbühler	Pascal Zuberbühler
Kim Taeyeon	Kim Taeyeon
Kadmad	Kadima
Dreams Metro Gallery FC	Dreams Metro Gallery FC
Mesut Yilmaz	Mesut Yılmaz
Yu Tao	Yu Tao
Two and a Half Men	Two and a Half Men
Mein Herz brennt	Mein Herz brennt
James R Hindman	James R Hindman
Lee Hyun Woo	Lee Hyunwoo
Jack Shephard	Jack Shephard
BOLERO	Bolero
Doctor Who	Doctor Who
Allen Lee	Allen Lee
Russian Republic	Russian Republic
Jalan Besar Stadium	Jalan Besar Stadium
Justo Villar	Justo Villar
Gō	Gō
David Coulthard	David Coulthard
LOVE  TRUTH	Love  Truth
Koki Yonekura	Koki Yonekura
Whitney Houston	Whitney Houston
Tang Fei	Tang Fei
Louis Antoine Duke of Angoulême	Louis Antoine Duke of Angoulême
Jin Yangyang	Jin Yangyang
Olof Melberg	Olof Mellberg
Davide Santon	Davide Santon
University of Minnesota	University of Minnesota
JeanMarc Herrault	JeanMarc Ayrault
B language	B
Trust Territory of the Pacific Islands	Trust Territory of the Pacific Islands
Wilhelmina	Wilhelmina of the Netherlands
Sledgehammer Games	Sledgehammer Games
Mirza Nasrallah Khan	Mirza Nasrullah Khan
Li Lisan	Li Lisan
Nakaharaku	Nakaharaku Kawasaki
Victoria Song	Victoria Song
Chelsea Township	Chelsea Township Butler County Kansas
Du Wenhui	Du Wenhui
Lee Cheukyan	Lee Cheukyan
Wang Shouting	Wang Shouting
Terry Branstad	Terry Branstad
Henry Norris Russell	Henry Norris Russell
Satoshi Ohno	Satoshi Ohno
OH58 Kiowa reconnaissance helicopter	Bell OH58 Kiowa
Štark Arena	Kombank Arena
Vilnius	Vilnius
Gary Medel	Gary Medel
University of Strasbourg	University of Strasbourg
Hisakari Takashi	Takashi Hishikari
Queen Wei	Empress Wei
Rui Marques	Rui Marques
Argentine Primera División	Argentine Primera División
Need for Speed	Need for Speed
Jeju language	Jeju language
Haris Silajdžić	Haris Silajdžić
Cyprus National Football Team	Cyprus national football team
William Petty	William Petty
Starz	Starz
Suqian	Suqian
