BBC Radio 1	Bradford,HTC One V,Ruhrstadion,HTC First,DC Comics,FC Goa,Belgrade,Bob Carr,Bulgaria,Croatia,Pep Guardiola,Tomb Raider,Cao Cao,AS Roma,Brazil,FC Basel,FC Seoul,Air Canada,Maxis,Voyager 2,AC Omonia,ND Gorica,New Horizons,Belfast,So Girls,Xiaomi,Ich will,AS Nancy,The Hague,GDragon,Celeron,Ranger 2,Corsier,Bird,Belize,Clang,Nampo,Jay album,FC Metz,Nintendo DS,Ranger 6,Sendai,Busan,Budapest,Nevada,Bob Corker,Emilia Fox,Botswana,Monaco,BBC One
Sugasa Dasa Stadium	Karaiskakis Stadium,Toumba Stadium,Tianhe Stadium,Rose Bowl stadium,Mong Kok Stadium,Luzhniki Stadium,Philips Stadion,Dutch East Indies,Yokohama Station,Vegalta Sendai,Ruhrstadion,Santander Spain,Lingya District,Suwa Nagano,Sandra Day OConnor,Salt Lake City,Khabarovsk Krai,Dave Mustaine,Westwood Studios,Asamoah Gyan,Hausa language,Hakan Yakin,UD Las Palmas,Suzuki Escudo,Lakhdar Brahimi,Kushan Empire,Haha entertainer,Kazuma Watanabe,Fujisawa Kanagawa,Mamadou Sakho,Wuhan Zall FC,Kawaguchi Saitama,Naif Hazazi,Mana Iwabuchi,Hungarian forint,Ahmad Shah Bahadur,Run Run Shaw,Yashio Saitama,Yugawara,One Arashi album,Maya Yoshida,Anwar Sadat,Marco Di Vaio,Aung San Suu Kyi,Split Croatia,Piedra Spain,Jay album,Jules Bianchi,Swiss Super League,Sugathadasa Stadium
ShanghaiKunming Line	Shanghai,Wang Dongxing,Nankai University,Shandong Airlines,Zhang Wentian,Qinghai Senke FC,Chen Jianbin,Qiangic languages,Inha University,Park Jungmin,Tajimi Gifu,Sunny Hill,Zhang Yesui,Santander Spain,Hungarian forint,Haha entertainer,Ho Chi Minh City,Rainie Yang,Monthly Comic Alive,Jahangir,Kashmiri language,Sakhalin,Joachim Löw,Thuringia,OS X Mountain Lion,Dianne Feinstein,English language,Stanford University,Taipei Metro Line 5,Wuhan University,Lingya District,Huangchuan County,Jining,Sichuan University,Yuan Shanshan,Southern Tang,Zhongshan,Tong Liya,Lu Zhangong,Kushan Empire,Xiaomi Mi 2,Connecticut River,Sun Zhengcai,Cathay Pacific,Starcamp EP,Warsaw Uprising,Mongol Empire,The Siren song,Nokia Lumia 800,ShanghaiKunming Railway
Thomas Vermaelen	Thomas Pledl,Thomas Hobbes,Tomer Hemed,John Sherman,Conan OBrien,Together When,Tomb Raider,Tim Krul,Tim BernersLee,Miloš Zeman,Todor Burmov,Tom Hiddleston,Banastre Tarleton,Jeff Merkley,Rahm Emanuel,Ronan Keating,Chris Brown,Emma Goldman,Túpac Huallpa,Takuya Terada,Angela Merkel,Zhongshan,The Hague,Tuo Zhen,Yao people,Khmer Empire,Lima footballer,Elvis Presley,UD Las Palmas,Ingrid Bergman,SC Heerenveen,John Bercow,Marcel Desailly,Alan Sheehan,Leeuwarden,John B Weller,Bob Corker,Stefan Löfven,Hans Geiger,John Curtin,Ron Wyden,Émile Borel,Manuel Valls,Ivan Silayev,George Grenville,Haarlem,Armen Sargsyan,North Brabant,Carl Valeri,Thomas Vermaelen
Hurricane Ike	Americas,Hausa language,Daur language,American Samoa,Warwickshire,HTC One V,Merrimack River,Hayato Ikeda,Starcamp EP,Marc Janko,Hu Jintao,Xu Xiangqian,Michael Bay,Air Canada,Hitachi,Malice Mizer,CurtissWright,Donnie Yen,Chicken,Gary Locke,Luo Gan,Marion Raven,Thuringia,Boeing 747,Zenica,Henri Brisson,Chris Weitz,Emilia Fox,Carl Valeri,Napoleon III,Harold Urey,Hakan Yakin,Cinemax,Corsier,Chavacano,Kurt Alder,Busan,Paraná state,Patrick Leahy,IPhone 5S,Ruhrstadion,Socrates,Budapest,Al Ain FC,Kurt Vonnegut,Hulk comics,Haarlem,Yunnan,Liu Jian,Hurricane Ike
Morocco National Football Team	Mali national football team,Serbia national football team,Wales national football team,Finland national football team,Sweden national football team,France womens national football team,Roberto Carlos footballer,Michael Marrone footballer,France national under21 football team,Czech Republic national football team,National Front France,Lima footballer,Japanese National Railways,Occupation of Japan,City Football Group,Music Madonna album,Vålerenga Fotball,John Eaton politician,Eurico Gaspar Dutra,Hong Kong Football Association,National Revolutionary Army,Brendon Šantalab,FrancoProvençal language,Rose Bowl stadium,Party of Labour of Albania,Nationalist Party Malta,Force Superfly album,Mong Kok Stadium,Tocharian languages,Vincenzo Montella,Marco Di Vaio,Marion Raven,Order of Australia,Michael Bloomberg,Prince Nikolai of Denmark,Portia SimpsonMiller,Royal Dutch Football Association,Worcester City FC,Stadium Australia,Equatorial Guinea,Kara South Korean band,Wuhan Zall FC,Rose Bowl Game,Arabic alphabet,Paraná state,Coptic alphabet,Democratic Party Mongolia,Lamborghini Gallardo,Netherlands Antilles,Morocco national football team
Notre Dame	Pope Mark,Nereu Ramos,Yokohama,The Hague,Tomer Hemed,Nevada,North Sea,Coquitlam,Socrates,Botswana,Bob Carr,Star Wars,Robbie Keane,Pauleta,Monaco,St Albans,Corsier,Setagaya,Goa,Belfast,Lethbridge,Jacques Demy,Astana,Émile Borel,Leessang,Katowice,Nampo,Americas,Belize,Naha,Belgrade,Dordrecht,Armenia,Donnie Yen,Oregon,Carl Valeri,AlQaeda,Sendai,Karakoram,Southern Tang,TRAX band,Montesquieu,Pedro Pires,Rainie Yang,Fool Again,Modula2,Blake Ross,West Java,BBC One,Notre Dame de Paris
Bosnian	Busan,Yunnan,Botswana,Yanan,Croatia,Zenica,Berlin,Armenia,Valencian,Bashkirs,Monaco,Goa,Belize,Brooklyn,Bird,Mestizo,Modula2,Astana,Jining,Corsier,Sendai,Luo Gan,Liu Jian,Kashiwa,Bob Carr,Moon EP,Qantas,Iron Man,Brazil,Berbers,Belgrade,Sammir,Bulgaria,Pakistan,Gujarat,Yemen,Linux,Hebei,Delhi,Naha,BASIC,Nevada,Americas,Oregon,Palencia,Belfast,Tigris,Clang,McLaren,Bosnian language
Wuhan University	Inha University,Tulane University,Sichuan University,Auburn University,Brown University,Nankai University,Clark University,Leiden University,Cornell University,Brandeis University,Stanford University,Northeastern University,Wuhan Zall FC,Sean Connery,John Roberts,Chen Jianbin,Yuan Shanshan,Zhang Wentian,Zhang Yesui,Yan Xishan,Kushan Empire,Chandigarh,Conan OBrien,HTC First,Salt Lake City,Jahangir,Warsaw Uprising,Robert Trivers,Budapest,Haha entertainer,John Bercow,Southend United FC,Ronan Keating,Hans Geiger,John Curtin,John Sherman,Mohamed Morsi,Brian Wilson,Pat Roberts,Wally West,Brian Mulroney,Cantonese,Dai Jiaoqian,Wang Dongxing,Ordos City,Sun Zhengcai,Shandong Airlines,Guangxi,Wang Zhen,Wuhan University
Sunny Hill	Ich will,So Girls,Tong Liya,Senad Lulić,Punjabis,Sendai,Luís Figo,Yunnan,Gary Cahill,Shanghai,Guangxi,Wind song,Moon EP,Ledley King,Sammir,Jining,Ordos City,Zenica,SimCity,Sorry Sorry,Soft rock,Inuyasha,Donnie Yen,Suzhou,OneDrive,Liu Jian,Star Wars,Tim Krul,Quito,Luo Gan,Shropshire,Wally West,Sakhalin,Manuel Valls,Bulgaria,Zhu Xi,Red Skull,Yang Xu,Lu Xun,Tuo Zhen,Wang Zhen,Brazil,Iron Man,Sukhoi Su24,Heartful,Jay album,Egirls,TRAX band,Naughty Dog,Sunny Hill
Americas	Armenia,Zenica,Berbers,Tigris,Paris,Mauritius,Belize,Nevada,Cameroon,Azerbaijanis,Astana,Belfast,Camellia,Sendai,Alkmaar,AlQaeda,Maxis,Socrates,So Girls,OneDrive,Over Load,Egirls,ND Gorica,Qantas,Kashiwa,Star Wars,Madrid,Avex Trax,AS Roma,Berlin,Palencia,Croatia,Gujarat,Pakistan,American Samoa,Yemen,Bird,Oregon,Mestizo,Goa,Bulgaria,Punjabis,Monaco,Chicken,Chavacano,Bashkirs,Yunnan,Valencian,Corsier,Americas
Jim Ji won	Liu Jian,Guo Jinlong,Kim Ryeowook,Jining,Wilber Pan,Yan Xishan,Wind song,Tim Krul,SimCity,Bill Nelson,Cameroon,Confignon,Emilia Fox,Li Ruihuan,Brian Wilson,Hu Jintao,Kim Hyungil,Nampo,Qin Sheng,Kim Heechul,Luo Gan,GDragon,Chen Jianbin,Marc Janko,Jay album,Donnie Yen,Chicken,Ich will,So Girls,Zhu Xi,Dai Jiaoqian,Kashiwa,Tuo Zhen,Luís Figo,Joachim Löw,Sammir,Lu Xun,Xiaomi,Jimmy Carter,Jerry Moran,Xiaomi Mi 2,HTC First,Victor Ponta,Mestizo,Americas,Liu Yuzhang,Celeron,Quito,Tigris,Kim Jiwon actress
ArabIsraeli conflict	AlNusra Front,Arabic alphabet,Casey Affleck,Abdelaziz Bouteflika,Altai Republic,Aramaic alphabet,Samuel Alito,Hulk comics,Zara Phillips,Takasaki Gunma,Cathay Pacific,Aleksandr Kokorin,LibreOffice,Amintore Fanfani,An Lushan Rebellion,Camellia,Hausa language,Warsaw Uprising,The Siren song,Aymara language,Armenia,Kashmiri language,Carl Valeri,Hungarian forint,One Arashi album,Fahri Korutürk,Angels Fall First,Lingya District,Azerbaijanis,Karaiskakis Stadium,Carson California,Sakhalin,Body Feels Exit,Ruhrstadion,Manuel Valls,Cape Colony,Basque language,Flora Finch,Carl Levin,Gerald Guralnik,Ibaraki Osaka,Angelino Alfano,New Caledonia,Haruna Kojima,Francesco Toldo,Wang Dongxing,Athletic Bilbao,Trabzonspor,Takashi Sorimachi,ArabIsraeli conflict
Ada	AWK,Goa,GNU,IOS,ABBA,Naha,BASIC,Clang,Bird,Kaká,EXID,AlQaeda,H EP,Astana,Yanan,NTV7,Lyon,VIXX,TVBS,Nevada,Ovid,Metz,Busan,Sendai,Modula2,Linux,MeeGo,Nampo,SS501,Maxis,Armenia,Delhi,FC Goa,Zenica,Monaco,Xiaomi,Alkmaar,Yunnan,SDN48,Odawara,Yemen,Qantas,Quito,Hebei,AS Roma,Madrid,Paris,Brazil,McLaren,Ada programming language
Arabic Alphabet	Aramaic alphabet,Coptic alphabet,Drake rapper,Fabio Capello,Robbie Keane,Arjen Robben,Celtic languages,Qiangic languages,Altai Republic,Club Atlas,American Samoa,Americas,Animax Asia,Ivan Silayev,AMC TV channel,Jay album,Airbus A330,Naif Hazazi,Agatha Barbara,Yan Xishan,Air Canada,Anwar Sadat,Marc Janko,Tang Shaoyi,Paraná state,Alan Sheehan,Trabzonspor,Wang Zhen,Mariah Carey,Kurt Alder,Malice Mizer,Warwickshire,Marion Raven,Angelino Alfano,St Albans,Padmé Amidala,Eagle Airways,Fabien Barthez,Avril Lavigne,Mario Gómez,Fábio Aurélio,Debbie Stabenow,Liu Yuzhang,Hausa language,Tibetic languages,Akkadian language,Daur language,Armenia,Pakistan,Arabic alphabet
Inha University	Wuhan University,Nankai University,Sichuan University,Brown University,Clark University,Tulane University,Leiden University,Cornell University,Auburn University,Brandeis University,Stanford University,Haha entertainer,Northeastern University,HTC First,Salt Lake City,John Roberts,Mohamed Morsi,Lingya District,Budapest,The Siren song,Rainie Yang,Ich will,Ibaraki Osaka,OneDrive,Chandigarh,Ho Chi Minh City,Zhang Wentian,SimCity,Conan OBrien,Andi Herzog,Zhang Yesui,Robert Trivers,Carl Valeri,John Sherman,Indiana Pacers,Tim BernersLee,Bashkirs,Ranger 2,John Bercow,Ronan Keating,Hans Geiger,Jahangir,IPhone 5S,Zara Phillips,John Curtin,Ranger 6,Chris Weitz,Pat Roberts,Jeff Merkley,Inha University
Michael Sheen	Michael Bay,Michael Bloomberg,Alan Sheehan,McLaren,Qin Sheng,Milan Susak,Wang Zhen,William Chan,David Stern,Donnie Yen,John Sherman,Carl Levin,Jacques Demy,Miloš Zeman,Wilber Pan,Manuel Valls,Marion Raven,Sakhalin,Mao Fumei,Malice Mizer,Mohamed Morsi,Together When,Mariah Carey,Piedra Spain,Love So Sweet,Yitzhak Rabin,Tuo Zhen,Maebashi,Akhenaten,SC Heerenveen,Phil Spector,Will Arnett,Chris Brown,Victor Ponta,Conan OBrien,Adam Smith,Robbie Keane,Bill Nelson,Ched Evans,Samuel Alito,Carl Valeri,Marc Janko,John Paul Stevens,Fool Again,Mario Gómez,Maya Yoshida,Run Run Shaw,Pauleta,Hakan Yakin,Michael Sheen
Abd Raab Mansour Hadi	Aung San Suu Kyi,RCD Mallorca,Akkadian language,Aymara language,Ahmad Shah Bahadur,Hausa language,Takeaki Matsumoto,Nanako Matsushima,Daur language,Agatha Barbara,Bosnian language,New Zealand Labour Party,American Samoa,Air Canada,Mohamed Morsi,Naif Hazazi,Haj Ali Razmara,Amintore Fanfani,Abdelaziz Bouteflika,Anwar Sadat,Rahm Emanuel,Mamadou Sakho,Hakan Yakin,Rensuke Isogai,Trabzonspor,Luigi Einaudi,Bernard Mandeville,Alfredo Cristiani,Nedum Onuoha,Jack Kerouac,Angela Merkel,Carl Valeri,Marc Janko,Guy de Maupassant,Nacho Monreal,Takuya Terada,Giannis Maniatis,Ander Herrera,Gerald Ford,Ho Chi Minh City,Zhang Yesui,Kashmiri language,AC Sparta Prague,Jerry Moran,Animax Asia,Patty Murray,Scuderia Ferrari,Tigrinya language,Romansh language,Abd Rabbuh Mansur Hadi
Bill Nelson	Brian Wilson,Carl Levin,Will Champion,Will Arnett,Wally West,Miloš Zeman,Wind song,Édith Cresson,Celeron,Carl Valeri,William Chan,Blake Ross,Wilber Pan,Fool Again,John Bercow,Phil Spector,Andi Herzog,Brian Mulroney,Oregon,Gold Typhoon,Liu Jian,Nilo Peçanha,Milan Susak,Cape Colony,Brooklyn,Budapest,Belize,Lost season 3,Busan,Cameroon,Belfast,Berbers,Li Keqiang,Bob Corker,Illinois,Berlin,Bob Carr,Tim Krul,Ron Wyden,John Sherman,William Windom,Sven Bender,Donnie Yen,Bird,Villarreal CF,William Golding,GDragon,Michael Bay,John Curtin,Bill Nelson
Al Qaeda	Alkmaar,Air Canada,AS Nancy,Nevada,Astana,AS Roma,Al Ain FC,TRAX band,FC Goa,Naha,Qantas,Armenia,Bulgaria,Clang,Inuyasha,Croatia,Odawara,Belgrade,Pauleta,AC Omonia,FC Metz,Berbers,FC Basel,AWK,HTC One V,Yemen,Qin Sheng,Anwar Sadat,Clojure,Hitachi,Kaká,Shueisha,Punjabis,Camellia,ABBA,West Java,BBC One,Americas,Esbjerg,Ovid,McLaren,GDragon,ND Gorica,Zenica,TVBSAsia,Cao Cao,Carl Valeri,Bird,Nampo,AlQaeda
Lingya District	Wang Dongxing,Lin Fengjiao,Maya Yoshida,Qing dynasty,Tong Liya,Tang Shaoyi,Yan Xishan,Qinghai Senke FC,Mongol Empire,Sunny Hill,Liu Jian,Inha University,Piedra Spain,Deng Yingchao,Zhang Wentian,Tigris,Bulgaria,Toyota Aichi,Wind song,Inuyasha,Zhang Yesui,Xiaomi Mi 2,Pakistan,Hungarian forint,Nightwish,Flora Finch,County Durham,Animax Asia,Punjabis,ND Gorica,Ronan Keating,Marco Di Vaio,Mauritius,HTC First,Ulla Schmidt,Kuniaki Koiso,OneDrive,Takuya Terada,Conan OBrien,Flea musician,Dianne Feinstein,Niklaus Wirth,Jimmy Carter,Wally West,Luigi Einaudi,Angela Merkel,William Des Vœux,Mini DisplayPort,Dave Mustaine,Lingya District
Philip II Macedonia	Philips Stadion,New Caledonia,Phil Spector,Will Champion,Pietro Badoglio,Split Croatia,Luigi Einaudi,Nilo Peçanha,Shire of Winton,Rise of Nations,Pep Guardiola,Pasadena California,Pedro I of Brazil,Pope Mark,William Windom,Victor Ponta,Bill Nelson,Miloš Zeman,Carl Valeri,William Golding,Pope Leo IX,AC Omonia,Giannis Maniatis,Cristiano Zanetti,Republic of Genoa,Hayato Ikeda,City of Canada Bay,AlQaeda,Wilber Pan,Octopuss Garden,Thomas Vermaelen,Ahmed Ouyahia,Party of Regions,Debbie Stabenow,Carlos Santana,Rainie Yang,Palencia,American Samoa,Northern California,Indiana Pacers,Marion Raven,Carson California,RCD Mallorca,Philadelphia 76ers,Dai Jiaoqian,Emilia Fox,Malice Mizer,Air Canada,Gossip Candy,Philip II of Macedon
JeanBaptiste Lamarck	Juan Antonio Samaranch,JeanPaul Sartre,Georgios Samaras,Banastre Tarleton,Haj Ali Razmara,Pope Mark,Giannis Maniatis,Daisuke Sakata,Alianza Lima,Battle Fever J,West Java,Scottish Gaelic,Jacques Demy,Jeremy Bentham,Benjamin Bristow,Jack Kerouac,Ernst Kummer,Hans Geiger,Casey Affleck,Sean Connery,Joachim Löw,Shaquille ONeal,John Sherman,Malice Mizer,Heath Ledger,Leandro Guaita,Patrick Leahy,Jahangir,PFC Litex Lovech,Anwar Sadat,Agatha Barbara,Senad Lulić,Seven Years War,Rainie Yang,Naif Hazazi,Takashi Sorimachi,Denis Zvizdić,Benjamin Disraeli,Seth Harris,Takatsuki Osaka,Patty Murray,Newcastle Jets FC,Haha entertainer,Santander Spain,Connecticut River,Vegalta Sendai,Yan Xishan,Mariah Carey,San Antonio Spurs,JeanBaptiste Lamarck
Western Yugur	West Java,Herbert Blumer,Peter Crouch,Southern Tang,West Virginia,Wilber Pan,Rivers Cuomo,The Hague,Heath Ledger,Kushan Empire,Berbers,Mestizo,Khmer Empire,Yemen,Astana,Worcestershire,Leessang,Milan Susak,Evergreen Group,Sergey Shoygu,Senad Lulić,Roger Wicker,Zhang Yesui,Kidderminster,Heartful,Tomer Hemed,Lee Seunggi,Celeron,Jahangir,Ledley King,Cosmin Contra,Sven Bender,Lethbridge,Hakan Yakin,Gelderland,Gerd Müller,Esbjerg,Victor Ponta,Penguin Books,Over Load,Ernst Kummer,Pedro Pires,Nintendo 2DS,Kurt Vonnegut,Bert T Combs,Jerry Moran,Nintendo DSi,Ranger 2,Ranger 6,Western Yugur language
Albert II Belgium	Umberto II of Italy,Robert Trivers,Herbert Blumer,Jeremy Bentham,Kurt Vonnegut,Auburn University,Bert T Combs,Bertrand Delanoë,Lucrezia Borgia,Robert Coontz,Angela Merkel,Blerim Džemaili,Rose Bowl stadium,Ingrid Bergman,Athletic Bilbao,Ander Herrera,Heath Ledger,Party of Regions,Altai Republic,Clark University,Pedro I of Brazil,North Brabant,Carl Valeri,John B Weller,The Hague,Carl Levin,AC Sparta Prague,Pietro Badoglio,Fabio Capello,Zara Phillips,Ahmed Ouyahia,Arjen Robben,North Carolina,West Virginia,Armenia,Senad Lulić,Angelino Alfano,Roger Wicker,Agatha Barbara,Tomer Hemed,Atlantic Records,Belgian Pro League,Sherrod Brown,Alan Sheehan,Gerd Müller,Salt Lake City,Sergey Shoygu,Khmer Empire,American Samoa,Albert II of Belgium
Guy de Maupassant	Dave Mustaine,Budapest,George Papandreou,Kourtney Kardashian,Moshe Katsav,Claude Makélélé,North Brabant,House of Vasa,Armen Sargsyan,Ahmed Ouyahia,Gelderland,Xu Xiangqian,Leessang,County Monaghan,Gold Typhoon,Yuan Shanshan,Suwa Nagano,Gujarat,Madagascar,Henri Brisson,Édith Cresson,Giordano Bruno,Eurico Gaspar Dutra,Waldemar Pawlak,RCD Mallorca,Leandro Guaita,Pope Pius IX,Haj Ali Razmara,Kazuma Watanabe,Anwar Sadat,Feng Guozhang,Gerald Guralnik,Brendon Šantalab,Leeuwarden,Nanako Matsushima,Daisuke Sakata,Scuderia Ferrari,Giannis Maniatis,Gerd Müller,Li Ruihuan,Yan Xishan,Liu Yuzhang,UD Las Palmas,City of Canada Bay,Luo Gan,Robbie Keane,Jerry Moran,Lu Zhangong,Yuya Tegoshi,Guy de Maupassant
Swiss Federal Council	Swiss Super League,Swiss Football Association,Piedra Spain,Sean Connery,Peter Crouch,Syrian Armed Forces,City Football Group,Santander Spain,London Underground,Chinese FA Cup,New Caledonia,Bill Nelson,Robert Coontz,Rivers Cuomo,Senad Lulić,Lost season 3,Flora Finch,Rise of Nations,Body Feels Exit,Pasadena California,Palm Desert California,Carson California,SC Heerenveen,Jack Kerouac,Aleksandr Kokorin,Huangchuan County,Kim Hyungil,Kim Heechul,Villarreal CF,Air Canada,Stadium Australia,Like a Virgin song,AlNusra Front,West Virginia,Wind song,Southern Tang,Split Croatia,Jules Bianchi,UD Salamanca,Victor Ponta,The Siren song,Celeron,Northern California,Palencia,Vålerenga Fotball,Émile Borel,Wilber Pan,Will Champion,Salt Lake City,Swiss Federal Council
Takuya Terada	Yuya Tegoshi,Haruna Kojima,Maya Yoshida,Katy Perry,Takatsuki Osaka,Hayato Ikeda,Takasaki Gunma,Inuyasha,Daisuke Sakata,Kazuma Watanabe,Yugawara,Suwa Nagano,AlQaeda,Karakoram,Tomer Hemed,Pauleta,Jerry Moran,Agatha Barbara,Avex Trax,Jack Kerouac,Patty Murray,Gujarat,Nevada,Angela Merkel,Air Canada,Voyager 2,Wally West,Setagaya,Vegalta Sendai,Yashio Saitama,Yōko Kamikawa,Tajimi Gifu,Odawara,Nedum Onuoha,Shueisha,Lakhdar Brahimi,Padmé Amidala,TRAX band,Matěj Vydra,Rainie Yang,Hakan Yakin,Ibaraki Osaka,Ashkan Dejagah,Todor Burmov,Toyota Aichi,Tim Krul,Suzuki Escudo,Toumba Stadium,Andi Herzog,Takuya Terada
Friends Season 7	Lost season 3,Wind song,Brian Wilson,French Navy,Roman Sharonov,Bill Nelson,Brian Mulroney,Piedra Spain,Philips Stadion,Forensic Heroes,Seven Years War,Windows Phone,Ronan Keating,Rainie Yang,Marion Raven,Henri Brisson,Qin Sheng,Andi Herzog,Ched Evans,Édith Cresson,Pope Stephen I,Iron Man,Tianhe Stadium,Fabien Barthez,Arjen Robben,Armen Sargsyan,Niels Bohr,Tang Shaoyi,Rensuke Isogai,FC Seoul,Rise of Nations,Fool Again,Chris Weitz,Rivers Cuomo,Red Skull,David Stern,Wilber Pan,The Siren song,North Sea,Chris Brown,Nintendo DS,Celeron,Löfven Cabinet,Donnie Yen,Cape Colony,Robert Coontz,Taiwanese people,Miloš Zeman,Santander Spain,Friends season 7
Indian Premier League	201314 Premier League,Belgian Pro League,Latvian Higher League,Swiss Super League,Indiana Pacers,Indonesian language,Syrian Armed Forces,Tim BernersLee,Taiwanese people,Gilan Province,Ander Herrera,Shimane Prefecture,Nagano Prefecture,Iwate Prefecture,Andi Herzog,Patrick Leahy,Maria GoeppertMayer,Chinese FA Cup,Albanian Armed Forces,Kushan Empire,Bosnian language,Akkadian language,Santander Spain,Tianhe Stadium,Daraa Governorate,Ashkan Dejagah,Inha University,The Pretenders,AC Sparta Prague,Stefan Effenberg,Madonna entertainer,Robbie Keane,Ivan Silayev,Elvis Presley,Tochigi Prefecture,Okayama Prefecture,Nokia Lumia 800,Fukui Prefecture,Rainie Yang,Alan Sheehan,Ibaraki Osaka,The Hague,Pedro Pires,Haha entertainer,2014 AFC Champions League,Ingrid Bergman,Brian Mulroney,Dalian Shide FC,201415 UEFA Europa League,Indian Super League
Madagascar	Setagaya,Maebashi,Odawara,Monaco,Bulgaria,Pakistan,Budapest,Karakoram,Chavacano,Alkmaar,Yugawara,Maxis,Modula2,Mazda Cosmo,Inuyasha,Zhongshan,Jahangir,Qantas,Yan Xishan,Madrid,Mauritius,Botswana,Americas,Croatia,Gujarat,Nevada,Paraná state,Palencia,Zenica,Astana,Pauleta,Sakhalin,Katowice,Sammir,Belfast,Naha,AS Nancy,Yokohama,Valencian,McLaren,AlQaeda,Corsier,Camellia,Yanan,TVBSAsia,Busan,Jay album,Hitachi,Uttarakhand,Madagascar
Tropical Storm Hannah	Victor Ponta,American Samoa,Toumba Stadium,Thomas Vermaelen,John Sherman,Amintore Fanfani,Flora Finch,Pope Stephen I,Wilber Pan,House of Vasa,Roman Sharonov,Republic of Genoa,Nokia Lumia 800,Taipei Metro Line 5,David Stern,National Front France,Armen Sargsyan,Waldemar Pawlak,Carson California,Takashi Sorimachi,Brian Mulroney,Georgios Samaras,Takuya Terada,Nilo Peçanha,Vegalta Sendai,UD Salamanca,Ricardo Carvalho,Love So Sweet,The Siren song,Nicki Minaj,New Caledonia,Taylor Swift,Michael Bloomberg,Universal Orlando,Debbie Stabenow,Little Rock Arkansas,Rose Bowl Game,Ingrid Bergman,Southern Tang,County Monaghan,Shire of Winton,Sorry Sorry,Agatha Barbara,Fool Again,The Chronicles of Narnia,Tomer Hemed,Will Arnett,Alan Sheehan,North Brabant,Tropical Storm Hanna 2002
Royal Australian Air Force	Syrian Armed Forces,Albanian Armed Forces,Stadium Australia,Lhasa Gonggar Airport,Romansh language,AlNusra Front,OS X Mountain Lion,Patrick Kisnorbo,Gerald Guralnik,Reinaldo Elias da Costa,Dave Mustaine,Order of Australia,Boeing Commercial Airplanes,San Antonio Spurs,Hausa language,Jetstar Airways,RCD Mallorca,Al Ain FC,Kushan Empire,Scuderia Ferrari,Hungarian forint,Atlantic Records,Lord William Bentinck,Haj Ali Razmara,William Windom,Electronic Arts,Akkadian language,City Football Group,Gilan Province,Bosnian language,ArabIsraeli conflict,Copa Libertadores,Bulgarian language,Gerald Ford,Angels Fall First,Toyota Aichi,Daur language,Juan Antonio Samaranch,The Republicans France,Palm Desert California,Sandra Day OConnor,Adiel de Oliveira Amorim,Brian Wilson,Fábio Aurélio,Rolling Star,Flea musician,Ronan Keating,Gustav Ludwig Hertz,Tin Aung Myint Oo,Royal Australian Air Force
Fabio Capello	Fábio Aurélio,Gary Cahill,Cao Cao,Mario Gómez,Fabien Barthez,Mariah Carey,Marion Raven,Yao people,Ricardo Carvalho,Manuel Valls,Marco Di Vaio,Carl Valeri,Marc Janko,Bob Carr,FC Basel,Nacho Monreal,Phil Spector,Camellia,Naif Hazazi,Mao Fumei,David Stern,Mazda Cosmo,Air Canada,Yashio Saitama,Giorgio Chiellini,Pietro Badoglio,Robbie Keane,Anton Chekhov,Bob Corker,Bill Nelson,Tim Krul,Pedro Pires,Andi Herzog,FC Goa,Trabzonspor,Jimmy Carter,Rahm Emanuel,Carlos Santana,Hakan Yakin,Katy Perry,Émile Borel,Édith Cresson,Avril Lavigne,Cape Colony,Claude Makélélé,Hayato Ikeda,Debbie Stabenow,John B Weller,Qin Sheng,Fabio Capello
Omonia Sports	Emilia Fox,Sorry Sorry,Oppa Oppa,So Girls,Piedra Spain,Monaco,Émile Borel,David Stern,John Roberts,Phil Spector,Anwar Sadat,Virgin Records,AlNusra Front,Split Croatia,Ordos City,North Sea,Cosmin Contra,Penguin Books,Egirls,San Antonio Spurs,Qin Sheng,Budapest,Americas,Wind song,Atlantic Records,Edogawa Tokyo,RCD Mallorca,Rolling Star,Conan OBrien,Mazda Cosmo,Georgios Samaras,Lollipop F,Nampo,Bashkirs,Trabzonspor,Armenia,Moon EP,Victor Ponta,Mongol Empire,Tigris,Bradford,Confignon,Xiaomi,Tong Liya,Soft rock,Tim Krul,Odawara,Robert Coontz,Over Load,AC Omonia
