Abdullah Gul	Abdullah Gül
Giannina Athletic Club	PAS Giannina FC
GalloRoman	GalloRomance languages
BeijingGuangzhou Railway	BeijingGuangzhou Railway
Red Star Awards 2004	Star Awards 2004
The Hague	The Hague
Suffering	Sōnan
S7 Aviation	S7 Airlines
Khmer Empire	Khmer Empire
Luo Fanjiaofen	Fanny Law
Part and All DIVE	Ichibu to Zenbu Dive
Brest Football Club	Stade Brestois 29
David Longy	David Lange
Watford Football Club	Watford FC
monthly Comp Ace	Monthly Comp Ace
Iker Casillas	Iker Casillas
Everton Park District	Everton Park Queensland
Urasoe Castle	Urasoe Castle
selangor	Selangor
McDonnell Douglas DC10	McDonnell Douglas DC10
US Senate President pro tempore	President pro tempore of the United States Senate
Giuseppe Saraguete	Giuseppe Saragat
Glasgow Caledonian University	Glasgow Caledonian University
Saint Paul	Saint Paul Minnesota
AbdulHussein Mirza Falman Falma	AbdolHossein Farmanfarma
The longing future longing future	Natsukashii Mirai
Economic Development Committee Executive Yuan	Council for Economic Planning and Development
Joseph Pinkowski	Józef Pińkowski
Ximen Station	Ximen Station
University of Notre Dame	University of Notre Dame
Chant of Colors Lonely Dawn	Irohanihoheto
CANDY GIRL	Candy Girl
Muhammad Iqbal	Muhammad Iqbal
Emperor Takakura	Emperor Takakura
Malaysian League One	Malaysia Premier League
LabVIEW	LabVIEW
Ferdinand I	Ferdinand I of Romania
Liu Chan	Liu Shan
West Sumatra	West Sumatra
Cheltenham	Cheltenham
Adaton Jose Dos Santos Filho	Adaílton José dos Santos Filho
Arthur Griffith	Arthur Griffith
sri Lanka	Sri Lanka
Lu Xun	Lu Xun
Edmund Burke	Edmund Burke
Ennington Stanley Football Club	Accrington Stanley FC
MONSTER	Monster
rosebowl	Rose Bowl
Ben Yusuf Ben Heda	Benyoucef Benkhedda
Goth Metal	Gothic metal
Pascal	Pascal
David Ganluney	David Connolly
Borut Pahor	Borut Pahor
Ashley Gower	Ashley Cole
Vittorio Emanuele III	Victor Emmanuel III of Italy
Hirano blog post	Hirofumi Hirano
James Barber	James Barbour
Frederick John Robinson 1st Viscount Godric	F J Robinson 1st Viscount Goderich
University of Lausanne	University of Lausanne
Friends	Friends
Windows 10	Windows 10
Feel my mind	Feel My Mind
Major League Baseball	Major League Baseball
Huang Xiaoming	Huang Xiaoming
John Carvey	John Carew
Gao Huazhu	Kao Huachu
Mean Mr Mustard	Mean Mr Mustard
Alessandro Gamberini	Alessandro Gamberini
Brazil Cup	Copa do Brasil
Roberto I	Robert I Duke of Parma
Deng Lianru	Lydia Dunn Baroness Dunn
Tang Shiyong	Natalie Tong
Sledgehammer Games	Sledgehammer Games
Shanyouzu	San Diu people
NEC Nijmegen	NEC
Ali Ben Flis	Ali Benflis
Daegu Football Club	Daegu FC
Agent Carter	Agent Carter
The Empire of Japan	Empire of Japan
Ernst	Ernst Prince of SaxeMeiningen
Black Widow	Black Widow
Orange County Storm	The OC
National Army of the Republic of Korea	Republic of Korea Armed Forces
2008 Tropical Storm Edward	Tropical Storm Edouard
Pondicherry	Pondicherry
Sony Xperia Z	Sony Xperia Z
Mediacorp Channel 8	Mediacorp Channel 8
1989  UEFA Cup 90	198990 UEFA Cup
beidou	Hokuto Yamanashi
Hans Geiger	Hans Geiger
Ota Kosuke	Kosuke Ota
Fujita Naoyuki	Naoyuki Fujita
ONE LIFE	One Life
JAR	JAR
Federal Reserve System	Federal Reserve System
Maria Leticia Ramolino	Letizia Ramolino
Space Rock	Space rock
NHK Global Broadcasting Network	NHK World
Alfonso I Durst	Alfonso I dEste Duke of Ferrara
Sony Xperia V	Sony Xperia V
Selkur	Sarikoli language
Idlib Governorate	Idlib Governorate
Obviously	Obviously
Sharadavin	Śāradā script
Nanyang Hall	South Pacific Mandate
Ulla Schmidt	Ulla Schmidt
Rockstar London	Rockstar London
Marie Antoinette	Marie Antoinette
Elio Di Rupo	Elio Di Rupo
Bamir Topi	Bamir Topi
AMD Sempron	Sempron
Vlad Ferrat	Vlad Filat
Angelo Peruzzi	Angelo Peruzzi
Christmas Poo Mr Gold	Mr Hankey the Christmas Poo
A COMPLETE ALL SINGLES	A Complete
Andreas Hinkle	Andreas Hinkel
Du hast	Du hast
Park Geunhye	Park Geunhye
Martin Harnick	Martin Harnik
United Kingdom of Great Britain and Ireland	United Kingdom of Great Britain and Ireland
Cicero	Cicero
Harry S Truman	Harry S Truman
Luzhniki Stadium	Luzhniki Stadium
John Ballance	John Ballance
Steven Pinar	Steven Pienaar
Black Sea	Black Sea
Rosen Plevneliev	Rosen Plevneliev
Google Web Toolkit	Google Web Toolkit
Xixian	Xi County Henan
Lian Zhan	Lien Chan
botanical bay	City of Botany Bay
Kentucky	Kentucky
Khakasians	Khakas people
Amy Chen	Aimee Chan
Saudi Arabia	Saudi Arabia
Hunter Stockton Thompson	Hunter S Thompson
Mirrors Edge	Mirrors Edge
Love Day After Tomorrow	Love Day After Tomorrow
Israel Labour Party	Israeli Labor Party
barbados	Barbados
Kurt Alder	Kurt Alder
Liberal Democratic Peoples Party	Peoples Party for Freedom and Democracy
Newark Liberty International Airport	Newark Liberty International Airport
Prime Minister of Canada	Prime Minister of Canada
Alexis Tsipras	Alexis Tsipras
United States Secretary of State	United States Secretary of State
Friedrich Nietzsche	Friedrich Nietzsche
NHK General Channel	NHK General TV
Pauletta	Pauleta
Lucifer	Lucifer
Guangxu Emperor	Guangxu Emperor
Zheng Ren	Jungin
Saudi Frisian	Saterland Frisian language
Pune	Pune
assam	Assam
AugustaVictoria	Augusta Victoria of SchleswigHolstein
Milan Kundera	Milan Kundera
Dress to kill	Dress to Kill
Friends Team	Frienger
Jiangxi Liansheng Football Club	Jiangxi Liansheng FC
Frederic Ljungberg	Fredrik Ljungberg
David Coulter	David Guetta
Nikola Luzin	Nikolai Luzin
Botswana	Botswana
Hangzhou East Railway Station	Hangzhou East Railway Station
Abdul Majid Mirza	Abdol Majid Mirza
STAR	Star
Criminal Investigation File II	Detective Investigation Files II
Chiliang Miura	Kazuyoshi Miura
Nicholas Cage	Nicolas Cage
Lai Qingde	William Lai
Jason Brown	Jason Brown
Dan Bolen	Dan Boren
Boston College	Boston College
Hui Yinghong	Kara Hui
NHK World Premium	NHK World Premium
Do not doubt	No Doubt
Anton Yugoff	Anton Yugov
The Crimean War	Crimean War
Mauro Boselli	Mauro Boselli
Big Julia	Julia the Elder
Lorient Football Club	FC Lorient
Pakistan Peoples Party	Pakistan Peoples Party
Gustav Hertz	Gustav Ludwig Hertz
NVIDIA	Nvidia
WHITE	White
Prince Claus	Prince Claus of the Netherlands
Nursultan Nazarbayev	Nursultan Nazarbayev
Emperor Movies	Emperor Motion Pictures
Jin Zhongmi	Kim Jongpil
Enrico Letta	Enrico Letta
Angela Merkel	Angela Merkel
Alan Greenspan	Alan Greenspan
Dougsom Bowdo	Dogsomyn Bodoo
Auckland Metropolitan Area	Auckland
Fabio Aurelio	Fábio Aurélio
Filipino	Filipino language
Mohamed Dijerdi	Mohamed Tchité
ESPN	ESPN
Chamdo	Chamdo
Jiangsu Longkendia Basketball Club	Jiangsu Dragons
Grand Theft Auto V	Grand Theft Auto V
Huang Renyu	Ray Huang
Li Xianglan	Yoshiko Yamaguchi
Scratch language	Scratch
Henry	Henri Grand Duke of Luxembourg
Yuan Shundi	Toghon Temür
Quercus	Oak
Gabriel Melkan	Gabriel Melkam
The Knights of Malta	Sovereign Military Order of Malta
Australia	Australia
Egirls	Egirls
Cherry Wright	Chely Wright
Dischord Records	Dischord Records
Manhattan Financial District	Financial District Manhattan
Amdi Faye	Amdy Faye
Microsoft Studio	Microsoft Studios
Philip II	Philip II of Macedon
Benedict Cumberbatch	Benedict Cumberbatch
Everton Football Club	Everton FC
Henry D Gilpin	Henry D Gilpin
Yunyang Yangtze River Bridge	Yunyang Yangtze River Bridge
Ukrainian Orthodox Church	Ukrainian Orthodox Church
Raniere	Prince Ranieri Duke of Castro
Oriya	Odia language
Park Dong Hyuk	Park Donghyuk
Communist Party of Cuba	Communist Party of Cuba
Hamaby Football Club	Hammarby Fotboll
Joaquin Sanchez	Joaquín
Iceland	Iceland
Kuwait	Kuwait
Quarry Bay	Quarry Bay
Cheltenham Football Club	Cheltenham Town FC
Olafur Ragnar Grimsson	Ólafur Ragnar Grímsson
Arizona	Arizona
French Serie B	Ligue 2
University of Zurich	University of Zurich
Zeng Zhixiao	Tsang Chi Hau
Richard Rush	Richard Rush
Lake	Lough Neagh
Zou Language	Tsou language
Steven Eliland	Stephen Ireland
The Soul of the Road Car	Driver
Marie Rejeska	Marie Leszczyńska
Miriam Yeung	Miriam Yeung
Morthali Golihan Hidayat	Morteza Gholi Khan Hedayat
	Take That
Cascading Style Sheets	Cascading Style Sheets
Simon Sabrosa	Simão Sabrosa
Jaime	Jaime Duke of Madrid
Yukio Edano	Yukio Edano
Tekoshi Yuya	Yuya Tegoshi
Aruhun	Arghun
Michael Shibapua	Michael Silberbauer
Daily delivery	Mainichi Broadcasting System
Chowdhury Shujat Hussein	Chaudhry Shujaat Hussain
Wu Bingzhi	Adrienne Clarkson
Company of Heroes	Company of Heroes
MercedesBenz Bicycle	Hashire Bicycle
Qingdao Zhongneng Football Club	Qingdao Jonoon FC
Chinese	Chinese language
IndiaGeography	Geography of India
Hungarian Football League	Nemzeti Bajnokság I
University of NebraskaLincoln	University of NebraskaLincoln
Huddersfield Football Club	Huddersfield Town AFC
Godspeed You Black Emperor	Godspeed You Black Emperor
canadian	Canadians
Jin Pucong	King Putsung
Sherik Ahmetov	Serik Akhmetov
Santa Fe	Santa Fe New Mexico
Alia E Hussein	Alia alHussein
The Fall of the World	After Forever
199091 UEFA Cup	199091 UEFA Cup
Andres Guardado	Andrés Guardado
Taboo	Taboo
John YBrown	John Y Brown
CANT SLEEP CANT EAT IM SICK merman	Cant Sleep Cant Eat Im Sick
Motherwell Football Club	Motherwell FC
Zadominso	Thado Minsaw
HTC Desire Z	HTC Desire Z
Emperor Shaozhi	Thiệu Trị
Lawrence Berkeley National Laboratory	Lawrence Berkeley National Laboratory
Swansea City Football Club	Swansea City AFC
Korpiklaani	Korpiklaani
Wayfield Bonney	Wilfried Bony
Harvard Law School	Harvard Law School
Poland Under21 National Football Team	Poland national under21 football team
European Grand Prix	European Grand Prix
Meiji Shrine	Meiji Shrine
Aymara	Aymara language
Nanbu Town	Nanbu Yamanashi
Ganjiang	Gan River
Scott Skiles	Scott Skiles
Marie de Medici	Marie de Medici
Gongqian District	Miyamaeku Kawasaki
Mac OS X v102	Mac OS X 102
John Irvine	John Irving
David Coulter	David Coulthard
Altaic	Altai language
Andre Bikay	André Bikey
Peter Zeeman	Pieter Zeeman
JeanBaptiste Lamarck	JeanBaptiste Lamarck
Klaus Augenthaler	Klaus Augenthaler
Power Metal	Power metal
Governor of India	GovernorGeneral of India
Bucharest Star Football Club	FC Steaua București
Seoul Eland Football Club	Seoul ELand FC
planleute	PlanlesOuates
List of Mexican monarchs	Emperor of Mexico
George Curzon 1st Marquis of Curzon of Kedleston	George Curzon 1st Marquess Curzon of Kedleston
Italian Football League D	Serie D
Li Dahai	Lee Dahae
Duke University	Duke University
Yang Guo	Yang Guo
Le Duan	Lê Duẩn
Gu Chao	Gu Chao
Ryukyu	Ryukyuan people
Sheffield Wednesday Football Club	Sheffield Wednesday FC
Murcia	Murcia
Zhongli District	Zhongli District
Colours	Colours
pebble beach	Pebble Beach California
Huaian	Huaian
Derrick Ross	Derrick Rose
Simon Kyle	Simon Kjær
Love of My Life	Love of My Life
GE Aviation	GE Aviation
1975  76 UEFA Champions League	197576 European Cup
Ming Wuzong	Zhengde Emperor
Scottish Premier League	Scottish Premiership
Long An Tongxin Football Club	Đồng Tâm Long An FC
Muhammad Rafiq Talal	Muhammad Rafiq Tarar
Jafar Sadiq	Jafar alSadiq
Bon Joffe	Bon Jovi
weekly YOUNG JUMP	Weekly Young Jump
Ellie Wiesel	Elie Wiesel
Johann Wolfgang von Goethe	Johann Wolfgang von Goethe
Josh Ernest	Josh Earnest
Zhang Mian	Chang Myon
PierreEmerick Aubameyang	PierreEmerick Aubameyang
Santa Fe Independence	Independiente Santa Fe
Queen of HipPop	Queen of HipPop
MALICE MIZER	Malice Mizer
shock library MAGAZINE	Dengeki Bunko Magazine
Ibrahim Hashem	Ibrahim Hashem
Norodom Sihamoni	Norodom Sihamoni
Lord William Bentinck	Lord William Bentinck
Wang Yeping	Wang Yeping
tunina	Truganina Victoria
British Columbia Provincial Council	Legislative Assembly of British Columbia
Suibi Park	Subin Bak
Yingkou City	Yingkou
Xiaogao Luoda Lijia	Hugo Rodallega
German Kaiser	German Emperor
20112012 English Football Champions League	201112 Football League Championship
2015 Chinese Football Association Cup	2015 Chinese FA Cup
Christopher Metzelder	Christoph Metzelder
Kwai District	Aoiku Shizuoka
Wagtail	Wagtail
Conservative Peoples Party	Conservative Peoples Party
Greater Caucasus Mountains	Greater Caucasus
Bronislaw Komorowski	Bronisław Komorowski
Hollywood	Hollywood
minion	Minions
benin	Benin
Paris HiTech	ParisTech
Ott Football Club	Odds BK
Martin Schipel	Martin Škrtel
Feel fine	Feel Fine
Battle of Issus	Battle of Issus
philadelphia	Philadelphia
Yongzheng Emperor	Yongzheng Emperor
Emanuel Pogatez	Emanuel Pogatetz
Trayan Basescu	Traian Băsescu
Hakata Station	Hakata Station
The Call of Duty Series	Call of Duty
KCNicholas	K C Nicolaou
Sony Xperia Z1	Sony Xperia Z1
Princess Alice	Princess Alice of the United Kingdom
ShanghaiNanjing Intercity Railway	ShanghaiNanjing Intercity Railway
American Samoa	American Samoa
Mao Zhiguo	Mao Chikuo
Tamil Nadu	Tamil Nadu
Delta 4 launch vehicle	Delta IV
Unrequited Love Two Cities	Outbound Love
BBC Radio 4	BBC Four
Communist Party of the Republic of Moldova	Party of Communists of the Republic of Moldova
How I Met Your Mother	How I Met Your Mother
Central and Western District	Central and Western District
Why So Serious3F  The Misconceptions Of Me	Why So Serious3F  The Misconceptions of Me
Spicy Teacher GTO	Great Teacher Onizuka
Yoshida Shigeru	Shigeru Yoshida
Sherlock Holmes 2	Sherlock Holmes
England Football League	The Football League
Early Cyrillic	Early Cyrillic alphabet
Zhang Jicong	Louis Cheung
Jay Chou	Jay
Carl Valery	Carl Valeri
moon	Moon
Granada Football Club	Granada CF
199899 European Cup Champions Cup	199899 UEFA Cup Winners Cup
Shenyang Dongjin Football Club	Shenyang Dongjin FC
The Great Discovery	Dai Hakken
Yuan Qiongdan	Kingdom Yuen
Maroani Fellaini	Marouane Fellaini
shanmugam	K Shanmugam
Romanian Socialist Republic	Socialist Republic of Romania
KDDI	KDDI
Christos Satsetakis	Christos Sartzetakis
Catholic Diocese of Nanjing	Roman Catholic Archdiocese of Nanking
Portland	Portland Oregon
Alexander Tuchnov	Oleksandr Turchynov
Peter Lowenkrans	Peter Løvenkrands
Nizu LeoTroga	Nigel ReoCoker
Elizabeth	Elizabeth New Jersey
BEST SELECTION 2010	Best Selection 2010
Andorra 1st Football League	Primera Divisió
Xiaomi Phone 2	Xiaomi Mi 2
Pope Jiade	Pope Agatho
Taichung County	Taichung County
Monthly Comic Alive	Monthly Comic Alive
Vietnamese Empire	Empire of Vietnam
Nihat Erim	Nihat Erim
Prince Albert Victor	Prince Albert Victor Duke of Clarence and Avondale
Meyer Jadenak	Mile Jedinak
John Hopecroft	John Hopcroft
Seven Swords	Seven Swords
Algeria National Football Team	Algeria national football team
Adult Swim	Adult Swim
Jin Yina	Kim Eana
Li Kanglian	Lee Hong Lim
Yan Taixiong	Uhm Taewoong
Lakesha Islands	Lakshadweep
Song of Love	Ai no Uta
Manmohan Singh	Manmohan Singh
Herva Gauss Football Club	Heracles Almelo
FIVE	Five
NVIDIA GeForce 100	GeForce 100 series
Mafferson	Peter Mathieson
Piacenza Football Club	Piacenza Calcio 1919
Jung In Hwan	Jung Inwhan
Huaiyuan County	Huaiyuan County
Laos Protectorate	French Protectorate of Laos
LOVE LETTER	Love Letter
Anglican Church of Scotland	Scottish Episcopal Church
Shao Meiqi	Maggie Shiu
Tajik	Tajiks
Black Butler	Black Butler
University of North Carolina System	University of North Carolina
The Magicians Nephew	The Magicians Nephew
Uyghur	Uyghur language
Emirate of Dubai	Emirate of Dubai
Park Sung Chul	Pak Songchol
djibouti	Djibouti
Musa Kazim	Musa alKadhim
George Grenville	George Grenville
Ministry of Justice of the Peoples Republic of China	Ministry of Justice of the Peoples Republic of China
Aragonese	Aragonese language
Jacob Ragon	Jacques Lacan
Peoples Democratic Party	Peoples Democratic Party
Yue Yue	York Chow
2002 Hurricane Kyle	Hurricane Kyle
Peoples Party	Peoples Party
Brazilian Football League C	Campeonato Brasileiro Série C
Hong Kong Sheng Kung Hui	Hong Kong Sheng Kung Hui
Yuto Sato	Yūto Satō
Marco Rubio	Marco Rubio
Alexander Zivkovich	Aleksandar Živković
Prince Edward Earl of Wessex	Prince Edward Earl of Wessex
waterford	Watford
Heinrich Lübeck	Heinrich Lübke
The Big Bang Theory	The Big Bang Theory
Bruno Menegger	Bruno Meneghel
Hongwu32	Relic of an Emissary
Smonkala	Smenkhkare
Vaughan	Vaughan
Victor Bruce 9th Earl of Elgin	Victor Bruce 9th Earl of Elgin
Luhan	Luhan
Li Yijun	Lee Ejun
John Curtin	John Curtin
Mauro Camoranesi	Mauro Camoranesi
Viva La Vida	Viva la Vida
Freddy Adu	Freddy Adu
Constantin Senetescu	Constantin Sănătescu
Joe Baby	Gill Mohindepaul Singh
Leonor	Leonor Princess of Asturias
Tatar	Tatar language
Chen You	Anthony Chan
Zhu Ting	Zhu Ting
Cangas de Onis	Cangas de Onís
Assassination Classroom	Assassination Classroom
George MacDonald	George MacDonald
Tong Liya	Tong Liya
Wuzhou	Wuzhou
How I Met Your Mother	How I Met Your Mother
Ivory Coast National Football Team	Ivory Coast national football team
John Canfield Spencer	John C Spencer
Alcorcon Sports Association	AD Alcorcón
choke hot red pepper	Red Hot Chili Peppers
Joseon Sungjong	Seongjong of Joseon
President of Iran	President of Iran
Love is around you	Love Is All Around
Vedran Corluca	Vedran Ćorluka
Euphrates	Euphrates
Xianyang	Xianyang
Alexander the Great	Alexander the Great
Fangze Kenji	Kenkichi Yoshizawa
Robert Ludren	Robert Ludlum
Chinese American	Chinese Americans
Haya Bint Hussein	Princess Haya bint Hussein
St Vincents Olympic Stadium	Sinan Erdem Dome
Losingborg Football Club	Rosenborg BK
Martin Bowman	Martin Bormann
Feng Huilan	Mari Elka Pangestu
Rod Stewart	Rod Stewart
Croatian Social Democratic Party	Social Democratic Party of Croatia
BBC Radio 2	BBC Two
Deng Yingchao	Deng Yingchao
LibreOffice	LibreOffice
Robert J Walker	Robert J Walker
Hideto Takahashi	Hideto Takahashi
Petro Bagdoglio	Pietro Badoglio
Bundesliga 20122013	201213 Bundesliga
Samir Rifay	Samir Rifai
Singapore Parliament	Parliament of Singapore
Xu Shiyou	Xu Shiyou
Victor Fraser	Viktor Fischer
Hadem Sinan Pasha	Hadım Sinan Pasha
Maidens Prayer	Sometimes
Zuhan Zorro	Johan Djourou
Jack Reed	Jack Reed
never mind	Nevermind
Luke Shor	Luke Shaw
tahiti	Tahiti
Itano Tomomi	Tomomi Itano
Hey	Nee
Iga City	Iga Mie
YES Love Promise	Yes
Yamagata Sanshin	Montedio Yamagata
Zhu Xi	Zhu Xi
Japan Broadcasting Association	NHK
Li Yuchun	Li Yuchun
Peter Arkadyevich Stolypin	Pyotr Stolypin
Polish	Poles
WINNER	Winner
Super Junior Donghae  Eunhyuk	Donghae  Eunhyuk
Jean Dieudone	Jean Dieudonné
Daniel Stulridge	Daniel Sturridge
Naughty Little Kiss	Itazura na Kiss
Koganei City	Koganei Tokyo
Chen Jianren	Chen Chienjen
Deng Zhuoxiang	Deng Zhuoxiang
F16XL Fighter	General Dynamics F16XL
Rescue Private Ryan	Saving Private Ryan
Suzuki Zenyuki	Zenkō Suzuki
The Sims Series	The Sims
Fatherland UnionLithuanian Christian Democrats	Homeland Union
Syrian Armed Forces	Syrian Armed Forces
Lano Romney	Lenore Romney
Odate City	Ōdate
Spratly Islands	Spratly Islands
Hugh McCulloch	Hugh McCulloch
Ricardo Pereira	Ricardo
Xinfeng	Xin Feng
No Regret	No Regret
Xishan Dynasty	Tây Sơn dynasty
Red Star Stadium	Marakana Stadium
SeineSaintDenis	SeineSaintDenis
Andrew Xiaos	Andrew Hughes
Razgrad Ludogorets Football Club	PFC Ludogorets Razgrad
Deep Sea	Shinkai
Vedad Ibisevic	Vedad Ibišević
Doomsday Alarm DestructionRebirth	Minutes to Midnight
Yesterday and Today	Yesterday and Today
Hans Zimmer	Hans Zimmer
President of the Legislative Council of Hong Kong	President of the Legislative Council of Hong Kong
Hawaiian	Hawaiian language
Walter Nernst	Walther Nernst
Patterson	Paterson New Jersey
Italian professional first division football league	Lega Pro Prima Divisione
Mark Gonzalez	Mark González
PanDemocracy	Pandemocracy camp
Wild Charlotte	Good Charlotte
Who and Fight	Die Another Day
Jin Yongsan	Kim Youngsam
University of Aberdeen	University of Aberdeen
Park Soojin	Park Soojin
Hakan Yakin	Hakan Yakin
Belgium Congo	Belgian Congo
Clement Attlee	Clement Attlee
Hungarian Forint	Hungarian forint
Plattville	Prattville Alabama
Shinagawaku	Shinagawa
Dpkg	Dpkg
Tokugawa Hidetada	Tokugawa Hidetada
Alex Bogomolov	Alex Bogomolov Jr
Mauregato	Mauregatus of Asturias
Kayun Farmhouse Course	Craven Cottage
Valencia Football Club	Valencia CF
Wang Han	Wang Han
Tibetan	Tibetan alphabet
Optimus 5 launch vehicle	Atlas V
Siena Football Club	SS Robur Siena
Republic of Venice	Republic of Venice
Dai Jiaoqian	Dai Jiaoqian
Ptolemy I	Ptolemy I Soter
Herman van Rompuy	Herman Van Rompuy
Somali	Somali language
Black Tower V Wolf of Kara	The Dark Tower V
Prince Bernhard	Prince Bernhard of LippeBiesterfeld
Rhine Confederation	Confederation of the Rhine
Song Qian	Victoria Song
David Yarolim	David Jarolím
Andrey Kolmogorov	Andrey Kolmogorov
Vierinia	Vieirinha
Ono City	Ōno Fukui
Executive Yuan	Executive Yuan
Francesco I	Francis I of the Two Sicilies
Haibu City	Ama Aichi
Danny Hugou	Danny Vukovic
Prince Fumihito Akishino Palace	Fumihito Prince Akishino
Lisbon  Benfica Sports Club	SL Benfica
Ron Paul	Ron Paul
country music	Country music
little	Leeteuk
Paul Gilbert	Paul Gilbert
Combined Fleet	Combined Fleet
Faroese	Faroese language
Beyond	Beyond
Guillermo Ochoa	Guillermo Ochoa
Song Ailing	Soong Ailing
Hakka	Hakka Chinese
Thai Chinese	Thai Chinese
ma	Horse
Brian Shades	Brian Schatz
Sichuan University	Sichuan University
Robert II	Robert Curthose
Kingdom of Lithuania	Kingdom of Lithuania
Kenya	Kenya
Jacky Cheung	Jacky Cheung
Ministry of Public Security of the Peoples Republic of China	Ministry of Public Security
Nguyen Hue	Nguyễn Huệ
Dutch East Indies Japanese Occupation Period	Japanese occupation of the Dutch East Indies
Oshima Risen	Tadamori Oshima
Galerius	Galerius
Athens Olympic Stadium	Olympic Stadium
University of Miami	University of Miami
Americas Next Top Model	Americas Next Top Model
RCA Records	RCA Records
P3 Orion Maritime Patrol	Lockheed P3 Orion
Li Shihuan	Selena Li
Roberto Orci	Roberto Orci
RPM Package Administrator	RPM Package Manager
Cyclone Butler	Hayate the Combat Butler
Prince Harry	Prince Harry
Clement XIII	Pope Clement XIII
Yu Tao	Yu Tao
Modern Standard Arabic	Modern Standard Arabic
Christopher Sims	Christopher A Sims
Imperial Russian Navy	Imperial Russian Navy
Fukuchiyama City	Fukuchiyama Kyoto
Tanaka Junya	Junya Tanaka
NintendoDS Lite	Nintendo DS Lite
Georg Schwarzenbeck	HansGeorg Schwarzenbeck
stranger	You Dont Know My Name
Mayday	Mayday
Frederick William I	Frederick William I of Prussia
Indianapolis	Indianapolis
Huang Xinjie	Huang Shinchieh
McDonalds	Richard Graves MacDonnell
Park Hyo Shin	Park Hyoshin
Zeng Shaozong	Figaro Tseng
gem pet Sunshine	List of Jewelpet Sunshine episodes
Amur Musa	Amr Moussa
Criminal Investigation File	Detective Investigation Files
Gary Neville	Gary Neville
Ehime Prefecture	Ehime Prefecture
Bashkir	Bashkirs
Gimpo International Airport	Gimpo International Airport
EastWest Palace	Queens of Diamonds and Hearts
Yellow River	Yellow River
Slovak	Slovak language
Portland Trail Blazers	Portland Trail Blazers
Ezo Republic	Republic of Ezo
Shenzhou VI	Shenzhou 6
Plymouth	Plymouth
Chiba Kazuhiko	Kazuhiko Chiba
Ruan Shengxiong	Nguyễn Sinh Hùng
Theodore Dumitru Stolojan	Theodor Stolojan
Miao Qiaowei	Michael Miu
Chuck Schumer	Chuck Schumer
Left Front	Left Front
Kim Jung Yee	Kim Jungya
Gaojin District	Takatsuku Kawasaki
Belem Football Club	CF Os Belenenses
Goodbye Single Bed	Pillow Talk
Josefina Vazquez Mota	Josefina Vázquez Mota
Lugo Sports Club	CD Lugo
George Clinton	George Clinton
Lu Hao	Lu Hao
Malcolm IV	Malcolm IV of Scotland
Michael Collins	Michael Collins
Jeremy Haywood	Jeremy Heywood
You were BALLAD	You Were
Philadelphia 76ers	Philadelphia 76ers
Ba Jin	Ba Jin
National City Football League	Intercity Football League
Grand National Assembly of Turkey	Grand National Assembly of Turkey
Malcolm Fraser	Malcolm Fraser
Queen Sylvia	Queen Silvia of Sweden
Socket AM2	Socket AM2
Chile League Football	Campeonato Nacional
US Department of the Treasury	United States Department of the Treasury
Toyota Motors	Toyota
guido van Rossum	Guido van Rossum
Ebisu	Ebisu Shibuya
LoHouse	Rob Hulse
Anro Corsas Famagusta Football Club	Anorthosis Famagusta FC
Honduras Professional Football League	Liga Nacional de Fútbol Profesional de Honduras
Cha cha SING	Cha Cha Sing
President of France	President of France
The Power of Love	The Power of Love
United States Department of Defense	United States Department of Defense
Ottawa	Ottawa
Christopher Dodd	Chris Dodd
Ludwig I	Ludwig I of Bavaria
Beihai	Beihai
Prime Minister of South Africa	Prime Minister of South Africa
Kim Il Sung	Kim Ilsung
South Africa	South Africa
Henry I	Henry I of England
Ranieri Mazli	Pascoal Ranieri Mazzilli
William Eyck	Wim Eijk
Charles II	Charles II of England
Medina Province	Al Madinah Region
Park Joo Ho	Park Jooho
1984 Summer Olympics	1984 Summer Olympics
Riau Islands Province	Riau Islands
Sengoku Musou series	Samurai Warriors
Amstelveen	Amstelveen
John Acherley Dew	John Dew
United Nations SecretaryGeneral	SecretaryGeneral of the United Nations
Philip Cocu	Phillip Cocu
Kashima City	Kashima Ibaraki
Royal Thai Army	Royal Thai Army
Multan	Multan
Vaud	Vaud
Denmark National Football Team	Denmark national football team
Ma Yingjeou	Ma Yingjeou
Brescia Football Club	Brescia Calcio
Luzhou	Luzhou
Fidel Valdes Ramos	Fidel V Ramos
Carlo Azelio Ciampi	Carlo Azeglio Ciampi
yuancheng	Yuancheng District
Heart and Soul	Heart and Soul
Lee Hyori	Lee Hyori
Wangzhoudi	Jody WilsonRaybould
Ahmed Davutoglu	Ahmet Davutoğlu
White Star East	Baek Sungdong
Jane Gray	Lady Jane Grey
Wembley Stadium	Wembley Stadium
West Point Military Academy	United States Military Academy
RussianBelarus Union	Union State
Gomeda	Bardiya
PGT Beauregard	P G T Beauregard
Howell Cobb	Howell Cobb
North Zealand Football Club	FC Nordsjælland
Boeing 36780	Boeing 36780
William McKinley	William McKinley
Guilin	Guilin
Phillips College	Phillips Academy
florida	Florida
Order of the British Empire	Order of the British Empire
Manipur	Meithei language
Derbyshire	Derbyshire
Google Maps	Google Maps
Zeng Yongquan	Tseng Yungchuan
Nong Duc Manh	Nông Đức Mạnh
Daiyi	Tay people
Shojuro Shiokawa	Masajuro Shiokawa
