BBC Radio 1	BBC One
Atromitos Football Club	Atromitos FC
Federal President	President of Germany
University of Notre Dame	University of Notre Dame
Bernast Tarleton	Banastre Tarleton
Rolling Stones	The Rolling Stones
Infante Juan Count of Barcelona	Infante Juan Count of Barcelona
Samuel Alito	Samuel Alito
Busan Metropolitan City	Busan
Staffordshire	Staffordshire
Pope Stephen I	Pope Stephen I
Ovid	Ovid
Kang Minsoo	Kang Minsoo
Albanian Armed Forces	Albanian Armed Forces
GNU Core Toolset	GNU Core Utilities
Lord William Bentinck	Lord William Bentinck
Tom Clancys Ghost Recon Advanced Warfighter 2	Tom Clancys Ghost Recon Advanced Warfighter 2
CE LHospitalet	CE LHospitalet
Francesco Toldo	Francesco Toldo
Philadelphia 76ers	Philadelphia 76ers
piedra	Piedra
Jimmy Carter	Jimmy Carter
Thieu Tri	Thiệu Trị
France National Under21 Football Team	France national under21 football team
James K Polk	James K Polk
Fool Again	Fool Again
Starry Lee	Starry Lee
Cardiff City FC	Cardiff City FC
Xiaomi Phone 2	Xiaomi Mi 2
Francesco Corsiga	Francesco Cossiga
Dutch East Indies	Dutch East Indies
Love or Spend	Love or Spend
Ong Tee Keat	Ong Tee Keat
Show Luo	Show Luo
The Flash	The Flash
GDragon	GDragon
Brandeis University	Brandeis University
David Stern	David Stern
Manuel Valls	Manuel Valls
Arucas Las Palmas	Arucas Las Palmas
Salamanca Football Club	UD Salamanca
George Grenville	George Grenville
Amelia Fox	Emilia Fox
Sherrod Brown	Sherrod Brown
Santander	Santander Spain
Yunnan Province	Yunnan
Michael Bay	Michael Bay
TibetanBurman	TibetoBurman languages
PanthéonAssas University Paris II	PanthéonAssas University
Takashi Soramachi	Takashi Sorimachi
Karakoram	Karakoram
Aleksandar Živković	Aleksandar Živković
Ultimatum	The Bourne Ultimatum
Kamikawa Yoko	Yōko Kamikawa
Yamaguchi Prefecture	Yamaguchi Prefecture
colorado rapids	Colorado Rapids
Yan Xishan	Yan Xishan
Northwest Territories	Northwest Territories
Lara Veronin	Lara Veronin
North Carolina	North Carolina
South Tang	Southern Tang
Republican	The Republicans
Mohun Bagan AC	Mohun Bagan AC
StubHub Center	StubHub Center
Angela Merkel	Angela Merkel
West Java	West Java
Tomáš Hubočan	Tomáš Hubočan
medellin independence	Independiente Medellín
Iwabuchi Mana	Mana Iwabuchi
Albanian Party of Labour	Party of Labour of Albania
Casey Affleck	Casey Affleck
Gwangju World Cup Arena	Gwangju World Cup Stadium
Wally West	Wally West
Wenzhounese	Wenzhounese
rince Felix of BourbonParma	Prince Felix of BourbonParma
English	English language
Choe Yongrim	Choe Yongrim
Sano	Sano Tochigi
Manco Inka Yupanki	Manco Inca Yupanqui
State University of New York	State University of New York
Max Baucus	Max Baucus
SO female	So Girls
Madonna	Madonna
Auburn Alabama	Auburn Alabama
OUT WORKS  COLLABORATION BEST	Out Works  Collaboration Best
Dai Jiaoqian	Dai Jiaoqian
Isotani Rensuke	Rensuke Isogai
Hong Kong Group C	Hong Kong Third A Division League
Leiden University	Leiden University
KisMyFt2	KisMyFt2
Uyghur	Uyghur language
bulgaria	Bulgaria
Kasımpaşa SK	Kasımpaşa SK
Mátyás Szűrös	Mátyás Szűrös
Yokohama City	Yokohama
Viktor Orbán	Viktor Orbán
Shield Portable	Shield Portable
Leo IX	Pope Leo IX
Monthly Comic Alive	Monthly Comic Alive
Pope John Paul I	Pope John Paul I
Bashkir	Bashkirs
Adobe Flash Player	Adobe Flash Player
Bertrand Delanoe	Bertrand Delanoë
Linda McMahon	Linda McMahon
Will Charn	Will Champion
William the Lion	William the Lion
French Polynesia	French Polynesia
Jasper Tsang Yoksing	Jasper Tsang Yoksing
STARCAMP EP	Starcamp EP
Kōhokuku Yokohama	Kōhokuku Yokohama
Gurney Kardashian	Kourtney Kardashian
Nampo Special City	Nampo
Brazil	Brazil
Avex trax	Avex Trax
Buena Park	Buena Park California
Warwickshire	Warwickshire
Jerry Moran	Jerry Moran
Working Peoples Progressive Party	Progressive Party of Working People
Hirosaki Aomori	Hirosaki Aomori
Lin Fengjiao	Lin Fengjiao
Jack Lane	Jack Ryan
Edogawa Ward	Edogawa Tokyo
Lower Yangtze Mandarin	Lower Yangtze Mandarin
Victor Stepanovich Chernomyrdin	Viktor Chernomyrdin
Cemal Gürsel	Cemal Gürsel
Hong Kong Group C Football League	Hong Kong Third Division League
Henry Brisson	Henri Brisson
Voyager 2	Voyager 2
Sam Hui	Samuel Hui
Armageddon	Armageddon
Hohenzollern Dynasty	House of Hohenzollern
Komono Mie	Komono Mie
Tuo Zhen	Tuo Zhen
Roman Sharonoff	Roman Sharonov
Feng Guozhang	Feng Guozhang
Pierre Luigi Bersani	Pier Luigi Bersani
Leverkusen FC	Bayer 04 Leverkusen
Donald III	Donald III of Scotland
Virgin Records	Virgin Records
Tokyo Disneyland	Tokyo Disneyland
Ai no Album 8	Ai no Album 8
Kyuukyuu Sentai GoGoFive	Kyuukyuu Sentai GoGoFive
Fujisawa City	Fujisawa Kanagawa
Michalis Konstantinou	Michalis Konstantinou
Sony Ericsson Xperia arc S	Sony Ericsson Xperia arc S
Mini DisplayPort	Mini DisplayPort
Keith Gumbs	Keith Gumbs
Luo Gan	Luo Gan
Bohuslän	Bohuslän
Wa people	Wa people
Dream Girl  The Misconceptions Of You	Dream Girl  The Misconceptions of You
The Magicians Nephew	The Magicians Nephew
Ivan Yakubovsky	Ivan Yakubovsky
Gonchikin Bumanzendi	Gonchigiin Bumtsend
United Left	United Left
Leandro Guetta	Leandro Guaita
Thomas Hobbes	Thomas Hobbes
Constans II	Constans II
kaka	Kaká
Lu Xun	Lu Xun
Bob Kolker	Bob Corker
J B S Haldane	J B S Haldane
FC Paços de Ferreira	FC Paços de Ferreira
Yang Xu	Yang Xu
Music	Music
France Womens National Football Team	France womens national football team
Ahmed Oyahia	Ahmed Ouyahia
Maria Alexandrovna	Maria Alexandrovna
Gorica Football Club	ND Gorica
TRAX	TRAX
Socrates	Socrates
National Revolutionary Army	National Revolutionary Army
Umberto II	Umberto II of Italy
Southend Football Club	Southend United FC
Mitsumasa Yonai	Mitsumasa Yonai
Wayne Chua	Wayne Chua
Latvian Premier League	Latvian Higher League
London Underground	London Underground
Francesco Totti	Francesco Totti
SimCity Series	SimCity
Ordos	Ordos City
Bert T Combs	Bert T Combs
Onna ni Sachi Are	Onna ni Sachi Are
Sun Zhengcai	Sun Zhengcai
Khmer Empire	Khmer Empire
Hong Kong Economic and Peoples Livelihood Alliance	Business and Professionals Alliance for Hong Kong
thuringia	Thuringia
Taylor Swift	Taylor Swift
Boku no Miteiru Fūkei	Boku no Miteiru Fūkei
TVBS	TVBS
Hellas Verona FC	Hellas Verona FC
Yoshida Maya	Maya Yoshida
Nejc Pečnik	Nejc Pečnik
Duchy of Mantua	Duchy of Mantua
Even if	Even If
akhenaten	Akhenaten
Goa Football Club	FC Goa
Sirajuddin of Perlis	Sirajuddin of Perlis
Emperor Kinmei	Emperor Kinmei
Tibetan	Tibetic languages
Cathay Pacific	Cathay Pacific
Hampden Park	Hampden Park
Fukui Prefecture	Fukui Prefecture
Angelo OBonna	Angelo Ogbonna
Sorry Sorry	Sorry Sorry
UtahAztec	UtoAztecan languages
Qadsia SC	Qadsia SC
Steven Hawking	Stephen Hawking
Skrillex	Skrillex
Lu Wei	Lu Wei
Aarhus Gymnastikforening	Aarhus Gymnastikforening
The Rise of the Kingdom	Rise of Nations
John Wheeler	John Archibald Wheeler
Tai Nüa language	Tai Nüa language
Muhammad Ould AbdulAziz	Mohamed Ould Abdel Aziz
Naughty Dog	Naughty Dog
AlAhli Saudi FC	AlAhli Saudi FC
Carl Levin	Carl Levin
Tajimi City	Tajimi Gifu
Kim Eana	Kim Eana
Music Church	Music
Matsumoto Masaki	Takeaki Matsumoto
Sham Shui Po Sports Ground	Sham Shui Po Sports Ground
List of Portuguese monarchs	List of Portuguese monarchs
Tulane University	Tulane University
Hyakujuu Sentai Gaoranger	Hyakujuu Sentai Gaoranger
Pope Mark Valley	Pope Mark
Troinex	Troinex
Aymara people	Aymara people
Teppen Tottande	Teppen Tottande
Al Ain Football Club	Al Ain FC
chicken	Chicken
Cosmin Contra	Cosmin Contra
Heath Ledger	Heath Ledger
Odawara City	Odawara
Kono Yo no Kagiri	Kono Yo no Kagiri
Will Arnett	Will Arnett
Seoul Football Club	FC Seoul
Chuck Schumer	Chuck Schumer
Athletic Bilbao	Athletic Bilbao
New Zealand Labour Party	New Zealand Labour Party
Chua Tee Yong	Chua Tee Yong
Chen Poliang	Chen Poliang
John Bercow	John Bercow
Ricardo Carvalho	Ricardo Carvalho
Dave Mustaine	Dave Mustaine
Trần Dụ Tông	Trần Dụ Tông
One	One
Avril Lavigne	Avril Lavigne
Montgomery Blair	Montgomery Blair
Run Run Shaw	Run Run Shaw
Mon language	Mon language
Editor Cresson	Édith Cresson
Cantonese	Cantonese
Community Shield England 2011	2011 FA Community Shield
Metallica	Metallica
Iannis Maniatis	Giannis Maniatis
An Shi Rebellion	An Lushan Rebellion
Manhattan Financial District	Financial District Manhattan
Kim Hyungil	Kim Hyungil
Geʽez language	Geez language
Fahri Kruturk	Fahri Korutürk
Celtic	Celtic languages
Savo Milosevic	Savo Milošević
Bob Carr	Bob Carr
Michael Doyle	Michael Doyle
National League	National League
Leizhou Min	Leizhou Min
Buffy the Vampire Slayer	Buffy the Vampire Slayer
Ebisu Shibuya	Ebisu Shibuya
Wuhan Zall Professional Football Club	Wuhan Zall FC
George Pompidou	Georges Pompidou
Qinghai Senke Football Club	Qinghai Senke FC
Holden Chow	Holden Chow
A Coruña Sports Club	Deportivo de La Coruña
Game Center	Game Center
Finland National Football Team	Finland national football team
Onew	Onew
Tang Shaoyi	Tang Shaoyi
Shonentai	Shonentai
quito	Quito
NVIDIA GeForce 400	GeForce 400 series
Dominic Oduro	Dominic Oduro
San Antonio Spurs	San Antonio Spurs
Jam Hsiao	Jam Hsiao
Shimane Prefecture	Shimane Prefecture
Jake Kerouac	Jack Kerouac
Oppa Oppa	Oppa Oppa
National Front	National Front
Li Ruihuan	Li Ruihuan
Thomas Pledel	Thomas Pledl
Justice In The City	Justice In The City
Dwight D Eisenhower	Dwight D Eisenhower
SC Braga	SC Braga
Pyongyang	Pyongyang
Mark Janko	Marc Janko
redwood city	Redwood City California
Kidderminster	Kidderminster
Victoria Louise	Princess Victoria Louise of Prussia
Chester W Nimitz	Chester W Nimitz
Yuko Obuchi	Yūko Obuchi
OneDrive	OneDrive
University of Mississippi	University of Mississippi
Ezquier Garay	Ezequiel Garay
Commonwealth of Nations	Commonwealth of Nations
OpenJDK	OpenJDK
André Schürrle	André Schürrle
Ranger 6	Ranger 6
Hungarian Forint	Hungarian forint
Confignon	Confignon
HEARTFUL	Heartful
This Is It	This Is It
Linux	Linux
Lau Dan	Lau Dan
Hong Kong Football Association	Hong Kong Football Association
Together When	Together When
HansJurgen Stumpf	HansJürgen Stumpff
Sodnomu Damuddinbazar	Jalkhanz Khutagt Sodnomyn Damdinbazar
United States National Soccer Team	United States mens national soccer team
Rui ∑n vol 01	Rui ∑n vol 01
Free  Easy	Free  Easy
Yamagata Aritomo	Yamagata Aritomo
National Yilan Senior High School	National Yilan Senior High School
Las Palmas Athletic Union	UD Las Palmas
Luke P Blackburn	Luke P Blackburn
Brian Wilson	Brian Wilson
Jozy Altidore	Jozy Altidore
Mattey Vidra	Matěj Vydra
Over Load	Over Load
Donald Rumsfeld	Donald Rumsfeld
Giordano Bruno	Giordano Bruno
Yanan	Yanan
Anton Pavlovich Chekhov	Anton Chekhov
Pius IX	Pope Pius IX
Blue	Blue
Akadian	Akkadian language
Fabolous	Fabolous
herder	Johann Gottfried Herder
Gujarat	Gujarat
Ahmed Shah Bahadur	Ahmad Shah Bahadur
Xu Xiangqian	Xu Xiangqian
Setagaya Ward	Setagaya
Kareskakis Stadium	Karaiskakis Stadium
201314 English Premier League	201314 Premier League
Tigris	Tigris
Begji Keid Essebsi	Beji Caid Essebsi
Assassins Creed Syndicate	Assassins Creed Syndicate
Georgios Senmaras	Georgios Samaras
Tamangic languages	Tamangic languages
Lansing	Lansing Michigan
Nintendo Information Development Headquarters	Nintendo Entertainment Analysis  Development
Yitzhak Rabin	Yitzhak Rabin
maes	Metz
Ledley King	Ledley King
Jetstar	Jetstar Airways
Leessang	Leessang
Lethbridge	Lethbridge
Los Angeles Clippers	Los Angeles Clippers
Stefan Lofven	Stefan Löfven
South Seas Mandate	South Pacific Mandate
Hapoel Tel Aviv FC	Hapoel Tel Aviv FC
Northrop Corporation	Northrop Corporation
National Cheng Kung University	National Cheng Kung University
Maria Goeppert Meyer	Maria GoeppertMayer
Tony Tan	Tony Tan
Viktor Fischer	Viktor Fischer
Sunao na Mama	Sunao na Mama
LaurentDesiree Kabila	LaurentDésiré Kabila
monaco	Monaco
Inuyasha	Inuyasha
Mandarin Airlines	Mandarin Airlines
Nicklaus Wirth	Niklaus Wirth
Haswell microarchitecture	Haswell
Fukaya	Fukaya Saitama
Kashmiri	Kashmiri language
Blake Ross	Blake Ross
201213 Europa League	201213 UEFA Europa League
Categoría Primera B	Categoría Primera B
Ho Chi Minh City	Ho Chi Minh City
Slobodan Rajkovic	Slobodan Rajković
Mabuya Institute of Technology	Mapúa Institute of Technology
Netherlands Antilles	Netherlands Antilles
Nem Onusia	Nedum Onuoha
Hoshiarpur district	Hoshiarpur district
Eagle Air	Eagle Airways
Klaus Augenthaler	Klaus Augenthaler
Yashio City	Yashio Saitama
Otto Grotivor	Otto Grotewohl
Distinguished Service Medal	Distinguished Service Medal
Lodigau Lima	Lima
Orange Marmalade	Orange Marmalade
French Navy	French Navy
Ng Yen Yen	Ng Yen Yen
Kim Shinwook	Kim Shinwook
Armen Sarkisian	Armen Sargsyan
Corcier	Corsier
Kabukichō no Joō	Kabukichō no Joō
Milosh Zeman	Miloš Zeman
New Horizons	New Horizons
Georges Leygues	Georges Leygues
Kawaguchi City	Kawaguchi Saitama
Watanabe Chima	Kazuma Watanabe
Little Rock	Little Rock Arkansas
Alfredo Cristiani Burcard	Alfredo Cristiani
Guangxi Zhuang Autonomous Region	Guangxi
Carrie Underwood	Carrie Underwood
Clang	Clang
Luzhniki Stadium	Luzhniki Stadium
Tumpa Stadium	Toumba Stadium
Moses Katsav	Moshe Katsav
Forensic Pioneer	Forensic Heroes
Hokuto	Hokuto Yamanashi
Yomiuri TV	Yomiuri Telecasting Corporation
Sven Bender	Sven Bender
Air Canada	Air Canada
William Adams Richardson	William Adams Richardson
196768 European Cup Winners Cup	196768 European Cup Winners Cup
rosebowl	Rose Bowl
Wales National Football Team	Wales national football team
Gustav Hertz	Gustav Ludwig Hertz
Bradford	Bradford
Igor Tudor	Igor Tudor
Crystal Palace Football Club	Crystal Palace FC
House of Saud	House of Saud
Reto Ziegler	Reto Ziegler
Seohyun	Seohyun
Janez Drnovšek	Janez Drnovšek
choke hot red pepper	Red Hot Chili Peppers
Jason Chan	Jason Chan
Party of Regions	Party of Regions
Juan Antonio Samaranch	Juan Antonio Samaranch
Chua Soi Lek	Chua Soi Lek
Peter Crouch	Peter Crouch
Fujikawaguchikomachi	Fujikawaguchiko Yamanashi
Gary Locke	Gary Locke
Ngari Prefecture	Ngari Prefecture
Du Wei	Du Wei
Ranger 2	Ranger 2
As I Am	As I Am
Yokohama Station	Yokohama Station
Scuderia Ferrari	Scuderia Ferrari
Connecticut River	Connecticut River
Claude Makelele	Claude Makélélé
William Chan	William Chan
Vince Cable	Vince Cable
Tianhe Stadium	Tianhe Stadium
esbjerg	Esbjerg
John Curtin	John Curtin
Rolling star	Rolling Star
Petro Bagdoglio	Pietro Badoglio
Far away	Far Away
Zhongshan	Zhongshan
The British Monarch	Monarchy of the United Kingdom
Khabarovsk Krai	Khabarovsk Krai
Ōita Ōita	Ōita Ōita
Altai Republic	Altai Republic
Sendai City	Sendai
Ali Abdullah Saleh	Ali Abdullah Saleh
Shimada Shizuoka	Shimada Shizuoka
Ayurbarwada Buyantu Khan	Ayurbarwada Buyantu Khan
Madam Cutie On Duty	Madam Cutie On Duty
Modula2	Modula2
Swiss Football Association	Swiss Football Association
Haixi Mongolian and Tibetan Autonomous Prefecture	Haixi Mongol and Tibetan Autonomous Prefecture
Sichuan University	Sichuan University
The Hague	The Hague
Shaquille ONeal	Shaquille ONeal
Masahiro Wada	Masahiro Wada
Jules Bianchi	Jules Bianchi
The OC	The OC
Nexus 7	Nexus 7
Apple A9	Apple A9
Vernal Utah	Vernal Utah
Liberal Party of the Philippines	Liberal Party
Sakhalin	Sakhalin
AuvergneRhôneAlpes	AuvergneRhôneAlpes
Red Star Awards 2001	Star Awards 2001
Iron Man	Iron Man
Emile Borrell	Émile Borel
Wallalunga Football Club	Vålerenga Fotball
Stéphane Mallarmé	Stéphane Mallarmé
Besart Berisha	Besart Berisha
Cristiano Zanetti	Cristiano Zanetti
Niki Minaj	Nicki Minaj
starwars	Star Wars
Suzhou City	Suzhou
Ranieri Maria Gaetano	Prince Ranieri Duke of Castro
George V of Hanover	George V of Hanover
Dischord Records	Dischord Records
George IV	George IV of the United Kingdom
New Caledonia	New Caledonia
Hammarby Fotboll	Hammarby Fotboll
Gaythorne	Gaythorne Queensland
Azerbaijani	Azerbaijanis
Sir Reginald Edward Stubbs GCMG	Reginald Edward Stubbs
Spitzer Space Telescope	Spitzer Space Telescope
Coquitlam	Coquitlam
Stanford University	Stanford University
Shin Hyungmin	Shin Hyungmin
Pink	Pink
Ji Sung	Ji Sung
John Langdon	John Langdon
Flea	Flea
Pope Victor III	Pope Victor III
Astana	Astana
Yunfu	Yunfu
One Million Star	One Million Star
Hashemites	Hashemites
Grand Duchess Alexandra Nikolaevna	Grand Duchess Alexandra Nikolaevna of Russia
Lima United	Alianza Lima
Serik Akhmetov	Serik Akhmetov
Toyota City	Toyota Aichi
Mountain View	Mountain View California
Love so sweet	Love So Sweet
Stoke City Football Club	Stoke City FC
Solar Dynamics Observatory	Solar Dynamics Observatory
Kurt Vonnegut	Kurt Vonnegut
Mohammad Anwar Sadat	Anwar Sadat
Boeing 747	Boeing 747
Pope Severinus	Pope Severinus
Kingdom of Sicily	Kingdom of Sicily
Elizabeth II	Elizabeth II
Campeonato Brasileiro Série D	Campeonato Brasileiro Série D
Tom Elliott	Tom Elliott
Top Gear	Top Gear
GeGeGe no Nyōbō	GeGeGe no Nyōbō
Kate Tsui	Kate Tsui
Real Mallorca Athletic	RCD Mallorca
Republic of Korea Navy	Republic of Korea Navy
Edward Livingston	Edward Livingston
SDN48	SDN48
Chinese Football Association	Chinese Football Association
Xiaomi Technology	Xiaomi
UK House of Commons	House of Commons of the United Kingdom
Baba Rahman	Baba Rahman
Marco Divoyo	Marco Di Vaio
Romansh	Romansh language
Yemen	Yemen
Tim Howard	Tim Howard
Dejavu	Dejavu
belfast	Belfast
Mongkok Stadium	Mong Kok Stadium
Lyon	Lyon
Tong Liya	Tong Liya
salt lake city	Salt Lake City
Gordon Sprigg	Gordon Sprigg
2014 AFC Presidents Cup	2014 AFC Presidents Cup
Shanghai	Shanghai
Stanislaw Mikovajczyk	Stanisław Mikołajczyk
Katsura Tarō	Katsura Tarō
Hashire Bicycle	Hashire Bicycle
Old Turkic alphabet	Old Turkic alphabet
Newcastle Jets Football Club	Newcastle Jets FC
Koshima Haruna	Haruna Kojima
croatia	Croatia
Ding Aung Min U	Tin Aung Myint Oo
Vincent Wong	Vincent Wong
Jeremy Bentham	Jeremy Bentham
Ich will	Ich will
American Samoa	American Samoa
Anos Fogg Rasmussen	Anders Fogh Rasmussen
University of Saskatchewan	University of Saskatchewan
Mayor of New Taipei City	Mayor of New Taipei
Nong Duc Manh	Nông Đức Mạnh
Tự Đức	Tự Đức
First Love	First Love
Nereu Ramos	Nereu Ramos
Princess Iman Bint Hussein	Princess Iman bint Hussein
nevada	Nevada
2013 AFC Presidents Cup	2013 AFC Presidents Cup
Mohammad Natsir	Mohammad Natsir
hard rock	Hard rock
Faouzi Ghoulam	Faouzi Ghoulam
Nokia Lumia 800	Nokia Lumia 800
Nexus 6P	Nexus 6P
Angus Young	Angus Young
Adil da Olihuala Emerin	Adiel de Oliveira Amorim
Huangchuan County	Huangchuan County
Chrome OS	Chrome OS
Ander Herrera	Ander Herrera
Senjūrō Hayashi	Senjūrō Hayashi
CurtisWright Company	CurtissWright
Prince Nicholas	Prince Nikolai of Denmark
Tigrinya	Tigrinya language
From the Bottom of My Broken Heart	From the Bottom of My Broken Heart
Tom Hiddleston	Tom Hiddleston
Indiana Pacers	Indiana Pacers
Innocent VII	Pope Innocent VII
The Hippocratic Crush II	The Hippocratic Crush ll
Auburn University	Auburn University
Patrick Kisnowbo	Patrick Kisnorbo
University of Texas at Austin	University of Texas at Austin
Exeter City Football Club	Exeter City FC
US Virgin Islands	United States Virgin Islands
Nagano	Nagano Prefecture
WatchOS	WatchOS
Serbia National Football Team	Serbia national football team
Qingdao Zhongneng Football Club	Qingdao Jonoon FC
Paisley Wu	Paisley Wu
Children of Bodom	Children of Bodom
20142015 Europa League	201415 UEFA Europa League
Luis Guillermo Solis	Luis Guillermo Solís
Body Feels EXIT	Body Feels Exit
Jacques Demy	Jacques Demy
red skull	Red Skull
Harold Urey	Harold Urey
Antiochus III the Great	Antiochus III the Great
Socialist Federal Republic of Yugoslavia	Socialist Federal Republic of Yugoslavia
David Sainsbury Baron Sainsbury of Turville	David Sainsbury Baron Sainsbury of Turville
Progressive metal	Progressive metal
Matisyahu	Matisyahu
Alexander Millerand	Alexandre Millerand
Newark	Newark New Jersey
Jim Carrey	Jim Carrey
Jaysh alIslam	Jaysh alIslam
Shakira	Shakira
Hiroki Fujiharu	Hiroki Fujiharu
Michihiro Yasuda	Michihiro Yasuda
Mark Overmars	Marc Overmars
Lee Yingyuan	Lee Yingyuan
Zalman Shazar	Zalman Shazar
Tham alphabet	Tai Tham alphabet
New York Knicks	New York Knicks
Tajiri Tomomi	Satoshi Tajiri
The Third Crusade	Third Crusade
Adult Swim	Adult Swim
LOVE ENHANCED ♥ single collection	Love Enhanced Single Collection
Slavoljub Muslin	Slavoljub Muslin
Nicolae Rădescu	Nicolae Rădescu
Brazilian Navy	Brazilian Navy
Yuan Quan	Yuan Quan
OHare International Airport	OHare International Airport
Reach for the sky	Reach for the Sky
Esther Kwan	Esther Kwan
Admir Mehmadi	Admir Mehmedi
Warringa Council	Warringah Council
Liev Schreiber	Liev Schreiber
SouthendonSea	SouthendonSea
Southern All Stars	Southern All Stars
Saddam Hussein	Saddam Hussein
Liza Wang	Liza Wang
Huizhou Chinese	Huizhou Chinese
Mahatma Gandhi	Mahatma Gandhi
EA Canada	EA Canada
brooklynnets	Brooklyn Nets
River of Wine	River of Wine
Japan Airlines	Japan Airlines
Yokkaichi City	Yokkaichi Mie
Eurostar	Eurostar
Reise Reise	Reise Reise
Giovanni Lanza	Giovanni Lanza
Darío Cvitanich	Darío Cvitanich
University of the Arctic	University of the Arctic
Balinese	Balinese language
Robert Baden Powell	Robert BadenPowell 1st Baron BadenPowell
Battle of the Bulge	Battle of the Bulge
RhaetoRomance languages	RhaetoRomance languages
Bulgaria National Football Team	Bulgaria national football team
Jules Henri Poincaré	Henri Poincaré
Dick Cheney	Dick Cheney
Beijing West Railway Station	Beijing West Railway Station
Dalton McGuinty	Dalton McGuinty
Artaxerxes I of Persia	Artaxerxes I of Persia
Hussein Fatemi	Hossein Fatemi
Josh Singer	Josh Singer
Smenkhkare	Smenkhkare
Sikkim	Sikkimese language
Murad II	Murad II
Bob Menendez	Bob Menendez
Paul Sousa	Paulo Sousa
San Martin del Reorellio	San Martín del Rey Aurelio
Dashu District	Dashu District
Arizona	Arizona
Henry Addington 1st Viscount Sidmouth	Henry Addington 1st Viscount Sidmouth
Yiling Yangtze River Bridge	Yiling Yangtze River Bridge
Andrej Komac	Andrej Komac
Yuri Zhirkov	Yuri Zhirkov
Bomby Football Club	Brøndby IF
Lisco	Lisco Nebraska
Fabricio dos Santos Messias	Fabrício dos Santos Messias
Joseph Bonaparte	Joseph Bonaparte
Panathinaikos Football Club	Panathinaikos FC
Left Front	Left Front
McMaster University	McMaster University
Lo Chihen	Lo Chihen
Gennaro Gattuso	Gennaro Gattuso
Wayne Rooney	Wayne Rooney
Lon Nol	Lon Nol
Indiana	Indiana
Edward J McDermott	Edward J McDermott
Kitty Yuen	Kitty Yuen
Ali Lahayed	Ali Laarayedh
National Institute of Statistics	National Institute of Statistics
Cheltenham	Cheltenham
Scunthorpe United Football Club	Scunthorpe United FC
University of Southampton	University of Southampton
Henry Bergson	Henri Bergson
Swahili	Swahili language
Princeton University	Princeton University
Epic Games	Epic Games
Kenix Kwok	Kenix Kwok
Liu Qibao	Liu Qibao
Pablo Armero	Pablo Armero
Bob McDonnell	Bob McDonnell
Rockstar Toronto	Rockstar Toronto
Didier Zokora	Didier Zokora
Liu Shaoqi	Liu Shaoqi
Xiang language	Xiang Chinese
Azores	Azores
Emil Hácha	Emil Hácha
BBC America	BBC America
Southern Rhodesia	Southern Rhodesia
Yoo Hojeong	Yoo Hojeong
halmstad	Halmstad
Yellow River	Yellow River
Jacqueline Kennedy Onassis	Jacqueline Kennedy Onassis
Caleb Gusheng	Caleb Cushing
Takamura Masahiko	Masahiko Kōmura
Thurgood Marshall	Thurgood Marshall
Ninja Gaiden Series	Ninja Gaiden
Sunderland Tyne and Wear	Sunderland Tyne and Wear
Princess Iman bint Abdullah	Princess Iman bint Abdullah
Chung Kingfai	Chung Kingfai
Edmund Burke	Edmund Burke
Pascal Zuberbühler	Pascal Zuberbühler
Kim Taeyeon	Kim Taeyeon
Kadmad	Kadima
Jordi Alba	Jordi Alba
Shi Ke	Shi Ke
Yu Tao	Yu Tao
Two and a Half Men	Two and a Half Men
Mein Herz brennt	Mein Herz brennt
James R Hindman	James R Hindman
Paula Tsui	Paula Tsui
Jack Shephard	Jack Shephard
BOLERO	Bolero
Doctor Who	Doctor Who
Allen Lee	Allen Lee
Alex Fong	Alex Fong
Jalan Besar Stadium	Jalan Besar Stadium
Justo Villar	Justo Villar
Gō	Gō
David Coulthard	David Coulthard
LOVE  TRUTH	Love  Truth
Koki Yonekura	Koki Yonekura
Whitney Houston	Whitney Houston
Ngô dynasty	Ngô dynasty
The Chinese University of Hong Kong	Chinese University of Hong Kong
Álvaro del Portillo	Álvaro del Portillo
Arthur Bernardes	Arthur Bernardes
Davide Santon	Davide Santon
University of Minnesota	University of Minnesota
JeanMarc Herrault	JeanMarc Ayrault
B language	B
Trust Territory of the Pacific Islands	Trust Territory of the Pacific Islands
Wilhelmina	Wilhelmina of the Netherlands
Sledgehammer Games	Sledgehammer Games
Mirza Nasrallah Khan	Mirza Nasrullah Khan
Li Lisan	Li Lisan
Nakaharaku	Nakaharaku Kawasaki
Victoria Song	Victoria Song
Kal Penn	Kal Penn
Ella Chen	Ella Chen
Wang Shouting	Wang Shouting
Terry Branstad	Terry Branstad
Claudio Bravo	Claudio Bravo
Satoshi Ohno	Satoshi Ohno
OH58 Kiowa reconnaissance helicopter	Bell OH58 Kiowa
Štark Arena	Kombank Arena
Vilnius	Vilnius
Gary Medel	Gary Medel
Time	Time
Super Mario Bros	Super Mario Bros
Queen Wei	Empress Wei
Rui Marques	Rui Marques
Argentine Primera División	Argentine Primera División
Djuanda Kartawidjaja	Djuanda Kartawidjaja
Jeju language	Jeju language
Haris Silajdžić	Haris Silajdžić
Cyprus National Football Team	Cyprus national football team
William Petty	William Petty
Starz	Starz
Nero Claudius Drusus	Nero Claudius Drusus
Thomas PelhamHollis 1st Duke of Newcastle	Thomas PelhamHolles 1st Duke of Newcastle
Vanderbilt University	Vanderbilt University
John Whittingdale	John Whittingdale
bruch	Bruges
Northern Sami	Northern Sami
