BBC Radio 1	Bradford,HTC One V,Ruhrstadion,HTC First,DC Comics,FC Goa,Belgrade,Bob Carr,Bulgaria,Croatia,Pep Guardiola,Tomb Raider,Cao Cao,AS Roma,Brazil,FC Basel,FC Seoul,Air Canada,Maxis,Voyager 2,AC Omonia,ND Gorica,New Horizons,Belfast,So Girls,Xiaomi,Ich will,AS Nancy,The Hague,GDragon,Celeron,Ranger 2,Corsier,Bird,Belize,Clang,Nampo,Jay album,FC Metz,Nintendo DS,Ranger 6,Sendai,Busan,Budapest,Nevada,Bob Corker,Emilia Fox,Botswana,Monaco,Punjabis,RCD Mallorca,Luo Gan,Cameroon,Ron Wyden,Zhu Xi,Bill Nelson,Al Ain FC,Chandigarh,Sakhalin,Bashkirs,Gary Cahill,Pat Roberts,Nereu Ramos,Kim Ryeowook,Blake Ross,Marc Janko,Li Ruihuan,Lu Zhangong,Liu Jian,Guo Jinlong,Madrid,Berlin,Paris,TVBSAsia,Cinemax,Li Keqiang,St Albans,SS501,Fool Again,Qantas,Modula2,Xiaomi Mi 2,Cape Colony,ABBA,TRAX band,Lost season 3,Shropshire,Wind song,SimCity,H EP,Nicki Minaj,Sunny Hill,Soft rock,Americas,Alkmaar,Hitachi,Yokohama,Will Champion,Egirls,BBC One
Bernast Tarleton	Brian Wilson,Bert T Combs,Conan OBrien,Henri Brisson,Benjamin Bristow,Bertrand Delanoë,Bernard Mandeville,Ernst Kummer,Mariah Carey,JeanPaul Sartre,Duncan Oughton,Senad Lulić,Thomas Pledl,Carl Valeri,Octopuss Garden,Armen Sargsyan,Celeron,Bill Nelson,Jerry Moran,Ruhrstadion,Drake rapper,Gerd Müller,Leeuwarden,West Java,West Virginia,Marion Raven,John Curtin,New Caledonia,Gerald Guralnik,UD Las Palmas,Thomas Vermaelen,Herbert Blumer,Belfast,Gerald Ford,Chris Brown,Carlos Santana,Nereu Ramos,Haarlem,Brian Mulroney,Berlin,Pauleta,Brendon Šantalab,Roman Sharonov,GDragon,Ordos City,Heath Ledger,Zara Phillips,Robert Trivers,Tom Hiddleston,Sherrod Brown,Manuel Valls,Ander Herrera,Saint Barthélemy,Cape Colony,Will Arnett,Warsaw Uprising,Pedro Pires,Bob Corker,Hans Geiger,Bob Carr,Gold Typhoon,Good Charlotte,Forensic Heroes,Zhongshan,Jeff Merkley,Sean Connery,Alan Sheehan,Pat Roberts,Jimmy Carter,John Bercow,Vegalta Sendai,Bashkirs,Hakan Yakin,Andi Herzog,Stefan Löfven,Ronan Keating,Leandro Guaita,Marc Janko,Chris Weitz,Donnie Yen,Francesco Toldo,New Horizons,Anwar Sadat,McLaren,John B Weller,Carl Levin,Kurt Alder,Mestizo,Édith Cresson,Seth Harris,Niklaus Wirth,Casey Affleck,Emma Goldman,Arjen Robben,Sakhalin,Shropshire,Samuel Alito,North Carolina,Michael Sheen,Banastre Tarleton
Rolling Stones	Rolling Star,Robbie Keane,Illinois,Lollipop F,Wind song,Roman Sharonov,Qin Sheng,Boeing 747,William Chan,Cosmin Contra,Robert Coontz,Ron Wyden,Confignon,Cantonese,Gossip Candy,Malice Mizer,Fool Again,Gold Typhoon,Penguin Books,Conan OBrien,Bill Nelson,Ronan Keating,Donnie Yen,David Stern,North Sea,Robert Trivers,Blake Ross,Club Atlas,Love So Sweet,Gordon Sprigg,Philips Stadion,Rise of Nations,Roger Wicker,Rainie Yang,John Roberts,Émile Borel,William Windom,Paraná state,Tong Liya,Socrates,Wally West,Emilia Fox,Sorry Sorry,Windows Phone,Tang Shaoyi,Will Arnett,Milan Susak,Wang Zhen,Guo Jinlong,Virgin Records,Qing dynasty,Soft rock,Carlos Santana,Taylor Swift,Phil Spector,Clement Attlee,Chris Brown,Elvis Presley,Will Champion,Rivers Cuomo,GDragon,Forensic Heroes,Marion Raven,Colorado Rapids,Nightwish,Sean Connery,Rahm Emanuel,BBC One,Ledley King,Hulk comics,Nicki Minaj,Michael Sheen,Moon EP,Flora Finch,AC Omonia,Aldous Huxley,Bob Corker,William Golding,Löfven Cabinet,AlNusra Front,New Horizons,Malcolm Fraser,So Girls,Tomer Hemed,Celeron,Mariah Carey,Belgrade,Pakistan,Clang,Tomb Raider,Victor Ponta,Ivan Silayev,Monaco,Niels Bohr,Toumba Stadium,John Paul Stevens,Pedro Pires,Montesquieu,Stefan Löfven,The Rolling Stones
Samuel Alito	Camellia,Manuel Valls,Adam Smith,Kurt Alder,Pauleta,Luís Figo,Sammir,Sakhalin,Quito,SimCity,Game Center,Samuel L Southard,Will Arnett,Chris Weitz,Carl Levin,Tomer Hemed,Carl Valeri,Ledley King,Jacques Demy,Senad Lulić,Casey Affleck,Marc Janko,Wally West,Zhu Xi,Taylor Swift,Liu Jian,Mestizo,Suzuki Escudo,Cao Cao,Mamadou Sakho,Belize,Ordos City,Sunny Hill,Cape Colony,Nampo,St Albans,Palencia,Maebashi,Fool Again,Haruna Kojima,Hu Jintao,Club Atlas,Sendai,Jay album,Tajimi Gifu,Delhi,Ranger 2,Mazda Cosmo,Suwa Nagano,Animax Asia,Shueisha,Cameroon,Bulgaria,Valencian,Armenia,Ranger 6,Khmer Empire,Paraná state,Belfast,Apple A9,Mauritius,David Stern,Seth Harris,Berlin,Harold Urey,Gary Locke,Blake Ross,Angelino Alfano,Michael Bay,Victor Ponta,Thomas Pledl,Wilber Pan,Pat Roberts,Shaquille ONeal,Phil Spector,Pope Mark,Émile Borel,Jahangir,Sven Bender,Bill Nelson,Tom Hiddleston,Hans Geiger,Rainie Yang,Jimmy Carter,Zara Phillips,Angus Young,Asamoah Gyan,Mohamed Morsi,Emilia Fox,Leandro Guaita,Tim Krul,Marco Di Vaio,Padmé Amidala,Hayato Ikeda,Rivers Cuomo,Mario Gómez,Yang Xu,Luo Gan,Nereu Ramos,Samuel Alito
Busan Metropolitan City	Lu Wei politician,Brian Mulroney,Wuhan University,Brandeis University,John Eaton politician,Tulane University,Gilan Province,Ordos City,Ho Chi Minh City,Salt Lake City,Huangchuan County,Taipei Metro Line 5,OS X Mountain Lion,Brown University,Leandro Guaita,Kara South Korean band,Nankai University,Wuhan Zall FC,Stanford University,Inha University,Hausa language,Kushan Empire,Zhang Wentian,San Antonio Spurs,Pasadena California,Dai Jiaoqian,Tianhe Stadium,Cape Colony,Rose Bowl stadium,Bosnian language,West Virginia,Hungarian forint,Yuan Shanshan,North Carolina,CSX Transportation,Atromitos FC,Banastre Tarleton,Yao people,Chen Jianbin,Ronan Keating,Cameroon,Yuya Tegoshi,Xu Xiangqian,Cornell University,Clark University,Jules Bianchi,Roman Sharonov,Conan OBrien,Basque language,Lost season 3,Sean Connery,Dmitry Polyansky,John Langdon politician,Juan Antonio Samaranch,Music Madonna album,Electronic Arts,Mariah Carey,Napoleon III,Azerbaijanis,Auburn University,Jeff Merkley,Harold Urey,Body Feels Exit,Guy de Maupassant,Microsoft Word,Brian Wilson,Emma Goldman,Dont Wanna Cry,Francesco Totti,An Lushan Rebellion,Berlin,Suwa Nagano,Yashio Saitama,Sugathadasa Stadium,Mong Kok Stadium,Sichuan University,Asamoah Gyan,Toyota Aichi,Daur language,Melbourne City FC,Daraa Governorate,County Monaghan,Budapest,Luzhniki Stadium,Altai Republic,Ruhrstadion,Split Croatia,Santander Spain,Empress Dowager Cian,Gujarat,Brooklyn,Kashmiri language,Worcester City FC,Indonesian language,Yan Xishan,Camellia,Shandong Airlines,Even If Ken Hirai song,Lansing Michigan,Busan
Staffordshire	Shropshire,Warwickshire,Bradford,Star Wars,Worcestershire,Katowice,Corsier,Sammir,Maebashi,Kashiwa,Bashkirs,Taylor Swift,Maya Yoshida,Harold Urey,Cantonese,Trabzonspor,St Albans,Paraná state,North Sea,Sendai,Chandigarh,Madagascar,Mauritius,Dordrecht,Uttarakhand,Khmer Empire,Hitachi,Sakhalin,Mongol Empire,ND Gorica,Kushan Empire,Sean Connery,Pedro Pires,Soft rock,Clojure,Yao people,Drake rapper,OneDrive,Gary Cahill,So Girls,Seth Harris,Samuel Alito,Bob Corker,Zhongshan,Xiaomi,Starcamp EP,Star Awards 2001,Dave Mustaine,Xiaomi Mi 2,Jahangir,Yuya Tegoshi,Stefan Löfven,Madrid,Shueisha,Zhang Yesui,Paris,Yan Xishan,Shanghai,Stanford University,Hard rock,Belize,Croatia,Belfast,Santander Spain,Delhi,Palencia,Naha,Botswana,Ordos City,Split Croatia,Belgrade,Nampo,Cameroon,Suzhou,Yokohama,Valencian,Bulgaria,Thuringia,Armenia,Lethbridge,Southern Tang,Bird,Tigris,Flora Finch,Gilan Province,Pakistan,Berbers,Setagaya,Lima footballer,Odawara,Sunny Hill,Camellia,Maxis,Alan Sheehan,Socrates,Karakoram,AC Omonia,Heath Ledger,Senad Lulić,Staffordshire
Pope Stephen I	Pope Leo IX,Pope John XXI,Pope Sixtus V,Pope Urban III,Pope Innocent VII,Pope Pius IX,Pope Mark,John Sherman,Alan Sheehan,Qin Sheng,Lost season 3,Love So Sweet,David Stern,Donnie Yen,Robert Coontz,Akhenaten,Ron Wyden,Phil Spector,Cape Colony,Gold Typhoon,Tomer Hemed,Wang Zhen,Together When,Debbie Stabenow,Lee Seunggi,Tuo Zhen,Game Center,Pope Callixtus III,Napoleon III,John Roberts,Ronan Keating,Adam Smith,John Bercow,Roger Wicker,John B Weller,Carl Levin,Roman Sharonov,Montesquieu,Conan OBrien,Ivan Silayev,Socrates,John Curtin,Hans Geiger,Bob Corker,Bill Nelson,Sven Bender,The Pretenders,Pat Roberts,Robbie Keane,Ulla Schmidt,Michael Sheen,Coptic alphabet,Fool Again,Dordrecht,HTC One V,Nilo Peçanha,Drake rapper,Celeron,Rose Bowl Game,The Siren song,UD Salamanca,Feng Guozhang,Ander Herrera,Tang Shaoyi,Piedra Spain,Leessang,Apple Watch,Liu Yuzhang,Worcestershire,Yao people,Apple A9,Lollipop F,Leeuwarden,Yuan Shanshan,Battle Fever J,North Sea,Dave Mustaine,Yemen,Pakistan,The Hague,Philips Stadion,Botswana,Pep Guardiola,Tomb Raider,Voyager 2,Park Jungmin,Yan Xishan,Kim Heechul,Gelderland,Arjen Robben,Oppa Oppa,Elizabeth II,Li Keqiang,John Paul Stevens,Stephen Hawking,Pedro Pires,House of Vasa,Gary Locke,Robert Trivers,Pope Stephen I
Ovid	Bird,ABBA,EXID,AWK,Nevada,Quito,Maxis,Naha,Lyon,VIXX,Kaká,Metz,Goa,IOS,NTV7,H EP,TVBS,GNU,Paris,Madrid,Oregon,Tigris,Sammir,Hebei,Delhi,Busan,Zenica,Linux,Nampo,SS501,Egirls,Sendai,Yanan,Clang,Jining,MeeGo,SDN48,Yemen,Belize,BASIC,Berlin,Zhu Xi,Brazil,AlQaeda,Corsier,Mestizo,FC Goa,Odawara,Qantas,Astana,SimCity,Suzhou,Kashiwa,Armenia,Monaco,Yunnan,Chicken,Lu Xun,Croatia,OpenJDK,Xiaomi,Over Load,OneDrive,Epicurus,Cao Cao,Clojure,Jahangir,Camellia,Ich will,Luo Gan,AC Omonia,BBC One,Modula2,Pauleta,Berbers,Bulgaria,Belgrade,Shueisha,McLaren,Esbjerg,Pakistan,GDragon,Bashkirs,Punjabis,Celeron,Belfast,Alkmaar,Yang Xu,So Girls,Haarlem,Katowice,Bradford,Liu Jian,Guangxi,Cinemax,Americas,Gujarat,FC Metz,Hitachi,Ovid
Albanian Armed Forces	Syrian Armed Forces,Atlantic Records,Altai Republic,Alianza Lima,Akkadian language,Brown Eyed Girls,Mohamed Morsi,Copa Libertadores,Aleksandr Kokorin,Virgin Records,AlNusra Front,Dalian Shide FC,Hungarian forint,Bulgarian language,Bosnian language,American Samoa,National Front France,Taiwanese people,Kushan Empire,Shandong Airlines,Tocharian languages,Forensic Heroes,Gilan Province,Santander Spain,Daraa Governorate,Indiana Pacers,Indian Super League,Al Ain FC,Belgian Pro League,Banastre Tarleton,Conan OBrien,Newark New Jersey,Blake Ross,Elvis Presley,Vlatko Grozdanoski,Émile Borel,Anton Chekhov,Angela Merkel,Gerald Ford,Alan Sheehan,Arjen Robben,Klaus Augenthaler,Nagano Prefecture,Johann Gottfried Herder,Prudente de Morais,Harold Urey,Brian Mulroney,Mariah Carey,Hard rock,Amintore Fanfani,Royal Australian Air Force,Mongol Empire,Latvian Higher League,Arabic alphabet,Americas,London Underground,AlQaeda,Penguin Books,Aymara language,San Antonio Spurs,An Lushan Rebellion,Chinese FA Cup,Angels Fall First,Wind song,Paraná state,Qiangic languages,Ronan Keating,Tibetic languages,Haha entertainer,Madonna entertainer,The Siren song,Queen Noor of Jordan,Ander Herrera,Staffordshire,Agatha Barbara,Animax Asia,Georgios Samaras,Heath Ledger,Yao people,William Windom,Stefan Effenberg,Notre Dame de Paris,Robert Trivers,Manuel Valls,Mana Iwabuchi,Malice Mizer,Donnie Yen,Jimmy Carter,Star Wars,Flora Finch,Duncan Oughton,Bob Corker,John Roberts,Ashkan Dejagah,Carson California,Fabio Capello,Marion Raven,Angelino Alfano,JeanBaptiste Lamarck,Albanian Armed Forces
GNU Core Toolset	New Horizons,Yao people,Gary Locke,Cape Colony,Banastre Tarleton,Love So Sweet,Bob Corker,Gerd Müller,Windows Phone,Game Center,Chromecast,HTC First,Gold Typhoon,Penguin Books,AlNusra Front,The Siren song,Émile Borel,ND Gorica,Good Charlotte,So Girls,North Sea,Robert Coontz,Victor Ponta,DC Comics,Nacho Monreal,Pope Leo IX,North Brabant,Carl Valeri,Blake Ross,Kurt Alder,Corsier,New Caledonia,Nereu Ramos,Napoleon III,Cameroon,Pat Roberts,Taylor Swift,Guo Jinlong,Kim Ryeowook,North Carolina,Aldous Huxley,Malcolm Fraser,GNU,LibreOffice,Chrome OS,Cantonese,Clojure,GeForce 700 series,GeForce 400 series,Surface Pro 2,Celeron,Amintore Fanfani,Nintendo 2DS,IPhone 5S,HTC One V,FC Basel,FC Seoul,Nintendo DSi,Over Load,Mazda Cosmo,AMC TV channel,Dischord Records,Camellia,Fuchū Tokyo,Khmer Empire,Club Atlas,Tim Krul,Tomer Hemed,Malice Mizer,Drake rapper,Löfven Cabinet,FC Goa,Mongol Empire,Confignon,Rivers Cuomo,Bert T Combs,Soft rock,Nintendo DS,Manuel Valls,Daraa Governorate,Taiwanese people,Robert Trivers,Moshe Katsav,Dordrecht,Southern Tang,Gary Cahill,Tim BernersLee,PFC Litex Lovech,Egirls,Rose Bowl Game,Donnie Yen,Ulla Schmidt,BBC One,Marion Raven,Tomb Raider,Otto Grotewohl,Shandong Airlines,Henri Brisson,Lima footballer,GNU Core Utilities
Lord William Bentinck	William Golding,William Windom,William Rehnquist,William Des Vœux,William Chan,The Rolling Stones,Ronan Keating,Gilan Province,Jeremy Bentham,Lucrezia Borgia,Bill Nelson,Tom Hiddleston,Pier Luigi Bersani,Gonchigiin Bumtsend,Gerd Müller,Carl Levin,Ledley King,Will Arnett,Wally West,Vyacheslav Menzhinsky,Mari Kiviniemi,Flora Finch,Carlos Santana,Cornell University,Chen Jianbin,Lingya District,UD Salamanca,Rolling Star,Gordon Sprigg,John Curtin,Portia SimpsonMiller,Timon Wellenreuther,Ron Wyden,John Paul Stevens,Adam Smith,Lakhdar Brahimi,Edward Livingston,Luigi Einaudi,Norodom Monineath,Chris Weitz,Giordano Bruno,Yitzhak Rabin,Pope Callixtus III,Luzhniki Stadium,Zara Phillips,Ho Chi Minh City,Brian Mulroney,North Brabant,Donnie Yen,Cristiano Zanetti,Marcel Desailly,Ivan Silayev,Robbie Keane,Luis Guillermo Solís,Shire of Winton,Luke P Blackburn,Nicki Minaj,Nilo Peçanha,Gerald Guralnik,Otto Weininger,Wilber Pan,Giorgio Chiellini,Pope Innocent VII,Avril Lavigne,Chris Brown,Carl Valeri,Miloš Zeman,Scuderia Ferrari,Rose Bowl stadium,Coquitlam,Lollipop F,Ulla Schmidt,Cosmin Contra,Emilia Fox,Will Champion,Zhang Wentian,Savo Milošević,Leiden University,Vegalta Sendai,West Virginia,Blue English band,Qinghai Senke FC,Brian Wilson,Hungarian forint,Notre Dame de Paris,Indonesian language,Milan Susak,Piedra Spain,Rose Bowl Game,Lu Zhangong,Lin Fengjiao,North Carolina,Carry That Weight,Lu Wei politician,Good Charlotte,Liu Jian,Love So Sweet,Dont Wanna Cry,Park Jungmin,Lord William Bentinck
Francesco Toldo	Francesco Totti,Francesco Cossiga,Fuchū Tokyo,Manuel Valls,French Navy,Vincenzo Montella,Marco Di Vaio,Marc Janko,Blake Ross,Fabio Capello,Angus Young,Brian Wilson,Samuel Alito,Hayato Ikeda,Mazda Cosmo,Cao Cao,Kuniaki Koiso,Gerald Ford,Edogawa Tokyo,Cape Colony,Over Load,Ranger 6,Bradford,Cameroon,Nintendo 2DS,Ranger 2,Nintendo DSi,French Polynesia,Nintendo DS,Luís Figo,Mario Gómez,Angelino Alfano,Angelo Ogbonna,Victor Ponta,Pietro Badoglio,Émile Borel,FC Seoul,Rivers Cuomo,Pedro Pires,Giordano Bruno,Joachim Löw,Thomas Pledl,Jacques Demy,Leandro Guaita,Nacho Monreal,Marcel Desailly,Fábio Aurélio,Donnie Yen,Jerry Moran,Senad Lulić,Kazuhiko Chiba,Hans Geiger,Yang Xu,Mohamed Morsi,Ernst Kummer,Radoslav Kováč,John Bercow,Forensic Heroes,Gary Locke,Chavacano,Drake rapper,Fabien Barthez,Malice Mizer,Sean Connery,Patrick Leahy,Athletic Bilbao,Ordos City,Ich will,Maya Yoshida,Mestizo,Mamadou Sakho,Mao Fumei,Zhang Yesui,Waldemar Pawlak,Wang Dongxing,Takuya Terada,Rainie Yang,Fahri Korutürk,FC Goa,Gossip Candy,Arjen Robben,Camellia,Kim Heechul,Tang Shaoyi,Taiwanese people,Banastre Tarleton,Jack Kerouac,Sunny Hill,Niels Bohr,Palencia,Starcamp EP,Wind song,Montesquieu,Wang Zhen,Tianhe Stadium,Love So Sweet,Universal Orlando,Southern Tang,Valencian,Francesco Toldo
Philadelphia 76ers	Kidderminster,Phil Spector,Indiana Pacers,Lima footballer,Philips Stadion,Drake rapper,The Pretenders,Mikaël Silvestre,Blake Ross,Penguin Books,William Chan,Camellia,David Stern,Michael Bloomberg,Carl Valeri,Malice Mizer,Michael Sheen,Shimane Prefecture,Pedro Pires,Emilia Fox,Piedra Spain,Niels Bohr,Palencia,San Antonio Spurs,Alianza Lima,Milan Susak,Forensic Heroes,Taiwanese people,Chinese FA Cup,Shaquille ONeal,Khmer Empire,Will Champion,Pauleta,Elizabeth II,Bashkirs,Coptic alphabet,Jules Bianchi,Star Wars,Heath Ledger,Scuderia Ferrari,Belgrade,William Windom,Rolling Star,Game Center,Atlantic Records,Ander Herrera,Hitachi,Punjabis,Electronic Arts,Arabic alphabet,Robert Trivers,Roger Wicker,Shandong Airlines,Nokia Lumia 800,Wilber Pan,Xiaomi Mi 2,Animax Asia,Haha entertainer,Pasadena California,Pope Mark,Berbers,Will Arnett,Joachim Löw,Eagle Airways,Jimmy Carter,Bill Nelson,Seth Harris,Zara Phillips,Aramaic alphabet,Jahangir,Together When,Giannis Maniatis,Tulane University,Kim Jiwon actress,Thomas Pledl,Émile Borel,The Hague,Pat Roberts,Pope Stephen I,Delhi,Ahmad Shah Bahadur,Wally West,Ched Evans,Thomas Vermaelen,Kitchen Nightmares,Michael Bay,Shueisha,Chandigarh,Gerald Ford,Claude Makélélé,Valencian,Mohamed Morsi,Thomas Hobbes,Hans Geiger,Pier Luigi Bersani,Dianne Feinstein,Otto Weininger,Chuck Schumer,Belize,Philadelphia 76ers
piedra	Bird,Zenica,Astana,Tigris,Gujarat,Delhi,Naha,Oregon,AlQaeda,Metz,Odawara,Goa,Armenia,Hebei,Nevada,Jining,Cinemax,Sendai,Epicurus,FC Goa,Ovid,MeeGo,Linux,Xiaomi,Yemen,Madrid,Palencia,Pauleta,Corsier,Lyon,Camellia,Quito,Belgrade,Yugawara,Kaká,Sammir,Belfast,Celeron,Americas,Nampo,Croatia,Yunnan,Monaco,Suzhou,Yanan,Bulgaria,Clojure,Chicken,Esbjerg,AWK,Leessang,EXID,Alkmaar,Berbers,Busan,Modula2,Bradford,Hitachi,Belize,McLaren,Kashiwa,Luo Gan,SimCity,OneDrive,Clang,Maxis,ABBA,TVBS,Egirls,VIXX,Tim Krul,SS501,Liu Jian,Apple A9,Shueisha,OpenJDK,NTV7,Qantas,H EP,BASIC,IOS,Zhu Xi,Avex Trax,SDN48,Lu Xun,GNU,AS Roma,Cao Cao,Paris,Brazil,Berlin,Mestizo,Valencian,Setagaya,GDragon,The Hague,Yokohama,Gelderland,Ched Evans,Piedra Spain
Jimmy Carter	Jimmy Bullard,Game Center,Bob Carr,John Curtin,Bob Corker,Tomb Raider,Jerry Moran,Gary Cahill,Drake rapper,Tim Krul,Mariah Carey,SimCity,Jay album,Air Canada,Adam Smith,Cao Cao,Sean Connery,Gary Locke,Roger Wicker,Conan OBrien,Wally West,Jahangir,Patty Murray,Will Arnett,Seth Harris,John Bercow,Rahm Emanuel,David Stern,John B Weller,Heath Ledger,Hans Geiger,Katy Perry,Carl Valeri,Pedro Pires,Jeff Merkley,Sammir,Socrates,Pope Mark,McLaren,Niels Bohr,Ander Herrera,Sven Bender,Jeremy Bentham,Ernst Kummer,Gerd Müller,Kurt Alder,Cosmin Contra,Émile Borel,Tomer Hemed,Corsier,Apple Watch,Ordos City,Alkmaar,The Hague,Akhenaten,Fabien Barthez,Leeuwarden,Kidderminster,Star Wars,KisMyFt2,Haarlem,Sorry Sorry,John Roberts,Bill Nelson,Pat Roberts,Mao Fumei,Phil Spector,Jack Kerouac,Chris Weitz,Ron Wyden,Tim BernersLee,John Sherman,Samuel Alito,Miloš Zeman,Will Champion,Roman Sharonov,Hu Jintao,Todor Burmov,Victor Ponta,Agatha Barbara,Emma Goldman,Chris Brown,Casey Affleck,Mario Gómez,Harold Urey,Marc Janko,Luo Gan,Anwar Sadat,Angela Merkel,Wilber Pan,Sunny Hill,North Carolina,Wang Zhen,Kim Hyungil,Iron Man,Camellia,Rivers Cuomo,Andi Herzog,Liu Jian,Jimmy Carter
France National Under21 Football Team	Mali national football team,France womens national football team,Morocco national football team,Wales national football team,Finland national football team,Serbia national football team,Sweden national football team,Michael Marrone footballer,Czech Republic national football team,Roberto Carlos footballer,National Front France,National Revolutionary Army,Japanese National Railways,Nationalist Party Malta,Lima footballer,Pascoal Ranieri Mazzilli,Prince Nikolai of Denmark,FrancoProvençal language,Vålerenga Fotball,City Football Group,Madonna entertainer,Prime Minister of Yemen,Santander Spain,Prime Minister of Slovenia,Mizan Zainal Abidin of Terengganu,French Polynesia,Occupation of Japan,Central Academy of Drama,Francesco Cossiga,Carlos Adriano de Sousa Cruz,Vincenzo Montella,Brandeis University,Democratic Party Mongolia,Music Madonna album,Francesco Totti,Financial District Manhattan,Netherlands Antilles,London Underground,Carrie Underwood,Francesco Toldo,Guangzhou Evergrande Taobao FC,Brendon Šantalab,Indian Super League,Independiente Medellín,Gwangju World Cup Stadium,Albanian Armed Forces,National Cheng Kung University,Perfume Japanese band,Bon Voyage Kumi Koda album,Deportivo de La Coruña,Force Superfly album,Chancellor of Germany,The Chronicles of Narnia,Sovereign Military Order of Malta,Bernard Mandeville,Juan Antonio Samaranch,Prudente de Morais,First Minister of Scotland,Nankai University,John Eaton politician,Princess Iman bint Hussein,Japan Airlines Flight 123,Dream of Love Adventure Time,Saint Paul Minnesota,Daraa Governorate,ShanghaiKunming Railway,Taiwanese people,Tropical Storm Hanna 2002,Prince Fushimi Hiroyasu,Haha entertainer,Belgian Pro League,Hong Kong Football Association,Antonio López footballer born 1981,Fabio Capello,Syrian Armed Forces,Copa Libertadores,Wang Liang footballer born 1989,National Yilan Senior High School,Royal Dutch Football Association,Rose Bowl stadium,San Antonio Spurs,Kara South Korean band,House of Hohenzollern,Fabien Barthez,Hong Kong Third Division League,Royal Australian Air Force,Worcester City FC,Chinas Got Talent series 3,Latvian Higher League,The Republicans France,Sugathadasa Stadium,Party of Labour of Albania,OccitanoRomance languages,Manuel Valls,Karaiskakis Stadium,Abdelaziz Bouteflika,Leandro Guaita,Tianhe Stadium,Umberto II of Italy,France national under21 football team
Fool Again	Luo Gan,Carl Levin,Iron Man,Moon EP,FC Goa,Confignon,Liu Jian,Bob Carr,Bulgaria,Pope Mark,Zhongshan,Cao Cao,John Curtin,Ron Wyden,Tuo Zhen,Berlin,Over Load,So Girls,Will Champion,TRAX band,Ledley King,Pauleta,GDragon,Clang,Club Atlas,Soft rock,Lollipop F,Modula2,North Sea,Bill Nelson,Ronan Keating,Goa,TVBSAsia,Piedra Spain,Will Arnett,Setagaya,Conan OBrien,West Java,Yokohama,Yanan,Tigris,Hakan Yakin,Oregon,Flora Finch,Palencia,Lyon,Alkmaar,Avex Trax,Star Wars,Monaco,Donnie Yen,Toyota Aichi,Belgrade,Mongol Empire,Croatia,Celeron,Mao Fumei,Botswana,St Albans,Pakistan,Ched Evans,Tong Liya,Sendai,Apple A9,Delhi,Brooklyn,Jahangir,Busan,Park Jungmin,Yunnan,Belfast,Zhu Xi,Sakhalin,Suwa Nagano,Coquitlam,Al Ain FC,Valencian,FC Metz,Tomb Raider,Miloš Zeman,Chandigarh,Kurt Alder,Wang Zhen,Thuringia,Chen Jianbin,Lu Xun,Guangxi,Pyongyang,Shanghai,Illinois,FC Seoul,Rolling Star,H EP,FC Basel,Gold Typhoon,Jay album,Ich will,Wind song,Flea musician,Fool Again
Xiaomi Phone 2	Windows Phone,Xiaomi,IPhone 5S,Victor Ponta,HTC One V,Surface Pro 2,Game Center,Mao Fumei,Nicki Minaj,Atromitos FC,Qin Sheng,Tomb Raider,Wilber Pan,Nacho Monreal,Yao people,Wang Zhen,Wind song,Nilo Peçanha,Tuo Zhen,Jimmy Carter,Sean Connery,Rahm Emanuel,Cosmin Contra,Kim Hyungil,Thomas Pledl,Will Arnett,Cameroon,Cao Cao,Brian Mulroney,Cantonese,Lollipop F,Mazda Cosmo,Ranger 2,BBC One,AMC TV channel,Tianhe Stadium,Qinghai Senke FC,Soft rock,Tomer Hemed,Asamoah Gyan,Moon EP,Zhongshan,Chrome OS,Lost season 3,Padmé Amidala,Indiana Pacers,Luo Gan,Mari Kiviniemi,Sammir,Heath Ledger,Voyager 2,Confignon,Nampo,Tim Krul,AC Omonia,Sergey Shoygu,Casey Affleck,Li Ruihuan,Tajimi Gifu,Nikola Petković,Yan Xishan,Kuniaki Koiso,Miloš Zeman,Rivers Cuomo,Liu Jian,Robert Coontz,Air Canada,Carl Valeri,Adam Smith,North Sea,Kim Heechul,Tang Shaoyi,William Chan,Bill Nelson,Katy Perry,Gary Locke,Rainie Yang,Roman Sharonov,Alan Sheehan,Kim Ryeowook,Robbie Keane,Zara Phillips,Jining,Flora Finch,Guo Jinlong,Cape Colony,Bob Corker,Ron Wyden,Jimmy Bullard,Yuan Shanshan,Dianne Feinstein,David Stern,Marc Janko,Blake Ross,Katowice,Dai Jiaoqian,John Sherman,Pope Pius IX,Émile Borel,Xiaomi Mi 2
