Dimitris Sioufas	Dimitris Sioufas,Dimitrios Droutsas,Dimitrios Grapsas,Dimitrij Rupel,Demetris Christofias,Dmitry Livanov,Antonis Samaras,Giannis Ragousis,Javier Solana,Karolos Papoulias,Victor Ponta,Andris Piebalgs,Pedro Solbes,Daniel Scioli,David Libai,Valdis Birkavs,David Dinkins,Devin Nunes,Victor Ciorbea,Morris Iemma,Boris Nemtsov,Margaritis Schinas,Dieter Althaus,Tzipi Livni,Microsoft,Alexis Tsipras,Edmund Szoka,Mauritius,Jim Molan,Chris Huhne,South Sudan,Marisa Matias,Doris Leuthard,Albio Sires,Siiri Oviir,Dmitry Mezentsev,Academia Sinica,Aamir Khan,Alastair Goodlad,M%C3%A1rio Soares,United Russia,United Nations,Lithuania,Tajikistan,Mauritania,Eiki Nestor,Antanas Mockus,Mike Simpson,Neritan Ceka,Tim Fischer
Murat Magometovich Zyazikov	Murat Zyazikov,Murtaza Rakhimov,Sergey Mikhaylovich Ignatyev,Magomedali Magomedov,Mintimer Shaimiev,Yury Luzhkov,Sergey Gaplikov,Adilgerei Magomedtagirov,Aslan Maskhadov,Juan Antonio Samaranch,Oskar Lafontaine,Yuriy Kravchenko,Nikolai Levichev,Karim Massimov,Valentin Inzko,Alexander Dzasokhov,Boris Nemtsov,Yevgeny Primakov,Petro Poroshenko,Marat Tajin,Arsen Avakov,George Radanovich,Yury Chaika,Valentin Pavlov,Umar Dzhabrailov,Marco Maciel,Igor Konashenkov,Joseph Stalin,Mario Barletta,George Voinovich,Margaritis Schinas,Saken Zhasuzakov,Mauno Koivisto,Maria Elena Boschi,Carlo Azeglio Ciampi,Novruz Mammadov,Anatoly Serdyukov,Juan Almeida Bosque,Carol Moseley Braun,Blagovest Sendov,Marko Mihkelson,Tatyana Golikova,Marisa Matias,Nadiya Savchenko,Marietta Giannakou,Mirko Cvetkovi%C4%87,Mohammad Reza Pahlavi,Susana Martinez,Panagiotis Beglitis,Brigitte Zypries
Robert Douglas Nicholson	Rob Nicholson,Robert Zoellick,Robert Lepikson,Robert Mugabe,Roberta Pinotti,Poul Nielson,Robert J. Bentley,Douglas Alexander,Douglas Hurd,Robert E. Cramer,Umberto Bossi,Marko Mihkelson,Dan Tichon,Puerto Rico,Peter DeFazio,Anders Fogh Rasmussen,Herbert Kickl,Bill Richardson,Ron DeSantis,Brian Mikkelsen,Alberto Fujimori,Anders Samuelsen,Umar Dzhabrailov,Reuven Rivlin,Vern Buchanan,Tibor Navracsics,Igor Konashenkov,Front for Victory,Norodom Sihamoni,R. Nicholas Burns,Inner Mongolia,Lord Chancellor,Julie Bishop,Bob Dole,Peter Welch,Mike Simpson,Fred Thompson,Boris Nemtsov,Rodrigo Rato,Roland Koch,Noel Davern,Robin Hayes,Vincent Peillon,Sam Johnson,Robin Cook,Herbert B%C3%B6sch,Ratko Mladi%C4%87,Rudolf Scharping,George Shultz,Richard Branson
Electronic Arts Inc.	Electronic Arts,Adobe Inc.,Petro Poroshenko,Antonio Inoki,Elon Musk,Peronism,Central America,Sergey Aksyonov,Ole von Beust,Leonid Gozman,Antonio Brancaccio,Serhiy Arbuzov,Elizabeth II,Gerasimos Arsenis,Leonid Kravchuk,Apple Inc.,Puerto Rico,Eli Suissa,French Army,Patricia Scotland,Vern Buchanan,Barney Frank,Ernest Moniz,Republic of Artsakh,Ernie Fletcher,Eric Holder,Phil Robertson,Emma Bonino,Eric Cantor,Stephen F. Lynch,%C3%89ric Besson,Solomon Islands,Valentin Inzko,Vittorio Grilli,Bill Richardson,Eliot Engel,Oleg Ostapenko,Glenn Greenwald,Elizabeth Dole,Eric Garcetti,Oliver Letwin,Catherine Tasca,Els Borst,Tarcisio Bertone,Dieter Althaus,Catherine Ashton,Pete Peterson,Connie Mack IV,Fleur Pellerin,Moshe Arens
Eberhard van der Laan	Eberhard van der Laan,Hans van den Broek,Ed van Thijn,Richard Caborn,Richard Dannatt,Edward Snowden,Herman Van Rompuy,Alexandr Vondra,Richard Bruton,Bernd Lange,Richard Blumenthal,Richard Branson,Mehdi Bazargan,Tigran Torosyan,Werner Faymann,Mary Landrieu,Johannes Hahn,Edelgard Bulmahn,Ehud Barak,Rehavam Ze%27evi,Richard Danzig,Neritan Ceka,Jerry Moran,Thad Cochran,Sherry Rehman,Harvard University,Iberian Peninsula,Gerd Leers,Gerrit Braks,Mathias Cormann,Ole von Beust,Mart Laar,Manfred Kanther,Werner Hoyer,Frans Timmermans,Sebastian Kurz,Barbara Prammer,Richard Holbrooke,John Linder,Noel Davern,Fareed Zakaria,Alexander Stubb,Alexander Ankvab,Eliane Karp,Morgan Tsvangirai,Terry Branstad,Mitch Landrieu,Andranik Margaryan,Jean-Claude Gaudin,Marine Le Pen
Catalonia	Catalonia,Estonia,Cantabria,Romania,Lithuania,Sardinia,Latvia,Mauritania,Guyana,Napoleon,Madrid,Spain,Gabon,Nokia,Nokia,Slovakia,Iceland,Tatars,Bulgaria,Eswatini,Ukraine,Russia,Iran,Taiwan,Chuvashia,Paul Biya,Chechnya,Kit Bond,Khakassia,Madeira,Wales,France,Benin,Madagascar,Buryatia,Belgium,Cisco,Sony,Argentina,Tajikistan,Netherlands,Vietnam,Peronism,Lazard,Israel,Cape Verde,Palau,Comoros,Pakistan,Ana Palacio
Jose Maria Velasco Ibarra	Jos%C3%A9 Mar%C3%ADa Velasco Ibarra,Susana Malcorra,Jair Bolsonaro,Marcelo Ebrard,Pablo Escobar,Jos%C3%A9 Alencar,John Sarbanes,Maria Elena Boschi,Jos%C3%A9 Ramos-Horta,Joseph Muscat,Joe Lieberman,Joseph Estrada,Marie Bashir,Josh Frydenberg,Shankar Dayal Sharma,Marion Barry,Justicialist Party,Madagascar,Moderate Party,J. Jayalalithaa,Joel Villanueva,Rosa Aguilar,Jorge Illueca,Mario Barletta,Corina Casanova,Marisa Matias,Shintaro Ishihara,Mario Blejer,Roger Etchegaray,Jean Asselborn,Gabriel Oprea,Jean-Louis Tauran,Alexandr Vondra,Joris Voorhoeve,Jadranka Kosor,Joe Knollenberg,Okiharu Yasuoka,Dariga Nazarbayeva,Valeriy Horbatov,Leonid Kozhara,Kaspar Villiger,Morris Iemma,John Hickenlooper,Joseph Ki-Zerbo,Poul Nielson,Carla Del Ponte,Doris Leuthard,Connie Mack III,Demetris Christofias,Anne-Marie Lizin
Complutense University of Madrid	Complutense University of Madrid,American University of Beirut,Communist Party of India,Charles University,University of Waterloo,University of Ottawa,University of Sussex,Rutgers University,University of Chile,Vilnius University,Memorial University of Newfoundland,York University,University of Cape Town,Waseda University,Peking University,Ulster Unionist Party,Moscow State University,McGill University,Seoul National University,Workers%27 Party of Korea,Harvard University,Radio Television of Serbia,Democratic Unionist Party,Pontifical Catholic University of Chile,Yerevan State University,University of New Brunswick,Central European University,Commonwealth of Nations,Security Service of Ukraine,Amnesty International,Mogens Lykketoft,Carolyn Cheeks Kilpatrick,Christine Egerszegi,Irene Pivetti,Connie Hedegaard,Demetris Christofias,Dennis Daugaard,University of Buenos Aires,Christine Haderthauer,Council of Europe,Jawaharlal Nehru University,Luis Videgaray Caso,Luisa Fernanda Rudi,Guilherme d%27Oliveira Martins,National Party of Australia,Liberal Democratic Party of Russia,Doris Leuthard,Carol Moseley Braun,Gyanendra of Nepal,Louise Arbour
Marion Barry	Marion Barry,Raymond Barre,Marie Bashir,Mart Laar,Mario Blejer,Mario Barletta,Marisa Matias,Katy Perry,Mark Kirk,Monika Harms,Dick Marty,Harrison Ford,Kevin Brady,Mark Warner,Dan Boren,Marco Maciel,Marat Tajin,Marek Jurek,Finns Party,Duncan Kerr,Rein Lang,Patty Murray,Mary Fallin,Raymond Kelly,Robin Hayes,Ken Starr,Adrian Smith,Martha McSally,Sanna Marin,Solomon Passy,Charlie Baker,Madagascar,Marcelo Ebrard,Mark Dayton,Paulo Maluf,Dan Burton,Chris Murphy,Lionsgate,Mark Pryor,Mark Rutte,Marine Le Pen,Jay Carney,Suriname,Nabil Elaraby,Gabriel Oprea,Eliane Karp,Brian Cowen,Spanish Navy,Guido Carli,Makiko Tanaka
Carla Del Ponte	Carla Del Ponte,Claudia Nolte,Nancy Pelosi,Arlene Foster,Catalonia,Marine Le Pen,Sierra Leone,Carles Puigdemont,Mark Dayton,Urho Kekkonen,Carlos Menem,Karel De Gucht,Dave Weldon,Cape Verde,Karen Ellemann,Le Point,Dick Celeste,Claudio Huepe,Alfred Sant,Mary Fallin,Gary Locke,Victor Ponta,Walter Momper,Charlie Baker,Carlos Slim,Tanja Fajon,Mark Rutte,Carlos Santana,Charles Pasqua,Taro Kono,Ted Poe,Paul Simon,Kakha Kaladze,Paolo Gentiloni,Peter Hintze,Jacques Santer,Napoleon,Jacques Delors,Carlos Tevez,Chris Huhne,Poul Nielson,Boris Nemtsov,Earl Blumenauer,Holy See,Arab League,Ukraine,Israel,Gwen Moore,Maria Elena Boschi,Adrian Smith
Paolo Gentiloni	Paolo Gentiloni,Paul Martin,Paul Simon,Nancy Pelosi,Pavlos Geroulanos,Paulo Maluf,Carlos Santana,Napoleon,Argentina,Carla Del Ponte,Paul Reeves,Paul Ryan,Paul Biya,Pedro Carmona,Pete Peterson,Phil Robertson,David Dinkins,Pablo Escobar,Dan Burton,Mauno Koivisto,Catalonia,Peter Hintze,Pascal Canfin,Karolos Papoulias,Taro Kono,Carlos Menem,Boris Nemtsov,Jack Layton,Joseph Stalin,Mark Dayton,Keiko Fujimori,Urho Kekkonen,Tzipi Livni,Rudy Giuliani,Sally Jewell,Hage Geingob,Marko Mihkelson,Poul Nielson,Paavo Lipponen,Dave Weldon,David Ben-Gurion,Holy See,Shlomo Ben-Ami,Shulamit Aloni,Pietro Lunardi,United Nations,Vittorio Grilli,Montenegro,Guido Carli,Beppe Grillo
David Libai	David Libai,David Ige,David Dinkins,David Vitter,David Dreier,David L. Aaron,Hamid Karzai,Yair Lapid,Kadima,David Emerson,Yash Ghai,Paul Biya,David Lidington,Pavel Tigrid,Daniel Scioli,Vlad Filat,Eli Lilly,Pio Laghi,Mart Laar,Sajid Javid,Devin Nunes,Aamir Khan,Madeira,Sardinia,Tzipi Livni,Dan Tichon,Uzi Landau,David Johnston,Edi Rama,Jack Lew,Erwin Huber,Ahmed Galal,Daniel Toribio,Tariq Aziz,David Blunkett,Ehud Barak,Meir Dagan,Jaume Matas,Harald Kujat,Gabi Zimmer,Dan Boren,Jim Risch,Jim Molan,Marie Bashir,Guido Carli,Gary Locke,Mark Kirk,Dipu Moni,Rein Lang,Paul Ryan
Fred Thompson	Fred Thompson,Mike Simpson,Sam Johnson,Frank Jensen,David Emerson,Rob Nicholson,David Johnston,Pete Peterson,Greg Walden,Paul Simon,Ted Poe,Thad Cochran,Dan Tichon,Bill Shorten,Greta Thunberg,Poul Nielson,Marko Mihkelson,French Army,Oleg Lobov,French Navy,Piet Bukman,Ahn Cheol-soo,Erkki Tuomioja,Dan Burton,Steve Rothman,Noel Davern,Bill Richardson,Mike Crapo,Dan Boren,Jim Saxton,Tim Holden,Norm Coleman,James Florio,Ben Cardin,Karen Ellemann,Mark Dayton,Todd Akin,Dave Weldon,Walter Momper,Rick Larsen,Eric Holder,Emma Bonino,Jerry Moran,Dale Bumpers,Brian Cowen,Werner Faymann,Jim Molan,Ed Balls,Yves Cochet,Bram Peper
Marco Maciel	Marco Maciel,Mario Blejer,Marisa Matias,Marat Tajin,Mark Warner,Jack Markell,Paulo Maluf,Sanna Marin,Marion Barry,Gary Locke,Mark Kirk,Mario Barletta,Marek Jurek,Carlos Menem,Mark Rutte,Mart Laar,Mark Dayton,Jelko Kacin,Per Unckel,Mary Fallin,Marie Bashir,Marko Mihkelson,Patrick Mayhew,Mary Landrieu,Israel,Mauritania,Port Said,Marcus Stephen,Marcelo Ebrard,Hugo Banzer,Carlos Slim,Morocco,Jaume Matas,Sergio Diez,Lars Barfoed,Jay Carney,Paul Martin,Rick Larsen,Celso Lafer,Karim Massimov,Tariq Aziz,Redha Malek,Vince Cable,Laurent Fabius,Greg Walden,Nancy Pelosi,Rand Paul,Dick Marty,Jack Lew,Mauno Koivisto
Manfred Kanther	Manfred Kanther,Jacques Santer,Alfred Sant,Walter Kasper,Marie Bashir,Andrew Lansley,Mark Warner,Arnold Koller,Bernd Lange,Mark Rutte,Michel Barnier,David Vitter,Eric Cantor,Marek Jurek,Manuel Valls,Mart Laar,Marco Maciel,Alfredo Barnechea,Mark Dayton,Mario Blejer,Mary Landrieu,Ernie Fletcher,Wangari Maathai,Lee Kun-hee,Walter Momper,Hartmut Bagger,Laurenz Meyer,Pierre Werner,Hugo Banzer,Indrek Tarand,Borut Pahor,David Dreier,Patrick Mayhew,Michel Mercier,Lars Barfoed,Ernesto Samper,Andrew Robathan,Jane Harman,Pavel Grachev,Danny Pieters,Rebiya Kadeer,Ron DeSantis,Mark Pryor,Arlene Foster,Greg Walden,Jon Tester,Ian Paisley,Olene Walker,Raymond Barre,Andrew Card
Charles Pasqua	Charles Pasqua,Charlie Baker,Carlos Santana,Carlos Slim,Karolos Papoulias,Theresa May,Marie Bashir,Carlos Menem,Carlos Tevez,Khaleda Zia,Charles University,Johannes Hahn,Carles Puigdemont,Andrus Ansip,Laurent Fabius,Rand Paul,Chris Murphy,Paulo Maluf,Sheikh Hasina,Catherine Tasca,Fidel Castro,Walter Kasper,Chris Huhne,Javier Solana,Darrell Issa,Fareed Zakaria,Chuvashia,United Russia,Khakassia,The Bahamas,Cape Verde,Alfred Sant,Solomon Passy,Marion Barry,George Habash,Andrew Powell,Mark Warner,Paul Martin,Emmanuel Macron,Lars Barfoed,Ahmed Galal,Nancy Pelosi,Paul Biya,Joachim Gauck,Andrew Card,Greg Walden,Jacques Chirac,Gabriel Oprea,Barney Frank,James Florio
Naftali Bennett	Naftali Bennett,Richard Dannatt,David Blunkett,Alain Berset,Napoleon,Nancy Pelosi,Scott Garrett,Frank Jensen,Paul Reeves,Norbert Lammert,Angela Merkel,Dale Bumpers,Candice Bergen,Sally Jewell,Catalonia,Harald Kujat,Pascal Canfin,Mario Barletta,Pascale Bruderer,Yuval Steinitz,Gresham Barrett,Hartmut Bagger,Matti Vanhanen,Enda Kenny,Carlos Menem,Chadli Bendjedid,Holy See,Cape Verde,Ukraine,Lionel Bowen,Alfred Sant,Nigel Evans,Melissa Bean,Kate Brown,Hillary Clinton,Pierre Werner,Neritan Ceka,Mark Binskin,Peter Hintze,Santiago Creel,Emma Bonino,Victor Ponta,Jay Carney,Roscoe Bartlett,Salman Khan,Bram Peper,Raymond Barre,Mark Warner,Paul Ryan,Sierra Leone
Aland Islands	Solomon Islands,Vlad Filat,John Tsang,Alfred Sant,Elena Salgado,Juan Lozano,Bernd Lange,Anand Satyanand,Ahmed Galal,Rand Paul,Ana Palacio,Netherlands,Dagestan,Afghanistan,%C3%85land,Abu Darda,Allan Rock,Albio Sires,Ed Balls,Alu Alkhanov,Andrew Card,Rein Lang,Olene Walker,Jean Schmidt,Arne Duncan,Ali Abbasov,Al Green,Chet Edwards,Anson Chan,Alexandr Vondra,Anne Hidalgo,Amy Adams,John Sarbanes,Helen Clark,Paul Tsongas,Salman Khan,Nigel Evans,Hans Hillen,Jan Pronk,Milan Uhde,Iliana Iotova,Dan Boren,Paul Ryan,Dean Heller,Ron DeSantis,Roland Koch,Francis Maude,Willy Claes,Jean Spautz,Anna Eshoo
Viktor Basargin	Viktor Basargin,Viktor Stepanov,Viktor Pynzenyk,Victor Ciorbea,Mehdi Bazargan,Viktor Khristenko,Vitaly Churkin,Victor Ponta,Pietro Lunardi,Vijay Bahuguna,Artur Rasizade,Vladimir Markin,Peter DeFazio,Ben Cardin,Taslima Nasrin,Michel Barnier,Mart Laar,Tibor Navracsics,Richard Caborn,Walter Kasper,Marie Bashir,Lionel Jospin,Guido Carli,Rick Larsen,Fareed Zakaria,Mitch Landrieu,Pio Laghi,Richard Branson,Paul Martin,Jyoti Basu,Piet Bukman,Jelko Kacin,Sanna Marin,Vittorio Grilli,Kate Brown,Kiran Desai,Peter Cosgrove,Marion Barry,Meir Dagan,Leo Varadkar,Vitaliy Masol,Marat Tajin,Lakhdar Brahimi,Ron DeSantis,Yair Lapid,Peter Wittig,Hartmut Bagger,Kakha Kaladze,James Langevin,Johnny Isakson
Justin Trudeau	Justin Trudeau,Kevin Brady,Kevin Rudd,Devin Nunes,Luis Cruz,John Linder,Jon Tester,Uzi Landau,Joseph Muscat,Nuon Chea,Joseph Prueher,John Brumby,South Sudan,Erwin Huber,Jyoti Basu,Rumen Radev,Jordi Turull,Russia,Saudi Arabia,Estonia,Robin Hayes,Josef Lux,Joseph Estrada,Jim Doyle,Duncan Kerr,Tim Holden,John Warner,Eric Holder,Anson Chan,John Key,Patty Murray,Jim Molan,Julie Bishop,Susan Collins,South Korea,Jean Charest,Jason Chaffetz,Joseph Stalin,Alain Madelin,Jim Ramstad,John Tsang,Suriname,John Kufuor,Francis Maude,Milan Uhde,Moshe Arens,Lucien Bouchard,Helen Liddell,Edwin Feulner,Joachim Gauck
Ali Abdullah Saleh	Ali Abdullah Saleh,Ali Abbasov,Alu Alkhanov,Amanullah Khan,Elizabeth Dole,Alfred Sant,Adrian Smith,Redha Malek,Omar Abdel-Rahman,Bill Gates,Albio Sires,Elizabeth II,Ahmed Galal,Abu Darda,Hezbollah,Tarek William Saab,Bill Bradley,Babacar Gaye,William Cohen,Allan Rock,Eli Suissa,Uri Rosenthal,Paulo Maluf,Anwar Sadat,Milan Uhde,Alexander Stubb,Almazbek Atambayev,Eli Lilly,Abdurrahman Wahid,Joseph Stalin,Miguel Arraes,Al-Riyadh SC,Manuel Valls,Aosta Valley,Willy Claes,Alfredo Barnechea,Fidel Castro,Amy Adams,Amartya Sen,Alpha Kappa Alpha,Aleksandar Vulin,Claudia Nolte,Angela Merkel,Giancarlo Galan,Liudmyla Suprun,Holy See,Arab League,Amitabh Bachchan,Bulgaria,The Bahamas
Mary L. Landrieu	Mary Landrieu,Mitch Landrieu,Mary Fallin,Mart Laar,Mark Warner,Marco Maciel,David L. Aaron,Marion Barry,Mary McAleese,Marie Bashir,Marisa Matias,Uzi Landau,Jay Carney,Marine Le Pen,Mark Binskin,Marat Tajin,Gary Locke,Marju Lauristin,Fareed Zakaria,Marek Jurek,Bernd Lange,Matti Vanhanen,Manfred Kanther,John E. Sununu,John F. Tierney,Satya Nadella,Sanna Marin,Taslima Nasrin,Makiko Tanaka,Marilyn Musgrave,Marcus Stephen,Mark Kirk,Andrew Lansley,Mark Dayton,Mark Pryor,Jay Weatherill,Marcelo Ebrard,Mario Blejer,Lamar Alexander,Greg Walden,Marietta Giannakou,Jacques Santer,Raymond Barre,Mario Barletta,Pascal Canfin,James Langevin,John Linder,Hartmut Bagger,Mark Rutte,Carlos Santana
Swaziland	Iceland,Spain,Taiwan,Pakistan,Lazard,Sicily,Suriname,Mauritania,Eswatini,Ukraine,Russia,Netherlands,Smile,Romania,Slovakia,Iran,Palau,%C3%85land,Guyana,Madrid,Kadima,Sardinia,Latvia,Madeira,Benin,Napoleon,Senegal,Wales,Port Said,Gabon,Catalonia,Dagestan,Nokia,Nokia,EH Bildu,Sony,Tatars,Belgium,Portugal,Honduras,Boeing,Vietnam,Sufism,Lithuania,Bulgaria,Israel,Estonia,Tajikistan,Argentina,Shas
Carlos Santana	Carlos Santana,Carlos Slim,Carlos Menem,Carlos Tevez,Charles Pasqua,Mark Dayton,Paul Martin,Jacques Santer,Makiko Tanaka,Javier Solana,Marco Maciel,Pedro Carmona,Paulo Maluf,Jaume Matas,Mario Barletta,Marisa Matias,Chris Huhne,Charlie Baker,Alfred Sant,Victor Ponta,Leon Panetta,Marcus Stephen,Paul Simon,Barney Frank,Paul Ryan,Werner Faymann,Marat Tajin,Jim Saxton,Chris Grayling,Jack Layton,Eric Cantor,Arne Duncan,Chelsea Manning,Pascal Canfin,Mart Laar,Corina Casanova,Pat Buchanan,Taro Kono,Marion Barry,Lars Barfoed,Catalonia,Paolo Gentiloni,Mary Fallin,Dagestan,Yaakov Neeman,Matti Vanhanen,Fareed Zakaria,Jane Harman,Karolos Papoulias,Salman Khan
Cesar Camacho Quiroz	C%C3%A9sar Camacho Quiroz,Ana Palacio,Sebastian Kurz,Sergio Diez,Susana Malcorra,Peter DeFazio,Fernando Flores,Denny Tamaki,Omar Torrijos,Marie Bashir,Thad Cochran,Pascal Couchepin,Jean Spautz,Zviad Gamsakhurdia,Umar Dzhabrailov,Corazon Aquino,Tassos Papadopoulos,Susan Collins,Jean Schmidt,Peter Cosgrove,Jesse Jackson Jr.,Carlos Tevez,Jair Bolsonaro,Marco Maciel,Pedro Carmona,Susana Martinez,Celso Lafer,Rosa Aguilar,Bruno Stagno Ugarte,Yves Cochet,Borut Pahor,Jean-Claude Gaudin,Murat Zyazikov,Claudio Huepe,Christian Estrosi,Ben Cardin,Chaim Herzog,Corina Casanova,Murtaza Rakhimov,Roger Etchegaray,George Shultz,Herman Van Rompuy,George Radanovich,Mel Carnahan,Barbara Prammer,Richard Caborn,Chiang Ching-kuo,Leo Varadkar,Jean Asselborn,Omar Bongo
Eritrea	Eritrea,Greece,Estonia,Latvia,France,Libya,Guyana,Brunei,Israel,Iran,Argentina,Vietnam,Bulgaria,Mauritania,Portugal,Romania,Ukraine,Russia,Smile,Taiwan,Madrid,Edi Rama,Fidesz,Sardinia,Sicily,Nauru,Madeira,Wales,Tatars,Honduras,Suriname,Mauritius,Meretz,Buryatia,Nokia,Nokia,Fiji,Cantabria,Google,Iceland,Spain,Airbus,Henrik,Eswatini,Slovakia,Pakistan,Cisco,Belgium,Al Green,Lithuania
Anson Chan	Anson Chan,Nuon Chea,Aamir Khan,Yash Ghai,Salman Khan,Yahya Khan,Steven Chu,John Tsang,Robin Cook,Paul Ryan,Don Young,Jason Chaffetz,Andrew Card,Rein Lang,Lincoln Chafee,Milan Uhde,Allan Rock,Ashraf Ghani,Helen Clark,Arne Duncan,Anna Eshoo,Lesotho,Brian Cowen,Afghanistan,Arsen Avakov,Ron Wyden,Anwar Sadat,Elon Musk,Josef Lux,Ben Cardin,Ken Starr,Luis Cruz,Dan Tichon,Nigel Evans,John Key,Hans Hillen,Jerry Moran,Al Green,Taro Kono,Todd Akin,Melissa Bean,Antonio Inoki,Alfred Sant,Ahmed Galal,Dan Boren,Duncan Kerr,Thad Cochran,Mike Crapo,Nokia,Nokia
Paavo Väyrynen	Paavo Lipponen,Paavo V%C3%A4yrynen,Matti Vanhanen,Ivan Kyrylenko,Dan Boren,Evo Morales,Paul Ryan,Jay Carney,Paul Martin,Pat Buchanan,Mark Warner,Ilkka Suominen,David Vitter,Toivo Asmer,Siv Jensen,Ron Wyden,Ivan Safronov,Patrick Mayhew,Jan Pronk,Pavel Grachev,Taro Kono,Lars Barfoed,Hugo Swire,Pavel Tigrid,David Dreier,Dave Weldon,Albio Sires,Frank Swaelen,Yaakov Neeman,Steve Daines,Mark Pryor,Jane Harman,Urho Kekkonen,Amartya Sen,Sanna Marin,Rick Larsen,Paolo Gentiloni,Yaakov Edri,Hans Hillen,Marek Jurek,Ivan Rybkin,Bill Shorten,Paulo Maluf,Alain Berset,Frank Jensen,Paul Biya,Tsai Ing-wen,Patty Murray,Pedro Carmona,Carlos Menem
Connie Hedegaard	Connie Hedegaard,Connie Morella,Dennis Daugaard,Doris Leuthard,Connie Mack IV,Connie Mack III,Anne Hidalgo,Anne McLellan,Candice Bergen,John Redwood,John Linder,Anna Fotyga,Steny Hoyer,Monika Harms,John Boehner,Sonny Perdue,Erwin Huber,Danny Pieters,Hanno Pevkur,Tulsi Gabbard,Werner Hoyer,Jane Harman,Glenn Greenwald,Morris Iemma,Ernie Fletcher,Eric Holder,Chet Edwards,Anil Kakodkar,Ron Wyden,Charlie Baker,Jon Tester,Bruno Le Maire,Donna Shalala,John Abizaid,Andrew Card,Gianni Letta,Robin Hayes,Montenegro,Lucien Bouchard,Dean Heller,Joe Lieberman,Leonid Kozhara,Chaim Herzog,Michael Howard,Hage Geingob,Olene Walker,Jim Ramstad,Chris Huhne,Louise Arbour,Jens Weidmann
Abdus Samad Azad	Abdus Samad Azad,Abu Darda,Abdurrahman Wahid,Artur Rasizade,Anwar Sadat,Anders Samuelsen,Antonis Samaras,Salman Khan,Edi Rama,Anand Satyanand,Andrus Ansip,Anil Kakodkar,Aamir Khan,Jim Ramstad,Kakha Kaladze,Andriy Sadovyi,Lucas Papademos,Leo Varadkar,Port Said,Ahmed Galal,The Bahamas,Anson Chan,Tariq Aziz,Andrew Card,Sardinia,Todd Akin,Amr Waked,Lars Barfoed,Jean Spautz,Pedro Carmona,Carlos Santana,Melissa Bean,Uzi Landau,Maher al-Assad,South Sudan,Shaul Mofaz,Ayaan Hirsi Ali,Madagascar,Denny Tamaki,Satya Nadella,Yukiya Amano,Amanullah Khan,Andrew Robathan,Indrek Tarand,Ana Palacio,Davit Bakradze,Mehdi Bazargan,Terry Branstad,Ashraf Ghani,Hafez al-Assad
Hassanal Bolkiah Mu'izzadin Waddaulah	Hassanal Bolkiah,Huda Salih Mahdi Ammash,Hassan Rouhani,Syrian Social Nationalist Party,Khalid bin Sultan Al Saud,Taha Yassin Ramadan,Jalaluddin Haqqani,Pasqual Maragall,Swraj Paul, Baron Paul,Carlos Holgu%C3%ADn Sardi,Abdullah of Saudi Arabia,Amanullah Khan,Osama bin Laden,Winnie Madikizela-Mandela,Zine El Abidine Ben Ali,Hanja Maij-Weggen,Eduardo Brizuela del Moral,Shankar Dayal Sharma,Melanie Schultz van Haegen,Earl Blumenauer,Giampaolo Di Paola,Vangelis Meimarakis,Jean-Claude Gaudin,Jean-Louis Tauran,Hans van den Broek,Tatyana Golikova,Michael Boyce, Baron Boyce,Pascal Couchepin,Panagiotis Lafazanis,International Criminal Court,Tassos Papadopoulos,International Monetary Fund,Hungarian Democratic Forum,Brazilian Social Democracy Party,National Party of Australia,Brazilian Socialist Party,Turki bin Faisal Al Saud,Ali Abdullah Saleh,Mahathir Mohamad,Tarek William Saab,Julio C%C3%A9sar Turbay Ayala,Chaudhry Mohammad Sarwar,Hassan II of Morocco,Hamad bin Khalifa Al Thani,Masahide %C5%8Cta,Wangari Maathai,Muammar Gaddafi,Mar%C3%ADa Corina Machado,Lakhdar Brahimi,Fernando Grande-Marlaska
George Osborne	George Osborne,George Habash,George Weah,George Shultz,George Voinovich,Pierre Werner,Bruce George,Gary Locke,Gwen Moore,Jerry Moran,Greg Abbott,Gabriel Oprea,Sierra Leone,Jerry Brown,Kongsberg,Jorge Illueca,George Radanovich,General Motors,Gerd Leers,Borut Pahor,Sergey Aksyonov,Greece,Cape Verde,Argentina,Vince Cable,John Warner,Google,Mark Warner,Joe Crowley,Le Point,Werner Faymann,Tony Blair,Geoff Davis,Peter Hintze,Richard Caborn,Al Gore,Werner Hoyer,Kate Brown,Renato Soru,Ted Poe,Greg Walden,Don Young,Jean Asselborn,Toivo Asmer,South Korea,Gabon,Louise Arbour,Arne Duncan,Theresa May,Cory Booker
Madeira	Madeira,Kadima,Madrid,Latvia,Wales,Nokia,Nokia,Boeing,Sardinia,Nauru,Dagestan,Audi,Tatars,Meretz,Mark Kirk,Lazard,Morocco,Senegal,Madagascar,Mauritius,Gabon,Fiji,Libya,Eritrea,Benin,Taiwan,Russia,Brunei,Fidesz,Palau,Tuva,Smile,Sicily,Sufism,Cantabria,Mart Laar,Henrik,PepsiCo,Mike Crapo,Al Gore,Vlad Filat,Paul Biya,Ted Poe,Gazprom,Guam,Spain,Suriname,France,Belgium,Greece
