Dimitris Sioufas	Dimitrios Droutsas,Dimitrios Grapsas,Dimitrij Rupel,Dmitry Livanov,Demetris Christofias,Mário Soares,Antonis Samaras,Giannis Ragousis,Javier Solana,Mümtaz Soysal,Karolos Papoulias,Victor Ponta,Andris Piebalgs,Pedro Solbes,Daniel Scioli,Hindi cinema,David Libai,François Loos,Éric Raoult,Valdis Birkavs,David Dinkins,Devin Nunes,Victor Ciorbea,Morris Iemma,Boris Nemtsov,Dieter Althaus,Tzipi Livni,Microsoft,Margaritis Schinas,Alexis Tsipras,Edmund Szoka,Mauritius,Jim Molan,Chris Huhne,Albio Sires,South Sudan,Marisa Matias,Doris Leuthard,François Zimeray,Siiri Oviir,Dmitry Mezentsev,François Goulard,Academia Sinica,Aamir Khan,Alastair Goodlad,United Russia,United Nations,Lithuania,Tajikistan,Dimitris Sioufas
Yitzhak Mordechai	Mikhail Gorbachev,Kirk Fordice,Yevhen Marchuk,Mikhail Margelov,Yash Ghai,South Korea,Kiran Desai,Angela Merkel,Antanas Mockus,Satya Nadella,Michel Mercier,Thad Cochran,Rick Boucher,Alexei Mordashov,Lisa Murkowski,Tigran Torosyan,Connie Morella,William Cohen,Michael Kocáb,Patrick M. Hughes,Nikolai Levichev,Yaakov Neeman,Jerry Moran,Dan Boren,Leszek Miller,Dick Marty,Yaakov Edri,Wilhelm Molterer,Lothar Bisky,Mathias Cormann,Milan Uhde,Shaul Mofaz,Dipu Moni,Tim Holden,Jack Markell,Rick Larsen,Redha Malek,Jim Molan,Nikolay Dobrev,Kit Bond,Victor Ciorbea,Michel Camdessus,Patty Murray,Steven Mnuchin,Anil Kakodkar,Yahya Khan,Yves Cochet,Richard Blumenthal,Patrick Mayhew,Yitzhak Mordechai
Bank of America	Central America,Saudi Arabia,Yaakov Edri,Toivo Asmer,Mark Warner,David Emerson,Cantabria,Sanna Marin,United Russia,Jay Weatherill,Ratko Mladić,Narcís Serra,Andrus Ansip,Cape Verde,Gabi Zimmer,Hans Hækkerup,Candice Bergen,Hanno Pevkur,Nicole Ameline,Bulgaria,Romania,Boyko Borisov,Yaakov Neeman,Boeing,Nancy Pelosi,Jacques Chirac,Angela Merkel,Franz Müntefering,Spanish Army,Madeira,Puerto Rico,York University,Catalonia,Telefónica,Canadian Army,General Electric,Academia Sinica,Kirk Fordice,Church of Greece,Law and Justice,Mark Binskin,Mark Kirk,Marion Barry,Barney Frank,Dale Bumpers,Bill Ritter,Rob Andrews,Dan Burton,Hans Engell,Bank of America
Vladimir Igorevich Kozhin	Vladimir Georgiyevich Titov,Vladimir Voronin,Vladimir Anatolyevich Yakovlev,Vladimir Yegorov,Vladimir Markin,Vladimir Yevtushenkov,Vladimir Vasilievich Rusakevich,Vladimir Semyonov (general),Volodymyr Semynozhenko,Volodymyr Khandohiy,Hasmik Poghosyan,Ioannis Varvitsiotis,Aamir Khan,Alexei Mordashov,Volodymyr Shkidchenko,Volodymyr Lytvyn,Valeriy Khoroshkovskyi,Nikolai Levichev,Valeriy Horbatov,Nadiya Savchenko,Uladzimir Nyaklyayew,Valdemar Tomaševski,Omar Torrijos,James Langevin,Lionel Jospin,Liaquat Ali Khan,Thad Cochran,Hamid Karzai,Alain Madelin,Alastair Goodlad,Margaritis Schinas,Maria Elena Boschi,James Florio,Édith Cresson,Sam Johnson,Emilio Pérez Touriño,Daniel Toribio,Oliver Letwin,Dan Tichon,Carolina Tohá,Pascal Couchepin,Academia Sinica,Leonid Kravchuk,Leonid Kozhara,Igor Klimov,Yuriy Kravchenko,Viktor Basargin,Vagit Alekperov,Bidzina Ivanishvili,Vladimir Kozhin
Violeta Bulc	Piet Bukman,Zoltán Gál,Kit Bond,Khaleda Zia,Jyoti Basu,Vince Cable,Josef Lux,Lionel Bowen,Bibiana Aído,Carolina Tohá,Elizabeth Dole,Vlad Filat,Melissa Bean,Joseph Muscat,Palau,Elon Musk,Péter Polt,Josef Pröll,Bob Dole,Milan Kučan,Paul Biya,Don Manzullo,Norbert Blüm,Fianna Fáil,Greta Garbo,Fine Gael,Pio Laghi,Peter Welch,Joyce Quin,Bill Gates,Gerrit Zalm,Milan Uhde,Éric Raoult,South Sudan,Bill Young,Herbert Bösch,Douglas Hurd,GSK plc,José Bono,Senegal,Roland Koch,Rand Paul,Lionsgate,Aosta Valley,Vietnam,Port Said,Apple Inc.,Adobe Inc.,Eliane Karp,Violeta Bulc
Communist Party of Bohemia and Moravia	Communist Party of India,Communist Party of the Russian Federation,Socialists' Party of Catalonia,National Party of Australia,Workers' Party of Korea,Commonwealth of Independent States,Commonwealth of Nations,Radical Party of the Left,Abdullah of Saudi Arabia,Monarchy of the United Kingdom,University of Buenos Aires,Chaudhry Mohammad Sarwar,Lord President of the Council,Eduardo Brizuela del Moral,Konstantine Gamsakhurdia,Constitutional Court of Spain,Complutense University of Madrid,Francisco Blake Mora,University of the Philippines,Corina Casanova,Cristina Garmendia,Dmitry Livanov,Bosnia and Herzegovina,University of Cape Town,Shintaro Ishihara,University of Los Andes (Colombia),Saint Kitts and Nevis,Carlos Rodado Noriega,José María Velasco Ibarra,Gonzalo Sánchez de Lozada,Hungarian Democratic Forum,United Socialist Party of Venezuela,Luiz Inácio Lula da Silva,Amnesty International,Security Service of Ukraine,Central European University,Union of Right Forces,Vooruit (political party),Bucharest Academy of Economic Studies,Council of Europe,Sovereign Military Order of Malta,University of Chile,University of Ottawa,University of Waterloo,Catherine Tasca,Carol Moseley Braun,University of New Brunswick,Luisa Fernanda Rudi,Carlos Holguín Sardi,Communist Party of Bohemia and Moravia
Murat Magometovich Zyazikov	Murtaza Rakhimov,Sergey Mikhaylovich Ignatyev,Magomedali Magomedov,Mintimer Shaimiev,Yury Luzhkov,Sergey Gaplikov,Adilgerei Magomedtagirov,Aslan Maskhadov,Juan Antonio Samaranch,Yuriy Kravchenko,Oskar Lafontaine,César Camacho Quiroz,José María Michavila,Nikolai Levichev,Karim Massimov,Valentin Inzko,Alexander Dzasokhov,Boris Nemtsov,Yevgeny Primakov,Petro Poroshenko,Marat Tajin,Arsen Avakov,George Radanovich,Yury Chaika,Valentin Pavlov,Umar Dzhabrailov,Marco Maciel,Joseph Stalin,Igor Konashenkov,Mario Barletta,George Voinovich,Saken Zhasuzakov,Mauno Koivisto,José Manuel Barroso,Juan Almeida Bosque,Maria Elena Boschi,Mirko Cvetković,Carlo Azeglio Ciampi,Novruz Mammadov,Anatoly Serdyukov,Margaritis Schinas,Carol Moseley Braun,Marko Mihkelson,Blagovest Sendov,Tatyana Golikova,Marisa Matias,Nadiya Savchenko,Marietta Giannakou,María Corina Machado,Murat Zyazikov
Robert Douglas Nicholson	Robert Zoellick,Robert Lepikson,Robert Mugabe,Roberta Pinotti,Poul Nielson,Robert J. Bentley,Douglas Alexander,Douglas Hurd,Robert E. Cramer,Umberto Bossi,Marko Mihkelson,Dan Tichon,Fethullah Gülen,Puerto Rico,Peter DeFazio,Vern Buchanan,Anders Fogh Rasmussen,Herbert Kickl,Herbert Bösch,Bill Richardson,Ron DeSantis,Alfonso López Michelsen,Brian Mikkelsen,Alberto Fujimori,Dobrica Ćosić,Anders Samuelsen,María Corina Machado,Umar Dzhabrailov,Reuven Rivlin,José María Michavila,Tibor Navracsics,Igor Konashenkov,Norodom Sihamoni,Ólafur Ragnar Grímsson,Front for Victory,R. Nicholas Burns,Inner Mongolia,Lord Chancellor,Julie Bishop,Bob Dole,Rick Boucher,Peter Welch,Mike Simpson,Fred Thompson,Boris Nemtsov,Roland Koch,Vincent Peillon,Rodrigo Rato,Robin Hayes,Rob Nicholson
Electronic Arts Inc.	Adobe Inc.,Petro Poroshenko,Antonio Inoki,Éric Besson,Elon Musk,Peronism,Central America,Sergey Aksyonov,Ole von Beust,Leonid Gozman,Antonio Brancaccio,Serhiy Arbuzov,Elizabeth II,Gerasimos Arsenis,Leonid Kravchuk,Apple Inc.,Puerto Rico,Eli Suissa,French Army,Patricia Scotland,Barney Frank,Ernest Moniz,Vern Buchanan,Ernie Fletcher,Eric Holder,Phil Robertson,Republic of Artsakh,Emma Bonino,Eric Cantor,Stephen F. Lynch,Élcio Álvares,Valentin Inzko,Vittorio Grilli,Solomon Islands,Bill Richardson,Eliot Engel,Audronius Ažubalis,Oleg Ostapenko,Glenn Greenwald,Herbert Bösch,Eric Garcetti,Catherine Tasca,Elizabeth Dole,Els Borst,Tarcisio Bertone,Oliver Letwin,Dieter Althaus,Catherine Ashton,Pete Peterson,Electronic Arts
Eberhard van der Laan	Hans van den Broek,Ed van Thijn,Richard Caborn,Richard Dannatt,Edward Snowden,Herman Van Rompuy,Alexandr Vondra,Richard Bruton,Bernd Lange,Richard Blumenthal,Mehdi Bazargan,Richard Branson,Tigran Torosyan,Gérard Longuet,Werner Faymann,Johannes Hahn,Mary Landrieu,Edelgard Bulmahn,Ehud Barak,Radovan Karadžić,Radovan Karadžić,Richard Danzig,Rehavam Ze'evi,Neritan Ceka,Jerry Moran,Thad Cochran,Sherry Rehman,Göran Persson,Harvard University,Iberian Peninsula,Gerd Leers,Gerrit Braks,Mathias Cormann,Ole von Beust,Jörg Haider,Mart Laar,Manfred Kanther,Sebastian Kurz,Werner Hoyer,Frans Timmermans,Richard von Weizsäcker,Óscar Iván Zuluaga,Barbara Prammer,Richard Holbrooke,John Linder,Alexander Stubb,Fareed Zakaria,Noel Davern,Alexander Ankvab,Eberhard van der Laan
Catalonia	Estonia,Cantabria,Romania,Lithuania,Sardinia,Latvia,Mauritania,Guyana,Napoleon,Madrid,Spain,Nokia,Nokia,Gabon,Slovakia,Iceland,Tatars,Bulgaria,Eswatini,Ukraine,Russia,Iran,Taiwan,Chuvashia,Paul Biya,Chechnya,Kit Bond,Khakassia,Madeira,Wales,France,Benin,Madagascar,Belgium,Buryatia,Cisco,Sony,Argentina,Tajikistan,Netherlands,Vietnam,Ninja,Peronism,Lazard,Israel,Cape Verde,Comoros,Palau,Åland,Catalonia
Jose Maria Velasco Ibarra	José María Gil-Robles,José María Michavila,Susana Malcorra,Jair Bolsonaro,Marcelo Ebrard,José Manuel Barroso,Justicialist Party,John Karefa-Smart,Pablo Escobar,José Alencar,César Camacho Quiroz,María Jesús Montero,Marco Aurélio Garcia,Jorge Castañeda Gutman,José Ramos-Horta,José Mujica,John Sarbanes,Maria Elena Boschi,Joseph Muscat,Joe Lieberman,Joseph Estrada,Marie Bashir,Josh Frydenberg,Shankar Dayal Sharma,Marion Barry,Madagascar,Moderate Party,J. Jayalalithaa,José Vicente Rangel,Joel Villanueva,Rosa Aguilar,César Gaviria,Jorge Illueca,José Montilla,Mario Barletta,Corina Casanova,Marisa Matias,Narcís Serra,Shintaro Ishihara,Mario Blejer,Roger Etchegaray,Jean Asselborn,Gabriel Oprea,Joe Kernan (politician),José E. Serrano,Jean-Louis Tauran,Charlie Melançon,Alexandr Vondra,Jadranka Kosor,José María Velasco Ibarra
Complutense University of Madrid	American University of Beirut,Communist Party of India,Charles University,University of Chile,University of Waterloo,University of Ottawa,University of Sussex,Rutgers University,Vilnius University,Memorial University of Newfoundland,York University,University of Cape Town,Waseda University,Peking University,Workers' Party of Korea,Ulster Unionist Party,Moscow State University,McGill University,Seoul National University,Harvard University,Pontifical Catholic University of Chile,Constitutional Court of Spain,Radio Television of Serbia,Democratic Unionist Party,Yerevan State University,University of New Brunswick,Central European University,University of Buenos Aires,Commonwealth of Nations,Guilherme d'Oliveira Martins,Security Service of Ukraine,Amnesty International,Mogens Lykketoft,Carolyn Cheeks Kilpatrick,Christine Egerszegi,Irene Pivetti,Connie Hedegaard,Demetris Christofias,Dennis Daugaard,Christine Haderthauer,Council of Europe,Socialists' Party of Catalonia,Jawaharlal Nehru University,Luis Videgaray Caso,José Vicente Rangel,Luisa Fernanda Rudi,Justicialist Party,National Party of Australia,Liberal Democratic Party of Russia,Complutense University of Madrid
Marion Barry	Raymond Barre,Marie Bashir,Mart Laar,Mario Blejer,Mario Barletta,Martin Bursík,Mário Soares,Marisa Matias,Narcís Serra,Katy Perry,Mark Kirk,Monika Harms,Dick Marty,Harrison Ford,Kevin Brady,Mark Warner,Dan Boren,Marco Maciel,Marat Tajin,Marek Jurek,Finns Party,Duncan Kerr,Rein Lang,Patty Murray,Mary Fallin,Robin Hayes,Ken Starr,Raymond Kelly,Adrian Smith,Martha McSally,Sanna Marin,Solomon Passy,Charlie Baker,Paulo Maluf,Marcelo Ebrard,Madagascar,Mark Dayton,Dan Burton,Chris Murphy,Lionsgate,Mark Pryor,Mark Rutte,Marine Le Pen,Jay Carney,Suriname,Nabil Elaraby,Gabriel Oprea,Eliane Karp,Brian Cowen,Marion Barry
Carla Del Ponte	Claudia Nolte,María Jesús Montero,Nancy Pelosi,Arlene Foster,Catalonia,Marine Le Pen,Sierra Leone,Carles Puigdemont,Mark Dayton,Urho Kekkonen,Carlos Menem,Karel De Gucht,Dave Weldon,Charlie Melançon,Cape Verde,Karen Ellemann,Carolina Tohá,Le Point,Dick Celeste,Alfred Sant,Claudio Huepe,Mary Fallin,Gary Locke,Victor Ponta,Michael Kocáb,Walter Momper,Charlie Baker,Péter Polt,Carlos Slim,Tanja Fajon,Carlos Santana,Mark Rutte,Charles Pasqua,Göran Persson,Taro Kono,Ted Poe,Paolo Gentiloni,Paul Simon,Kakha Kaladze,Peter Hintze,Éric Besson,Jacques Santer,Napoleon,Jacques Delors,Carlos Tevez,Chris Huhne,Poul Nielson,Boris Nemtsov,Earl Blumenauer,Carla Del Ponte
Paolo Gentiloni	Paul Martin,Paul Simon,Nancy Pelosi,Pavlos Geroulanos,Paul Otto,Paulo Maluf,José Montilla,Carlos Santana,Napoleon,Argentina,Carla Del Ponte,Paul Reeves,Paul Ryan,Paul Biya,Pedro Carmona,Pete Peterson,Phil Robertson,David Dinkins,Pablo Escobar,Dan Burton,Catalonia,Pascal Canfin,Mauno Koivisto,Peter Hintze,Karolos Papoulias,Taro Kono,Carlos Menem,Boris Nemtsov,Jack Layton,Joseph Stalin,Mark Dayton,Keiko Fujimori,Urho Kekkonen,Tzipi Livni,Rudy Giuliani,Sally Jewell,Hage Geingob,Marko Mihkelson,Poul Nielson,Paavo Lipponen,Dave Weldon,David Ben-Gurion,Paavo Väyrynen,Holy See,Shlomo Ben-Ami,Shulamit Aloni,José Bono,Pietro Lunardi,United Nations,Paolo Gentiloni
David Libai	David Ige,David Dinkins,David Vitter,David Dreier,David L. Aaron,Hamid Karzai,Yair Lapid,Kadima,David Emerson,Paul Biya,Yash Ghai,David Lidington,Pavel Tigrid,Daniel Scioli,Vlad Filat,Eli Lilly,Pio Laghi,Mart Laar,Sajid Javid,Devin Nunes,Aamir Khan,Madeira,Sardinia,Tzipi Livni,Dan Tichon,Meir Dagan,Uzi Landau,David Johnston,Edi Rama,Jürgen Ligi,Jack Lew,Erwin Huber,Daniel Toribio,Ahmed Galal,Tariq Aziz,David Blunkett,Jaume Matas,Ehud Barak,Harald Kujat,Gabi Zimmer,Dan Boren,Jim Risch,Jim Molan,Marie Bashir,Guido Carli,Gary Locke,Mark Kirk,Dipu Moni,Rein Lang,David Libai
Turki bin Abdullah	Turki bin Faisal Al Saud,Lucy Turnbull,Serikbolsyn Abdildin,Osama bin Laden,Christine Albanel,Jordi Turull,Rush Limbaugh,Justin Trudeau,Mark Binskin,Tariq Aziz,Tarek William Saab,Turkmenistan,Uzi Landau,Bibiana Aído,Turgut Özal,Tom Udall,Takeshi Onaga,Eli Lilly,Yukiya Amano,Adrian Smith,Bobby Jindal,Hu Jintao,Tulsi Gabbard,Yuriy Ilyin,Neritan Ceka,Hezbollah,Satya Nadella,Martin Bursík,Don Manzullo,Edwin Feulner,Okiharu Yasuoka,Connie Morella,Bank of America,Helen Liddell,Joaquín Almunia,Kristina Keneally,Kristiina Ojuland,Rosa Aguilar,Terry McAuliffe,Éric Raoult,Tigran Torosyan,Rudy Giuliani,Erwin Huber,Marko Mihkelson,José Montilla,Milan Kučan,Hindi cinema,Alain Madelin,Serhiy Arbuzov,Turki bin Abdullah Al Saud (1755–1834)
Fred Thompson	Mike Simpson,Sam Johnson,Éric Besson,Frank Jensen,David Emerson,Rob Nicholson,David Johnston,Pete Peterson,Greg Walden,Paul Simon,Göran Persson,Ted Poe,Thad Cochran,Dan Tichon,Bill Shorten,Greta Thunberg,Poul Nielson,Marko Mihkelson,French Army,Oleg Lobov,French Navy,Piet Bukman,Ahn Cheol-soo,Erkki Tuomioja,Dan Burton,Steve Rothman,Bill Richardson,Noel Davern,Mike Crapo,Dan Boren,Jim Saxton,Tim Holden,Norm Coleman,James Florio,Karen Ellemann,Mark Dayton,Ben Cardin,Todd Akin,Dave Weldon,Dale Bumpers,Walter Momper,Rick Larsen,Éric Raoult,Eric Holder,Emma Bonino,Jerry Moran,Werner Faymann,Jim Molan,Brian Cowen,Fred Thompson
Marco Maciel	Mário Soares,Mario Blejer,Marisa Matias,Marat Tajin,Mark Warner,Jack Markell,Paulo Maluf,Sanna Marin,Marion Barry,Gary Locke,Mark Kirk,Mario Barletta,Marek Jurek,Carlos Menem,Mart Laar,Mark Dayton,Mark Rutte,Jelko Kacin,Ratko Mladić,Per Unckel,Mary Fallin,Marie Bashir,Marko Mihkelson,Patrick Mayhew,Mary Landrieu,Israel,Mauritania,Port Said,Marcus Stephen,Marcelo Ebrard,Hugo Banzer,Carlos Slim,Morocco,Jaume Matas,Sergio Diez,Lars Barfoed,Jay Carney,Paul Martin,Celso Lafer,Rick Larsen,Karim Massimov,Tariq Aziz,Redha Malek,Vince Cable,Laurent Fabius,Greg Walden,Nancy Pelosi,Rand Paul,Dick Marty,Marco Maciel
Manfred Kanther	Jacques Santer,Alfred Sant,Walter Kasper,Marie Bashir,Andrew Lansley,Mark Warner,Arnold Koller,Bernd Lange,Mark Rutte,Michel Barnier,David Vitter,Eric Cantor,Marek Jurek,Marco Maciel,Mart Laar,Manuel Valls,Alfredo Barnechea,Mark Dayton,Mario Blejer,Mary Landrieu,Ernie Fletcher,Wangari Maathai,Lee Kun-hee,Walter Momper,Hartmut Bagger,Jörg Haider,Laurenz Meyer,Pierre Werner,Hugo Banzer,Indrek Tarand,Borut Pahor,David Dreier,Patrick Mayhew,Gérard Longuet,Michel Mercier,Lars Barfoed,Ernesto Samper,Andrew Robathan,Jane Harman,Pavel Grachev,Søren Gade,Rebiya Kadeer,Danny Pieters,Ron DeSantis,Mark Pryor,Arlene Foster,Greg Walden,Jon Tester,Ian Paisley,Manfred Kanther
Charles Pasqua	Charlie Baker,Carlos Santana,Carlos Slim,Karolos Papoulias,Theresa May,Marie Bashir,Carlos Menem,Carlos Tevez,Khaleda Zia,Charles University,Johannes Hahn,Carles Puigdemont,Andrus Ansip,Laurent Fabius,Rand Paul,Chris Murphy,Paulo Maluf,Sheikh Hasina,Catherine Tasca,Fidel Castro,Walter Kasper,Leire Pajín,Chris Huhne,Jesús Posada,Javier Solana,Josep Piqué,Charlie Melançon,Narcís Serra,Darrell Issa,Fareed Zakaria,Chuvashia,United Russia,Khakassia,The Bahamas,Cape Verde,Alfred Sant,Solomon Passy,Marion Barry,George Habash,Andrew Powell,Mark Warner,Paul Martin,Lars Barfoed,Ahmed Galal,Nancy Pelosi,Paul Biya,Joachim Gauck,Andrew Card,Greg Walden,Charles Pasqua
Naftali Bennett	Richard Dannatt,David Blunkett,Alain Berset,Napoleon,Nancy Pelosi,Scott Garrett,Frank Jensen,Paul Reeves,Dale Bumpers,Norbert Lammert,Angela Merkel,Candice Bergen,Sally Jewell,Catalonia,Pascal Canfin,Harald Kujat,Mario Barletta,Pascale Bruderer,Yuval Steinitz,Gresham Barrett,Hartmut Bagger,Matti Vanhanen,Carlos Menem,Enda Kenny,Chadli Bendjedid,Masahide Ōta,Holy See,Cape Verde,Ukraine,Hindi cinema,Paul Otto,Lionel Bowen,Alfred Sant,Nigel Evans,Melissa Bean,Yoani Sánchez,Kate Brown,Hillary Clinton,Pierre Werner,Neritan Ceka,Mark Binskin,Peter Hintze,Santiago Creel,Emma Bonino,Victor Ponta,Jay Carney,Roscoe Bartlett,Hans Engell,Salman Khan,Naftali Bennett
Aland Islands	Solomon Islands,Vlad Filat,John Tsang,Alfred Sant,Juan Lozano,Bernd Lange,Elena Salgado,Anand Satyanand,Ahmed Galal,Rand Paul,Ana Palacio,Milan Kučan,Netherlands,Dagestan,Afghanistan,Abu Darda,Allan Rock,Ed Balls,Albio Sires,Alu Alkhanov,Andrew Card,Rein Lang,Olene Walker,Jean Schmidt,Arne Duncan,Ali Abbasov,Alina Fernández,Al Green,Chet Edwards,Anson Chan,Alexandr Vondra,Anne Hidalgo,Amy Adams,Gladys Marín,John Sarbanes,Helen Clark,Paul Tsongas,Salman Khan,Nigel Evans,Hans Hillen,Jan Pronk,Milan Uhde,Iliana Iotova,Dan Boren,Paul Ryan,Dean Heller,Ana Brnabić,René Teulade,Ron DeSantis,Åland
Viktor Basargin	Viktor Stepanov,Viktor Pynzenyk,Victor Ciorbea,Mehdi Bazargan,Viktor Khristenko,Vitaly Churkin,Victor Ponta,Petar Gračanin,Pietro Lunardi,Vijay Bahuguna,Artur Rasizade,Vladimir Markin,Peter DeFazio,Ben Cardin,Taslima Nasrin,César Gaviria,Michel Barnier,Mart Laar,Peter Cosgrove,Tibor Navracsics,Lionel Jospin,Richard Caborn,Walter Kasper,Marie Bashir,Guido Carli,Rick Larsen,Fareed Zakaria,Mitch Landrieu,Pio Laghi,Richard Branson,Paul Martin,Jyoti Basu,Piet Bukman,Jelko Kacin,Meir Dagan,Sanna Marin,Vittorio Grilli,Kate Brown,Kiran Desai,Marion Barry,Leo Varadkar,Vitaliy Masol,Gábor Vona,Baltasar Garzón,Martin Bursík,Marat Tajin,Pál Vastagh,Lakhdar Brahimi,Ron DeSantis,Viktor Basargin
Justin Trudeau	Kevin Brady,Kevin Rudd,Devin Nunes,Luis Cruz,John Linder,Jon Tester,Martin Bursík,Uzi Landau,Joseph Muscat,Nuon Chea,Joseph Prueher,John Brumby,South Sudan,Erwin Huber,Jyoti Basu,Rumen Radev,Jordi Turull,Sorin Cîmpeanu,Russia,Saudi Arabia,Estonia,Robin Hayes,Josef Lux,Joseph Estrada,Duncan Kerr,Tim Holden,Eric Holder,Jim Doyle,John Warner,Agustín Rossi,Anson Chan,John Key,Patty Murray,Jim Molan,Julie Bishop,Susan Collins,Jean Charest,Jason Chaffetz,Josef Pröll,Joseph Stalin,South Korea,Péter Erdő,Jim Ramstad,John Tsang,Suriname,Alain Madelin,Mário Soares,Francis Maude,John Kufuor,Justin Trudeau
Ali Abdullah Saleh	Fethullah Gülen,Ali Abbasov,Alu Alkhanov,Amanullah Khan,Elizabeth Dole,Alfred Sant,Adrian Smith,Redha Malek,Omar Abdel-Rahman,Bill Gates,Albio Sires,Elizabeth II,Ahmed Galal,Abu Darda,Hezbollah,Tarek William Saab,William Cohen,Babacar Gaye,Allan Rock,Eli Suissa,Uri Rosenthal,Paulo Maluf,Abdalá Bucaram,Bill Bradley,Anwar Sadat,Milan Uhde,Alexander Stubb,Almazbek Atambayev,Eli Lilly,Abdurrahman Wahid,Aosta Valley,Joseph Stalin,Miguel Arraes,Al-Riyadh SC,Manuel Valls,Willy Claes,Alfredo Barnechea,Fidel Castro,Amy Adams,Amartya Sen,Alpha Kappa Alpha,Aleksandar Vulin,Claudia Nolte,Angela Merkel,Giancarlo Galan,Adolfo Aguilar Zínser,Liudmyla Suprun,Holy See,Arab League,Ali Abdullah Saleh
Mary L. Landrieu	Mitch Landrieu,Mary Fallin,Mart Laar,Mark Warner,Marco Maciel,David L. Aaron,Marion Barry,Mary McAleese,Marie Bashir,Marisa Matias,Uzi Landau,Jay Carney,Marine Le Pen,Mark Binskin,Marat Tajin,Gary Locke,Marju Lauristin,Fareed Zakaria,Marek Jurek,Bernd Lange,Matti Vanhanen,Manfred Kanther,John E. Sununu,John F. Tierney,Satya Nadella,Sanna Marin,Taslima Nasrin,Makiko Tanaka,Marilyn Musgrave,Marcus Stephen,Mark Kirk,Andrew Lansley,Mark Dayton,Mark Pryor,Jay Weatherill,Marcelo Ebrard,Mario Blejer,Lamar Alexander,Greg Walden,Marietta Giannakou,Jacques Santer,Pascal Canfin,Mario Barletta,Raymond Barre,James Langevin,John Linder,Hartmut Bagger,Mark Rutte,Carlos Santana,Mary Landrieu
Swaziland	Iceland,Spain,Taiwan,Pakistan,Lazard,Åland,Sicily,Suriname,Mauritania,Ukraine,Russia,Netherlands,Romania,Smile,Slovakia,Iran,Palau,Guyana,Madrid,Kadima,Sardinia,Madeira,Benin,Napoleon,Latvia,Senegal,Wales,Port Said,Gabon,Catalonia,Dagestan,Nokia,Nokia,EH Bildu,Sony,Belgium,Portugal,Tatars,Honduras,Boeing,Sufism,Vietnam,Lithuania,Bulgaria,Israel,Estonia,Tajikistan,Argentina,Shas,Eswatini
Carlos Santana	Carlos Slim,Carlos Menem,Carlos Tevez,Charles Pasqua,Mark Dayton,Paul Martin,Jacques Santer,Narcís Serra,Makiko Tanaka,Javier Solana,Marco Maciel,Pedro Carmona,Paulo Maluf,Jaume Matas,Carolina Tohá,Mario Barletta,Marisa Matias,Chris Huhne,Alfred Sant,Charlie Baker,Leon Panetta,Marcus Stephen,Victor Ponta,Paul Simon,Barney Frank,Paul Ryan,Werner Faymann,Marat Tajin,Jim Saxton,Chris Grayling,Eric Cantor,Jack Layton,Arne Duncan,Chelsea Manning,Pascal Canfin,Mart Laar,Charlie Melançon,Corina Casanova,Pat Buchanan,Taro Kono,Marion Barry,Lars Barfoed,Catalonia,Pál Vastagh,Paolo Gentiloni,Mary Fallin,Karl Schlögl,Dagestan,Matti Vanhanen,Carlos Santana
Cesar Camacho Quiroz	César Gaviria,Ana Palacio,Sebastian Kurz,Sergio Diez,Susana Malcorra,Omar Torrijos,José Ramos-Horta,Peter DeFazio,Petar Gračanin,Fernando Flores,Denny Tamaki,Marie Bashir,Thad Cochran,Pascal Couchepin,Jean Spautz,Zviad Gamsakhurdia,Umar Dzhabrailov,Corazon Aquino,Peter Cosgrove,Tassos Papadopoulos,Susan Collins,Jean Schmidt,Jesse Jackson Jr.,Carlos Tevez,Jair Bolsonaro,Marco Maciel,Susana Martinez,Pedro Carmona,Celso Lafer,Rosa Aguilar,Renato Soru,Bruno Stagno Ugarte,Borut Pahor,Yves Cochet,Jean-Claude Gaudin,Murat Zyazikov,Narcís Serra,Claudio Huepe,Christian Estrosi,Chaim Herzog,Corina Casanova,Ben Cardin,Murtaza Rakhimov,Roger Etchegaray,Herman Van Rompuy,George Shultz,George Radanovich,Mel Carnahan,Barbara Prammer,César Camacho Quiroz
Eritrea	Greece,Estonia,Latvia,France,Libya,Guyana,Brunei,Israel,Iran,Argentina,Vietnam,Bulgaria,Mauritania,Portugal,Ninja,Romania,Ukraine,Russia,Taiwan,Smile,Madrid,Edi Rama,Sardinia,Sicily,Madeira,Nauru,Wales,Honduras,Tatars,Suriname,Mauritius,Meretz,Nokia,Nokia,Buryatia,Fiji,Iceland,Cantabria,Google,Spain,Airbus,Henrik,Eswatini,Slovakia,Pakistan,Cisco,Belgium,Lithuania,Comoros,Eritrea
